target_chembl_id,guidetopharmacology_id,iuphar_target_id,iuphar_family_id,iuphar_type,iuphar_class,iuphar_subclass,iuphar_chain,iuphar_name,iuphar_synonyms
CHEMBL1075024,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,fabk|probable nitronate monooxygenase|enoyl- reductase|-
CHEMBL1075029,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,-|adenosine receptor a1|a1 adenosine receptor
CHEMBL1075045,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,folp|dhps|dihydropteroate pyrophosphorylase|dihydropteroate synthase|-
CHEMBL1075051,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,dhfr|dihydrofolate reductase|-
CHEMBL1075097,1244,1244,0250,Enzyme.Hydrolase,Enzyme,Hydrolase,0250>0239>0690,-,arg1|arginase-1|liver-type arginase|type i arginase|-
CHEMBL1075102,2150,2150,0781,Enzyme.Transferase,Enzyme,Transferase,0781>0244>0690,-,pik3c2a|pi3k-c2-alpha|phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha|phosphoinositide 3-kinase-c2-alpha|ptdins-3-kinase c2 subunit alpha|-
CHEMBL1075104,2059,2059,0582,Enzyme.Multifunctional,Enzyme,Multifunctional,0582>0687>0699>0862>0688,-,lrrk2|dardarin|leucine-rich repeat serine/threonine-protein kinase 2|park8|-
CHEMBL1075105,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ptp4a2|hu-pp-1|ov-1|prl-2|ptp|protein tyrosine phosphatase type iva 2|protein-tyrosine phosphatase 4a2|protein-tyrosine phosphatase of regenerating liver 2|prl2|ptpcaax2|-
CHEMBL1075108,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,slc12a5|electroneutral potassium-chloride cotransporter 2|furosemide-sensitive k-cl cotransporter|k-cl cotransporter 2|neuronal k-cl cotransporter|solute carrier family 12 member 5|rkcc2|kcc2|-
CHEMBL1075115,2013,2013,0503,Enzyme.Transferase,Enzyme,Transferase,0503>0455>0681>0698>0690-2>0690,-,dyrk4|dual specificity tyrosine-phosphorylation-regulated kinase 4|-
CHEMBL1075126,3007,3007,0994,Enzyme.Transferase,Enzyme,Transferase,0994>0698>0690-2>0690,-,pklr|pyruvate kinase 1|pyruvate kinase pklr|pyruvate kinase isozymes l/r|r-type/l-type pyruvate kinase|red cell/liver pyruvate kinase|pk1|pkl|-
CHEMBL1075128,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,-|protein n1|protein opg035|n1l
CHEMBL1075132,2909,2909,0784,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0784>0864,-,"trap1|hsp 75|heat shock protein 75 kda, mitochondrial|heat shock protein family c member 5|tnfr-associated protein 1|trap-1|tumor necrosis factor type 1 receptor-associated protein|hsp75|hspc5|-"
CHEMBL1075133,1471,1471,0508,Enzyme.Transferase,Enzyme,Transferase,0508>0283>0677>0698>0690-2>0690,-,grk7|-|rhodopsin kinase grk7|g protein-coupled receptor kinase 7|g protein-coupled receptor kinase grk7|gprk7
CHEMBL1075138,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,tdp1|tyr-dna phosphodiesterase 1|tyrosyl-dna phosphodiesterase 1|-
CHEMBL1075144,299,299,0042,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0042>0694>0688,-,nmur2|g-protein coupled receptor fm-4|g-protein coupled receptor tgr-1|nmu-r2|neuromedin-u receptor 2|nmu2r|tgr1|-
CHEMBL1075145,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,vcp|15s mg-atpase p97 subunit|ter atpase|transitional endoplasmic reticulum atpase|valosin-containing protein|hel-220|hel-s-70|-
CHEMBL1075155,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,stk38|ndr1 protein kinase|nuclear dbf2-related kinase 1|serine/threonine-protein kinase 38|ndr1|-
CHEMBL1075162,88,88,0016,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0016>0115>0694>0688,-,gpr17|g-protein coupled receptor 17|p2y-like receptor|r12|udp/cyslt receptor|uracil nucleotide/cysteinyl leukotriene receptor|-
CHEMBL1075163,2028,2028,0577,Enzyme.Transferase,Enzyme,Transferase,0577>0683>0698>0690-2>0690,-,haspin|germ cell-specific gene 2 protein|h-haspin|haploid germ cell-specific nuclear protein kinase|serine/threonine-protein kinase haspin|gsg2|-
CHEMBL1075164,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,top1|-|dna topoisomerase 1|dna topoisomerase i
CHEMBL1075165,2152,2152,0672,Enzyme.Transferase,Enzyme,Transferase,0672>0682>0698>0690-2>0690,-,pik3c3|pi3-kinase type 3|pi3k type 3|phosphatidylinositol 3-kinase catalytic subunit type 3|phosphatidylinositol 3-kinase p100 subunit|phosphoinositide-3-kinase class 3|ptdins-3-kinase type 3|hvps34|vps34|-
CHEMBL1075166,1467,1467,0507,Enzyme.Transferase,Enzyme,Transferase,0507>0283>0677>0698>0690-2>0690,-,grk3|beta-ark-2|beta-adrenergic receptor kinase 2|g protein-coupled receptor kinase 3|adrbk2|bark2|-
CHEMBL1075167,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,hipk4|homeodomain-interacting protein kinase 4|-
CHEMBL1075169,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ptp4a1|prl-1|ptp|protein tyrosine phosphatase type iva 1|protein-tyrosine phosphatase 4a1|protein-tyrosine phosphatase of regenerating liver 1|prl1|ptpcaax1|-
CHEMBL1075172,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,cxcr3|-|c-x-c chemokine receptor type 3|cxc-r3|cxcr-3|ip-10 receptor|interferon-inducible protein 10 receptor
CHEMBL1075173,2280,2280,0643,Enzyme.Transferase,Enzyme,Transferase,0643>0683>0698>0690-2>0690,-,wnk1|erythrocyte 65 kda protein|kinase deficient protein|protein kinase lysine-deficient 1|protein kinase with no lysine 1|serine/threonine-protein kinase wnk1|hwnk1|p65|hsn2|kdp|kiaa0344|prkwnk1|-
CHEMBL1075174,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,bla|-|beta-lactamase shv-5|shv5
CHEMBL1075178,298,298,0042,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0042>0694>0688,-,nmur1|g-protein coupled receptor 66|g-protein coupled receptor fm-3|nmu-r1|neuromedin-u receptor 1|gpr66|-
CHEMBL1075189,3006,3006,0994,Enzyme.Transferase,Enzyme,Transferase,0994>0698>0690-2>0690,-,pkm|cthbp|cytosolic thyroid hormone-binding protein|oip-3|opa-interacting protein 3|pyruvate kinase 2/3|pyruvate kinase pkm|pyruvate kinase muscle isozyme|thbp1|threonine-protein kinase pkm2|thyroid hormone-binding protein 1|tumor m2-pk|tyrosine-protein kinase pkm2|p58|oip3|pk2|pk3|pkm2|-
CHEMBL1075195,2234,2234,0551,Enzyme.Transferase,Enzyme,Transferase,0551>0467>0685>0698>0690-2>0690,-,taok2|kinase from chicken homolog c|psk-1|psk1|prostate-derived ste20-like kinase 1|prostate-derived sterile 20-like kinase 1|serine/threonine-protein kinase tao2|thousand and one amino acid protein kinase 2|hkfc-c|kiaa0881|map3k17|psk|-
CHEMBL1075201,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ckm|-|creatine kinase m-type|cpk-m|creatine kinase m chain|creatine phosphokinase m-type|m-ck
CHEMBL1075214,1232,1232,0248,Enzyme.Hydrolase,Enzyme,Hydrolase,0248>0690-4>0690,-,nt5e|-|5'-nucleotidase|5'-nt|5'-deoxynucleotidase|ecto-5'-nucleotidase|imp-specific 5'-nucleotidase|nt5|nte|thymidylate 5'-phosphatase
CHEMBL1075226,546,546,0081,Ion Channel.Voltage-gated ion channel,Ion Channel,Voltage-gated ion channel,0081>0133>0696>0689,-,kcnb1|-|potassium voltage-gated channel subfamily b member 1|drk1|delayed rectifier potassium channel 1|voltage-gated potassium channel subunit kv2.1
CHEMBL1075228,280,280,0037,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0037>0694>0688,-,mchr1|g-protein coupled receptor 24|mch receptor 1|mch-1r|mch-r1|mch1r|mchr|mchr-1|melanin-concentrating hormone receptor 1|slc-1|somatostatin receptor-like protein|gpr24|slc1|-
CHEMBL1075246,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,xdh|xanthine dehydrogenase/oxidase|-
CHEMBL1075263,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ccr5|c-c ckr-5|c-c chemokine receptor type 5|cc-ckr-5|ccr-5|cmkbr5|-
CHEMBL1075268,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,htr6|-|5-hydroxytryptamine receptor 6|5-ht-6|5-ht6|serotonin receptor 6
CHEMBL1075269,21,21,0003,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0003>0694>0688,-,adora3|a3ar|adenosine receptor a3|gpcr2|-
CHEMBL1075275,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,aurkb|ark-2|aurora 1|aurora kinase b|aurora- and ipl1-like midbody-associated protein 1|aurora-related kinase 2|aurora/ipl1-related kinase 2|stk-1|serine/threonine-protein kinase 12|serine/threonine-protein kinase 5|serine/threonine-protein kinase aurora-b|aik2|aim1|airk2|ark2|stk1|stk12|stk5|-
CHEMBL1075280,1990,1990,0568,Enzyme.Transferase,Enzyme,Transferase,0568>0681>0698>0690-2>0690,-,clk1|cdc-like kinase 1|dual specificity protein kinase clk1|protein kinase sty|clk|sty|-
CHEMBL1075281,1991,1991,0568,Enzyme.Transferase,Enzyme,Transferase,0568>0681>0698>0690-2>0690,-,clk2|cdc-like kinase 2|dual specificity protein kinase clk2|-
CHEMBL1075282,1992,1992,0568,Enzyme.Transferase,Enzyme,Transferase,0568>0681>0698>0690-2>0690,-,clk3|cdc-like kinase 3|dual specificity protein kinase clk3|-
CHEMBL1075283,1993,1993,0568,Enzyme.Transferase,Enzyme,Transferase,0568>0681>0698>0690-2>0690,-,clk4|cdc-like kinase 4|dual specificity protein kinase clk4|-
CHEMBL1075284,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,dgat1|arat|acyl-coa retinol o-fatty-acyltransferase|diacylglycerol o-acyltransferase 1|diglyceride acyltransferase|retinol o-fatty-acyltransferase|dgat|-
CHEMBL1075294,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,"ido1|-|indoleamine 2,3-dioxygenase 1|ido-1|ido|indo|indoleamine-pyrrole 2,3-dioxygenase"
CHEMBL1075302,916,916,0173,Transporter.ATP-binding cassette transporter,Transporter,ATP-binding cassette transporter,0173>0143>0863>0691,-,slc5a2|-|sodium/glucose cotransporter 2|low affinity sodium-glucose cotransporter|na/glucose cotransporter 2|sglt2|solute carrier family 5 member 2
CHEMBL1075307,2887,2887,0899,Enzyme.Oxidoreductase,Enzyme,Oxidoreductase,0899>0690-1>0690,-,"tdo2|-|tryptophan 2,3-dioxygenase|tdo|to|trpo|tryptamin 2,3-dioxygenase|tryptophan oxygenase|tryptophan pyrrolase|tryptophanase"
CHEMBL1075317,2831,2831,0903,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0903>0864,-,wdr5|-|wd repeat-containing protein 5|big3|bmp2-induced 3-kb gene protein
CHEMBL1075319,500,500,0078,Ion Channel.Voltage-gated ion channel,Ion Channel,Voltage-gated ion channel,0078>0696>0689,-,trpm8|ltrpc-6|ltrpc6|long transient receptor potential channel 6|transient receptor potential cation channel subfamily m member 8|transient receptor potential p8|trp-p8|trpp8|-
CHEMBL1075320,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,nadd|-|probable nicotinate-nucleotide adenylyltransferase|deamido-nad diphosphorylase|deamido-nad pyrophosphorylase|namn adenylyltransferase|nicotinate mononucleotide adenylyltransferase
CHEMBL1075323,2904,2904,0784,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0784>0864,-,hsp90b1|94 kda glucose-regulated protein|endoplasmin|grp-94|heat shock protein 90 kda beta member 1|heat shock protein family c member 4|tumor rejection antigen 1|gp96 homolog|grp94|hspc4|tra1|-
CHEMBL1163101,2020,2020,0580,Enzyme.Transferase,Enzyme,Transferase,0580>0683>0698>0690-2>0690,-,ern1|endoplasmic reticulum-to-nucleus signaling 1|ire1a|inositol-requiring protein 1|ire1-alpha|serine/threonine-protein kinase/endoribonuclease ire1|hire1p|ire1|-
CHEMBL1163106,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,mak|male germ cell-associated kinase|serine/threonine-protein kinase mak|-
CHEMBL1163108,2224,2224,0542,Enzyme.Transferase,Enzyme,Transferase,0542>0467>0685>0698>0690-2>0690,-,stk39|dcht|ste20/sps1-related proline-alanine-rich protein kinase|serine/threonine-protein kinase 39|ste-20-related kinase|pask|spak|-
CHEMBL1163109,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,cdr1|-|multidrug resistance protein cdr1
CHEMBL1163111,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,il5|-|interleukin-5|b-cell growth factor ii|bcgf-ii|cytotoxic t-lymphocyte inducer|eosinophil differentiation factor|il-5|t-cell replacing factor|trf
CHEMBL1163122,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,-|type-2 angiotensin ii receptor|angiotensin ii type-2 receptor|angiotensin type ii receptor
CHEMBL1163123,2081,2081,0621,Enzyme.Transferase,Enzyme,Transferase,0621>0685>0698>0690-2>0690,-,map3k6|apoptosis signal-regulating kinase 2|mitogen-activated protein kinase kinase kinase 6|ask2|mapkkk6|mekk6|-
CHEMBL1163125,1945,1945,0558,Enzyme.Transferase,Enzyme,Transferase,0558>0884>0865>0690,-,brd4|bromodomain-containing protein 4|protein hunk1|hunk1|-
CHEMBL1163126,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,cilk1|ciliogenesis associated kinase 1|intestinal cell kinase|lck2|laryngeal cancer kinase 2|mak-related kinase|mrk|serine/threonine-protein kinase ick|hick|ick|kiaa0936|-
CHEMBL1163129,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,sbk1|-|serine/threonine-protein kinase sbk1|sh3 domain-binding kinase 1
CHEMBL1163130,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,-|bifunctional dihydrofolate reductase-thymidylate synthase|dhfr-ts
CHEMBL1169596,1933,1933,0610,Enzyme.Transferase,Enzyme,Transferase,0610>0687>0699>0862>0688,-,araf|proto-oncogene a-raf|proto-oncogene a-raf-1|proto-oncogene pks|serine/threonine-protein kinase a-raf|araf1|pks|pks2|-
CHEMBL1169597,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,"pgd|-|6-phosphogluconate dehydrogenase, decarboxylating"
CHEMBL1169598,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,pa|polymerase acidic protein|rna-directed rna polymerase subunit p2|-
CHEMBL1250368,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,enr|enoyl-acyl carrier reductase|-
CHEMBL1250378,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,sf3b3|pre-mrna-splicing factor sf3b 130 kda subunit|sap 130|sf3b130|staf130|spliceosome-associated protein 130|splicing factor 3b subunit 3|kiaa0017|sap130|-
CHEMBL1250379,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,elavl1|elav-like protein 1|hu-antigen r|hur|-
CHEMBL1250402,494,494,0078,Ion Channel.Voltage-gated ion channel,Ion Channel,Voltage-gated ion channel,0078>0696>0689,-,trpm2|estrogen-responsive element-associated gene 1 protein|ltrpc-2|ltrpc2|long transient receptor potential channel 2|transient receptor potential cation channel subfamily m member 2|transient receptor potential channel 7|transient receptor potential melastatin 2|trpc7|ereg1|knp3|-
CHEMBL1255126,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,mdm4|double minute 4 protein|mdm2-like p53-binding protein|protein mdm4|protein mdmx|p53-binding protein mdm4|mdmx|-
CHEMBL1255149,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,prcp|lysosomal pro-x carboxypeptidase|proline carboxypeptidase|prolylcarboxypeptidase|-
CHEMBL1255160,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,hrh4|-|histamine h4 receptor|histamine receptor h4
CHEMBL1255163,3145,3145,1042,Enzyme.Transferase,Enzyme,Transferase,1042>0690-2>0690,-,porcn|protein mg61|protein-serine o-palmitoleoyltransferase porcupine|mg61|porc|ppn|-
CHEMBL1255164,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,porcn|protein-serine o-palmitoleoyltransferase porcupine|mporc|porc|ppn|-
CHEMBL1275212,3236,3236,1080,Enzyme.Transferase,Enzyme,Transferase,1080>0698>0690-2>0690,-,khk|hepatic fructokinase|ketohexokinase|-
CHEMBL1275214,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,"menb|-|1,4-dihydroxy-2-naphthoyl-coa synthase|dhna-coa synthase"
CHEMBL1275221,1257,1257,0254,Enzyme.Transferase,Enzyme,Transferase,0254>0239>0690,-,prmt6|heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6|histone-arginine n-methyltransferase prmt6|protein arginine n-methyltransferase 6|hrmt1l6|-
CHEMBL1287622,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,l3mbtl1|h-lmbt|h-lmbt protein|lmbt protein homolog|lmbt-like|lethalmalignant brain tumor-like protein 1|kiaa0681|l3mbt|l3mbtl|-
CHEMBL1287623,2830,2830,0902,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0902>0901>0864,-,l3mbtl3|h-lmbt-like protein 3|lmbt-like protein 3|l3mbt-like 3|lethalmalignant brain tumor-like protein 3|mbt-1|kiaa1798|mbt1|-
CHEMBL1287627,3002,3002,0993,Enzyme.Oxidoreductase,Enzyme,Oxidoreductase,0993>0690-1>0690,-,cybb|cgd91-phox|cytochrome b subunit beta|cytochrome b-245 heavy chain|cytochrome b558 subunit beta|heme-binding membrane glycoprotein gp91phox|nadph oxidase 2|neutrophil cytochrome b 91 kda polypeptide|superoxide-generating nadph oxidase heavy chain subunit|gp91-1|gp91-phox|p22 phagocyte b-cytochrome|nox2|-
CHEMBL1293197,2982,2982,0981,Enzyme.Hydrolase,Enzyme,Hydrolase,0981>0690-4>0690,-,chia|amcase|acidic mammalian chitinase|lung-specific protein tsa1902|-
CHEMBL1293204,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ccr2|-|c-c chemokine receptor type 2|c-c ckr-2|cc-ckr-2|ccr-2|cmkbr2
CHEMBL1293222,1762,1762,0317,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0317>0302>0862>0688,-,nod1|caspase recruitment domain-containing protein 4|nucleotide-binding oligomerization domain-containing protein 1|hnod1|card4|-
CHEMBL1293224,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,mapt|microtubule-associated protein tau|neurofibrillary tangle protein|phf-tau|paired helical filament-tau|maptl|mtbt1|tau|-
CHEMBL1293226,2679,2679,0869,Enzyme.Oxidoreductase,Enzyme,Oxidoreductase,0869>0865>0690,-,kdm4e|-|lysine-specific demethylase 4e|kdm4d-like protein|kdm4dl|lysine-specific demethylase 4d-like|-trimethyl-l-lysine demethylase 4e
CHEMBL1293237,3260,3260,1091,Enzyme.Isomerase,Enzyme,Isomerase,1091>0690-5>0690,-,"blm|bloom syndrome protein|dna 3'-5' helicase blm|dna helicase, recq-like type 2|recq protein-like 3|recq-like dna helicase blm|recq2|recql3|-"
CHEMBL1293255,1384,1384,0270,Enzyme.Multifunctional,Enzyme,Multifunctional,0270>0243>0690,-,hpgd|15-pgdh|15-hydroxyprostaglandin dehydrogenase|eicosanoid/docosanoid dehydrogenase|prostaglandin dehydrogenase 1|short chain dehydrogenase/reductase family 36c member 1|pgdh1|sdr36c1|-
CHEMBL1293266,1763,1763,0317,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0317>0302>0862>0688,-,nod2|caspase recruitment domain-containing protein 15|inflammatory bowel disease protein 1|nucleotide-binding oligomerization domain-containing protein 2|card15|-
CHEMBL1293267,102,102,0016,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0016>0115>0694>0688,-,gpr35|g-protein coupled receptor 35|kyna receptor|kynurenic acid receptor|-
CHEMBL1293269,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,ns3|-|genome polyprotein
CHEMBL1293287,2371,2371,0744,Enzyme.Hydrolase,Enzyme,Hydrolase,0744>0715>0759>0690-4>0690,-,ide|abeta-degrading protease|insulin protease|insulin-degrading enzyme|insulinase|insulysin|-
CHEMBL1293289,1944,1944,0558,Enzyme.Transferase,Enzyme,Transferase,0558>0884>0865>0690,-,brd2|bromodomain-containing protein 2|o27.1.1|kiaa9001|ring3|-
