uniprot_id,id,uniprot_id_primary,target_chembl_id,name,index
B1AH88,B1AH88-1,TSPO,CHEMBL5742,2,4348
B1AH88,B1AH88-1,TSPO,CHEMBL5742,pbr-s,4349
O00141,O00141-1,SGK1,CHEMBL2343,1,3960
O00141,O00141-2,SGK1,CHEMBL2343,2,3961
O00141,O00141-2,SGK1,CHEMBL2343,sgk1.1,3962
O00141,O00141-2,SGK1,CHEMBL2343,sgk1_v2,3963
O00141,O00141-3,SGK1,CHEMBL2343,3,3964
O00141,O00141-3,SGK1,CHEMBL2343,sgk1.2,3965
O00141,O00141-4,SGK1,CHEMBL2343,4,3966
O00141,O00141-5,SGK1,CHEMBL2343,5,3967
O00142,O00142-1,KITM,CHEMBL4580,1,2147
O00142,O00142-2,KITM,CHEMBL4580,2,2148
O00142,O00142-3,KITM,CHEMBL4580,3,2149
O00142,O00142-4,KITM,CHEMBL4580,4,2150
O00142,O00142-5,KITM,CHEMBL4580,5,2151
O00142,O00142-6,KITM,CHEMBL4580,6,2152
O00206,O00206-1,TLR4,CHEMBL5255,1,4218
O00206,O00206-2,TLR4,CHEMBL5255,2,4219
O00206,O00206-3,TLR4,CHEMBL5255,3,4220
O00238,O00238-1,BMR1B,CHEMBL5476,1,437
O00238,O00238-2,BMR1B,CHEMBL5476,2,438
O00255,O00255-1,MEN1,CHEMBL1615381,2,2485
O00255,O00255-1,MEN1,CHEMBL1615381,long,2486
O00255,O00255-2,MEN1,CHEMBL1615381,1,2487
O00255,O00255-2,MEN1,CHEMBL1615381,short,2488
O00255,O00255-3,MEN1,CHEMBL1615381,3,2489
O00311,O00311-1,CDC7,CHEMBL5443,1,766
O00329,O00329-1,PK3CD,CHEMBL3130,1,3492
O00329,O00329-1,PK3CD,CHEMBL3130,p110-delta,3493
O00329,O00329-2,PK3CD,CHEMBL3130,2,3494
O00329,O00329-2,PK3CD,CHEMBL3130,p37-delta,3495
O00408,O00408-1,PDE2A,CHEMBL2652,pde2a3,3270
O00408,O00408-2,PDE2A,CHEMBL2652,pde2a1,3271
O00408,O00408-3,PDE2A,CHEMBL2652,pde2a2,3272
O00408,O00408-4,PDE2A,CHEMBL2652,pde2a4,3273
O00408,O00408-5,PDE2A,CHEMBL2652,5,3274
O00408,O00408-6,PDE2A,CHEMBL2652,6,3275
O00443,O00443-1,P3C2A,CHEMBL1075102,1,3107
O00443,O00443-2,P3C2A,CHEMBL1075102,2,3108
O00444,O00444-1,PLK4,CHEMBL3788,1,3524
O00444,O00444-2,PLK4,CHEMBL3788,2,3525
O00444,O00444-3,PLK4,CHEMBL3788,3,3526
O00481,O00481-1,BT3A1,CHEMBL4105758,1,494
O00481,O00481-2,BT3A1,CHEMBL4105758,2,495
O00481,O00481-3,BT3A1,CHEMBL4105758,3,496
O00481,O00481-4,BT3A1,CHEMBL4105758,4,497
O00506,O00506-1,STK25,CHEMBL5552,1,4081
O00506,O00506-2,STK25,CHEMBL5552,2,4082
O00506,O00506-3,STK25,CHEMBL5552,3,4083
O00571,O00571-1,DDX3X,CHEMBL5553,1,977
O00571,O00571-2,DDX3X,CHEMBL5553,2,978
O00748,O00748-1,EST2,CHEMBL3180,1,1305
O00748,O00748-2,EST2,CHEMBL3180,2,1306
O00748,O00748-4,EST2,CHEMBL3180,3,1307
O00748,O00748-5,EST2,CHEMBL3180,4,1308
O00763,O00763-1,ACACB,CHEMBL4829,1,122
O00763,O00763-1,ACACB,CHEMBL4829,long,123
O00763,O00763-2,ACACB,CHEMBL4829,2,124
O00763,O00763-2,ACACB,CHEMBL4829,short,125
O00763,O00763-3,ACACB,CHEMBL4829,3,126
O00763,O00763-3,ACACB,CHEMBL4829,acc2.v2,127
O08532,O08532-1,CA2D1,CHEMBL4676,2a,502
O08532,O08532-2,CA2D1,CHEMBL4676,2b,503
O08532,O08532-3,CA2D1,CHEMBL4676,2c,504
O08532,O08532-4,CA2D1,CHEMBL4676,2d,505
O08532,O08532-5,CA2D1,CHEMBL4676,2e,506
O14578,O14578-1,CTRO,CHEMBL5579,1,922
O14578,O14578-1,CTRO,CHEMBL5579,long,923
O14578,O14578-2,CTRO,CHEMBL5579,2,924
O14578,O14578-2,CTRO,CHEMBL5579,short,925
O14578,O14578-2,CTRO,CHEMBL5579,crik-sk,926
O14578,O14578-3,CTRO,CHEMBL5579,3,927
O14578,O14578-4,CTRO,CHEMBL5579,4,928
O14672,O14672-1,ADA10,CHEMBL5028,1,197
O14672,O14672-2,ADA10,CHEMBL5028,2,198
O14733,O14733-1,MP2K7,CHEMBL3530,1,2603
O14733,O14733-1,MP2K7,CHEMBL3530,a,2604
O14733,O14733-2,MP2K7,CHEMBL3530,2,2605
O14733,O14733-2,MP2K7,CHEMBL3530,b,2606
O14733,O14733-3,MP2K7,CHEMBL3530,3,2607
O14733,O14733-3,MP2K7,CHEMBL3530,gamma1,2608
O14733,O14733-4,MP2K7,CHEMBL3530,4,2609
O14744,O14744-1,ANM5,CHEMBL1795116,1,266
O14744,O14744-2,ANM5,CHEMBL1795116,2,267
O14744,O14744-3,ANM5,CHEMBL1795116,3,268
O14744,O14744-4,ANM5,CHEMBL1795116,4,269
O14744,O14744-5,ANM5,CHEMBL1795116,5,270
O14745,O14745-1,NHRF1,CHEMBL4523125,1,2755
O14745,O14745-2,NHRF1,CHEMBL4523125,2,2756
O14746,O14746-1,TERT,CHEMBL2916,1,4169
O14746,O14746-2,TERT,CHEMBL2916,2,4170
O14746,O14746-3,TERT,CHEMBL2916,3,4171
O14746,O14746-4,TERT,CHEMBL2916,4,4172
O14757,O14757-1,CHK1,CHEMBL4630,1,814
O14757,O14757-2,CHK1,CHEMBL4630,2,815
O14757,O14757-2,CHK1,CHEMBL4630,chk1-short,816
O14757,O14757-2,CHK1,CHEMBL4630,chk1-s,817
O14757,O14757-3,CHK1,CHEMBL4630,3,818
O14786,O14786-1,NRP1,CHEMBL5174,1,2919
O14786,O14786-1,NRP1,CHEMBL5174,membrane-bound,2920
O14786,O14786-2,NRP1,CHEMBL5174,2,2921
O14786,O14786-2,NRP1,CHEMBL5174,soluble,2922
O14786,O14786-2,NRP1,CHEMBL5174,snrp1,2923
O14786,O14786-3,NRP1,CHEMBL5174,3,2924
O14920,O14920-1,IKKB,CHEMBL1991,1,1867
O14920,O14920-2,IKKB,CHEMBL1991,2,1868
O14920,O14920-3,IKKB,CHEMBL1991,3,1869
O14920,O14920-4,IKKB,CHEMBL1991,4,1870
O14939,O14939-1,PLD2,CHEMBL2734,pld2a,3513
O14939,O14939-3,PLD2,CHEMBL2734,pld2c,3514
O14939,O14939-4,PLD2,CHEMBL2734,pld2b,3515
O14976,O14976-1,GAK,CHEMBL4355,1,1493
O14976,O14976-2,GAK,CHEMBL4355,2,1494
O15054,O15054-1,KDM6B,CHEMBL1938211,1,2103
O15054,O15054-2,KDM6B,CHEMBL1938211,2,2104
O15075,O15075-1,DCLK1,CHEMBL5683,2,953
O15075,O15075-1,DCLK1,CHEMBL5683,al,954
O15075,O15075-2,DCLK1,CHEMBL5683,1,955
O15075,O15075-2,DCLK1,CHEMBL5683,as,956
O15075,O15075-3,DCLK1,CHEMBL5683,3,957
O15075,O15075-3,DCLK1,CHEMBL5683,bs,958
O15075,O15075-4,DCLK1,CHEMBL5683,4,959
O15075,O15075-4,DCLK1,CHEMBL5683,bl,960
O15120,O15120-1,PLCB,CHEMBL4772,1,3507
O15120,O15120-2,PLCB,CHEMBL4772,2,3508
O15146,O15146-1,MUSK,CHEMBL5684,1,2679
O15146,O15146-2,MUSK,CHEMBL5684,2,2680
O15146,O15146-3,MUSK,CHEMBL5684,3,2681
O15151,O15151-1,MDM4,CHEMBL1255126,1,2468
O15151,O15151-2,MDM4,CHEMBL1255126,2,2469
O15151,O15151-2,MDM4,CHEMBL1255126,mdmx-s,2470
O15151,O15151-3,MDM4,CHEMBL1255126,3,2471
O15151,O15151-3,MDM4,CHEMBL1255126,mdmx,2472
O15151,O15151-4,MDM4,CHEMBL1255126,hdmx211,2473
O15151,O15151-5,MDM4,CHEMBL1255126,5,2474
O15164,O15164-1,TIF1A,CHEMBL3108638,long,4206
O15164,O15164-2,TIF1A,CHEMBL3108638,short,4207
O15229,O15229-1,KMO,CHEMBL2145,1,2184
O15229,O15229-2,KMO,CHEMBL2145,2,2185
O15229,O15229-3,KMO,CHEMBL2145,3,2186
O15264,O15264-1,MK13,CHEMBL2939,1,2545
O15264,O15264-2,MK13,CHEMBL2939,2,2546
O15297,O15297-1,PPM1D,CHEMBL1938224,1,3598
O15297,O15297-2,PPM1D,CHEMBL1938224,2,3599
O15305,O15305-1,PMM2,CHEMBL1741162,1,3531
O15305,O15305-2,PMM2,CHEMBL1741162,2,3532
O15357,O15357-1,SHIP2,CHEMBL2331064,1,3983
O15357,O15357-2,SHIP2,CHEMBL2331064,2,3984
O15379,O15379-1,HDAC3,CHEMBL1829,1,1734
O15379,O15379-1,HDAC3,CHEMBL1829,rpd3-2b,1735
O15379,O15379-2,HDAC3,CHEMBL1829,2,1736
O15379,O15379-2,HDAC3,CHEMBL1829,rpd3-2a,1737
O15382,O15382-1,BCAT2,CHEMBL3616354,a,405
O15382,O15382-2,BCAT2,CHEMBL3616354,b,406
O15530,O15530-1,PDPK1,CHEMBL2534,1,3397
O15530,O15530-2,PDPK1,CHEMBL2534,2,3398
O15530,O15530-3,PDPK1,CHEMBL2534,3,3399
O15530,O15530-4,PDPK1,CHEMBL2534,4,3400
O15530,O15530-5,PDPK1,CHEMBL2534,5,3401
O15540,O15540-1,FABP7,CHEMBL3826863,1,1325
O15540,O15540-2,FABP7,CHEMBL3826863,2,1326
O35433,O35433-1,TRPV1,CHEMBL5102,1,4300
O35433,O35433-1,TRPV1,CHEMBL5102,vr1l1,4301
O35433,O35433-2,TRPV1,CHEMBL5102,2,4302
O35433,O35433-2,TRPV1,CHEMBL5102,vr1l2,4303
O35433,O35433-3,TRPV1,CHEMBL5102,3,4304
O35433,O35433-3,TRPV1,CHEMBL5102,vr.5'sv,4305
O35493,O35493-1,CLK4,CHEMBL1075283,1,869
O35493,O35493-2,CLK4,CHEMBL1075283,2,870
O35505,O35505-1,CAC1C,CHEMBL2366456,1,520
O35505,O35505-2,CAC1C,CHEMBL2366456,2,521
O35678,O35678-1,MGLL,CHEMBL5774,1,2496
O35678,O35678-2,MGLL,CHEMBL5774,2,2497
O35795,O35795-1,ENTP2,CHEMBL3300,1,1185
O35795,O35795-2,ENTP2,CHEMBL3300,2,1186
O35904,O35904-1,PK3CD,CHEMBL2216745,1,3496
O35904,O35904-1,PK3CD,CHEMBL2216745,p110-delta,3497
O35904,O35904-2,PK3CD,CHEMBL2216745,2,3498
O43174,O43174-1,CP26A,CHEMBL5141,1,906
O43174,O43174-2,CP26A,CHEMBL5141,2,907
O43293,O43293-1,DAPK3,CHEMBL2468,1,949
O43293,O43293-1,DAPK3,CHEMBL2468,zipk-l,950
O43293,O43293-2,DAPK3,CHEMBL2468,2,951
O43293,O43293-2,DAPK3,CHEMBL2468,zipk-s,952
O43318,O43318-1,M3K7,CHEMBL5776,1b,2362
O43318,O43318-2,M3K7,CHEMBL5776,1a,2363
O43318,O43318-3,M3K7,CHEMBL5776,1c,2364
O43318,O43318-4,M3K7,CHEMBL5776,1d,2365
O43353,O43353-1,RIPK2,CHEMBL5014,1,3772
O43353,O43353-2,RIPK2,CHEMBL5014,2,3773
O43451,O43451-1,MGA,CHEMBL2074,1,2494
O43451,O43451-2,MGA,CHEMBL2074,2,2495
O43463,O43463-1,SUV91,CHEMBL1795118,1,4097
O43463,O43463-2,SUV91,CHEMBL1795118,2,4098
O43497,O43497-1,CAC1G,CHEMBL4641,5,592
O43497,O43497-10,CAC1G,CHEMBL4641,10,593
O43497,O43497-11,CAC1G,CHEMBL4641,11,594
O43497,O43497-11,CAC1G,CHEMBL4641,variant 185,595
O43497,O43497-12,CAC1G,CHEMBL4641,12,596
O43497,O43497-12,CAC1G,CHEMBL4641,variant 189,597
O43497,O43497-13,CAC1G,CHEMBL4641,13,598
O43497,O43497-13,CAC1G,CHEMBL4641,variant 153,599
