id,uniprot_id_primary,target_chembl_id,name
O00238-1,BMR1B,CHEMBL5476,1
O00238-2,BMR1B,CHEMBL5476,2
O00311-1,CDC7,CHEMBL5443,1
O00311-1,CDC7,CHEMBL5443,-
O00142-1,KITM,CHEMBL4580,1
O00142-2,KITM,CHEMBL4580,2
O00142-3,KITM,CHEMBL4580,3
O00142-4,KITM,CHEMBL4580,4
O00142-5,KITM,CHEMBL4580,5
O00142-6,KITM,CHEMBL4580,6
O00255-1,MEN1,CHEMBL1615381,2
O00255-1,MEN1,CHEMBL1615381,long
O00255-2,MEN1,CHEMBL1615381,1
O00255-2,MEN1,CHEMBL1615381,short
O00255-3,MEN1,CHEMBL1615381,3
O00443-1,P3C2A,CHEMBL1075102,1
O00443-2,P3C2A,CHEMBL1075102,2
O00408-1,PDE2A,CHEMBL2652,pde2a3
O00408-2,PDE2A,CHEMBL2652,pde2a1
O00408-3,PDE2A,CHEMBL2652,pde2a2
O00408-4,PDE2A,CHEMBL2652,pde2a4
O00408-5,PDE2A,CHEMBL2652,5
O00408-6,PDE2A,CHEMBL2652,6
O00329-1,PK3CD,CHEMBL3130,1
O00329-1,PK3CD,CHEMBL3130,p110-delta
O00329-2,PK3CD,CHEMBL3130,2
O00329-2,PK3CD,CHEMBL3130,p37-delta
O00444-1,PLK4,CHEMBL3788,1
O00444-2,PLK4,CHEMBL3788,2
O00444-3,PLK4,CHEMBL3788,3
O00141-1,SGK1,CHEMBL2343,1
O00141-2,SGK1,CHEMBL2343,2
O00141-2,SGK1,CHEMBL2343,sgk1.1
O00141-2,SGK1,CHEMBL2343,sgk1_v2
O00141-3,SGK1,CHEMBL2343,3
O00141-3,SGK1,CHEMBL2343,sgk1.2
O00141-4,SGK1,CHEMBL2343,4
O00141-5,SGK1,CHEMBL2343,5
O00206-1,TLR4,CHEMBL5255,1
O00206-2,TLR4,CHEMBL5255,2
O00206-3,TLR4,CHEMBL5255,3
