id,uniprot_id_primary,target_chembl_id,name
P63104-1,1433Z,CHEMBL4105899,1
P63104-2,1433Z,CHEMBL4105899,2
P29372-1,3MG,CHEMBL3396943,1
P29372-2,3MG,CHEMBL3396943,2
P29372-4,3MG,CHEMBL3396943,3
P29372-5,3MG,CHEMBL3396943,4
-,5HT1A,CHEMBL214,-
P28223-1,5HT2A,CHEMBL224,1
P28223-2,5HT2A,CHEMBL224,2
P28335-1,5HT2C,CHEMBL225,1
P28335-2,5HT2C,CHEMBL225,2
O70212-1,5HT3A,CHEMBL3666,1
O70212-1,5HT3A,CHEMBL3666,5-ht3r-l
O70212-2,5HT3A,CHEMBL3666,2
O70212-2,5HT3A,CHEMBL3666,5-ht3r-s
P46098-1,5HT3A,CHEMBL1899,1
P46098-1,5HT3A,CHEMBL1899,5-ht3r-as
P46098-2,5HT3A,CHEMBL1899,2
P46098-2,5HT3A,CHEMBL1899,5-ht3r-al
P46098-3,5HT3A,CHEMBL1899,3
P46098-4,5HT3A,CHEMBL1899,4
P46098-5,5HT3A,CHEMBL1899,5
O70528-1,5HT4R,CHEMBL5017,1
O70528-1,5HT4R,CHEMBL5017,-
Q13639-1,5HT4R,CHEMBL1875,5-ht4(b)
Q13639-2,5HT4R,CHEMBL1875,5-ht4(a)
Q13639-2,5HT4R,CHEMBL1875,5-ht4s
Q13639-3,5HT4R,CHEMBL1875,5-ht4(c)
Q13639-4,5HT4R,CHEMBL1875,5-ht4(d)
Q13639-5,5HT4R,CHEMBL1875,5-ht4(e)
Q13639-5,5HT4R,CHEMBL1875,h5-ht4(g)
Q13639-6,5HT4R,CHEMBL1875,5-ht4(f)
Q13639-7,5HT4R,CHEMBL1875,5-ht4(g)
Q13639-8,5HT4R,CHEMBL1875,5-ht4(i)
Q13639-9,5HT4R,CHEMBL1875,5-ht4c1
P32305-1,5HT7R,CHEMBL3223,a
P32305-2,5HT7R,CHEMBL3223,b
P34969-1,5HT7R,CHEMBL3155,d
P34969-2,5HT7R,CHEMBL3155,a
P34969-3,5HT7R,CHEMBL3155,b
P21589-1,5NTD,CHEMBL5957,1
P21589-2,5NTD,CHEMBL5957,2
P36639-1,8ODP,CHEMBL3708265,p26
P36639-2,8ODP,CHEMBL3708265,p22
P36639-3,8ODP,CHEMBL3708265,p21
P36639-4,8ODP,CHEMBL3708265,p18
P05067-1,A4,CHEMBL2487,app770
P05067-1,A4,CHEMBL2487,prea4 770
P05067-10,A4,CHEMBL2487,app639
P05067-11,A4,CHEMBL2487,11
P05067-2,A4,CHEMBL2487,app305
P05067-3,A4,CHEMBL2487,l-app677
P05067-4,A4,CHEMBL2487,app695
P05067-4,A4,CHEMBL2487,prea4 695
P05067-5,A4,CHEMBL2487,l-app696
P05067-6,A4,CHEMBL2487,app714
P05067-7,A4,CHEMBL2487,l-app733
P05067-8,A4,CHEMBL2487,app751
P05067-8,A4,CHEMBL2487,prea4 751
P05067-9,A4,CHEMBL2487,l-app752
P30542-1,AA1R,CHEMBL226,1
P30542-2,AA1R,CHEMBL226,2
P0DMS8-1,AA3R,CHEMBL256,2
P0DMS8-1,AA3R,CHEMBL256,a3ar i2
P0DMS8-1,AA3R,CHEMBL256,a3ar
P0DMS9-1,AA3R,CHEMBL256,3
P0DMS9-1,AA3R,CHEMBL256,tmigd3 i3
P0DMS9-1,AA3R,CHEMBL256,a3ar i3
P0DMS9-2,AA3R,CHEMBL256,1
P0DMS9-2,AA3R,CHEMBL256,tmigd3 i1
P0DMS9-2,AA3R,CHEMBL256,a3ar i1
P28647-1,AA3R,CHEMBL3360,a
P28647-2,AA3R,CHEMBL3360,b
P28647-2,AA3R,CHEMBL3360,a3i
Q8N5Z0-1,AADAT,CHEMBL2046259,1
Q8N5Z0-2,AADAT,CHEMBL2046259,2
P31941-1,ABC3A,CHEMBL1741179,1
P31941-1,ABC3A,CHEMBL1741179,phorbolin-1
P31941-2,ABC3A,CHEMBL1741179,2
Q9HC16-1,ABC3G,CHEMBL1741217,1
Q9HC16-3,ABC3G,CHEMBL1741217,3
Q9UNQ0-1,ABCG2,CHEMBL5393,1
Q9UNQ0-2,ABCG2,CHEMBL5393,2
Q8N2K0-1,ABD12,CHEMBL5516,1
Q8N2K0-2,ABD12,CHEMBL5516,2
Q8N2K0-3,ABD12,CHEMBL5516,3
Q8R2Y0-1,ABHD6,CHEMBL5010,1
Q8R2Y0-2,ABHD6,CHEMBL5010,2
O95870-1,ABHGA,CHEMBL6168,1
O95870-2,ABHGA,CHEMBL6168,2
P00519-1,ABL1,CHEMBL1862,ia
P00519-2,ABL1,CHEMBL1862,ib
P00520-1,ABL1,CHEMBL3099,i
P00520-2,ABL1,CHEMBL3099,ii
P00520-3,ABL1,CHEMBL3099,iii
P00520-4,ABL1,CHEMBL3099,iv
P42684-1,ABL2,CHEMBL4014,1
P42684-1,ABL2,CHEMBL4014,ib
P42684-1,ABL2,CHEMBL4014,1blctl
P42684-10,ABL2,CHEMBL4014,10
P42684-10,ABL2,CHEMBL4014,1alcts
P42684-2,ABL2,CHEMBL4014,2
P42684-2,ABL2,CHEMBL4014,ia
P42684-2,ABL2,CHEMBL4014,1asctl
P42684-3,ABL2,CHEMBL4014,3
P42684-3,ABL2,CHEMBL4014,ic
P42684-3,ABL2,CHEMBL4014,1alctl
P42684-4,ABL2,CHEMBL4014,4
P42684-4,ABL2,CHEMBL4014,1ascts
P42684-5,ABL2,CHEMBL4014,5
P42684-5,ABL2,CHEMBL4014,1blcts
P42684-6,ABL2,CHEMBL4014,6
P42684-6,ABL2,CHEMBL4014,1bsctl
P42684-7,ABL2,CHEMBL4014,7
P42684-7,ABL2,CHEMBL4014,1bscts
P42684-8,ABL2,CHEMBL4014,8
P11497-1,ACACA,CHEMBL2397,1
P11497-2,ACACA,CHEMBL2397,2
Q13085-1,ACACA,CHEMBL3351,1
Q13085-2,ACACA,CHEMBL3351,2
Q13085-2,ACACA,CHEMBL3351,e5a
Q13085-3,ACACA,CHEMBL3351,3
Q13085-3,ACACA,CHEMBL3351,e5b
Q13085-4,ACACA,CHEMBL3351,4
O00763-1,ACACB,CHEMBL4829,1
O00763-1,ACACB,CHEMBL4829,long
O00763-2,ACACB,CHEMBL4829,2
O00763-2,ACACB,CHEMBL4829,short
O00763-3,ACACB,CHEMBL4829,3
O00763-3,ACACB,CHEMBL4829,acc2.v2
P12821-1,ACE,CHEMBL1808,somatic-1
P12821-2,ACE,CHEMBL1808,somatic-2
P12821-2,ACE,CHEMBL1808,soluble
P12821-3:P22966-1,ACE,CHEMBL1808,testis-specific
P12821-3:P22966-1,ACE,CHEMBL1808,ace-t
P12821-3:P22966-1,ACE,CHEMBL1808,acet
P12821-3:P22966-1,ACE,CHEMBL1808,tace
