target_chembl_id,uniprot_id_primary,name,name_type,source_column
CHEMBL1075102,P3C2A,1,isoform_name,isoform_names
CHEMBL1075102,P3C2A,2,isoform_name,isoform_names
CHEMBL1075102,P3C2A,PI3K-C2-alpha,uniprot_secondary,secondaryAccessionNames
CHEMBL1075102,P3C2A,PI3K-C2-alpha|PIK3C2A|Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha|Phosphoinositide 3-kinase-C2-alpha|PtdIns-3-kinase C2 subunit alpha|pik3c2a|pi3k-c2-alpha|phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha|phosphoinositide 3-kinase-c2-alpha|ptdins-3-kinase c2 subunit alpha,uniprot_alternative,protein_name_alt
CHEMBL1075102,P3C2A,PIK3C2A,gene_symbol,gene_symbol
CHEMBL1075102,P3C2A,PIK3C2A,gene_symbol,gene_symbol_list
CHEMBL1075102,P3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,chembl_preferred,pref_name
CHEMBL1075102,P3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,uniprot_recommended,recommendedName
CHEMBL1075102,P3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,uniprot_secondary,secondaryAccessionNames
CHEMBL1075102,P3C2A,Phosphoinositide 3-kinase-C2-alpha,uniprot_secondary,secondaryAccessionNames
CHEMBL1075102,P3C2A,PtdIns-3-kinase C2 subunit alpha,uniprot_secondary,secondaryAccessionNames
CHEMBL1075102,P3C2A,phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha,gtop_synonym,gtop_synonyms
CHEMBL1075102,P3C2A,phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha,uniprot_canonical,protein_name_canonical
CHEMBL1075102,P3C2A,phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha,uniprot_synonym,protein_synonym_list
CHEMBL1075102,P3C2A,phosphoinositide 3-kinase-c2-alpha,gtop_synonym,gtop_synonyms
CHEMBL1075102,P3C2A,phosphoinositide 3-kinase-c2-alpha,uniprot_synonym,protein_synonym_list
CHEMBL1075102,P3C2A,pi3k-c2-alpha,gtop_synonym,gtop_synonyms
CHEMBL1075102,P3C2A,pi3k-c2-alpha,uniprot_synonym,protein_synonym_list
CHEMBL1075102,P3C2A,pik3c2a,gtop_synonym,gtop_synonyms
CHEMBL1075102,P3C2A,pik3c2a,uniprot_synonym,protein_synonym_list
CHEMBL1075102,P3C2A,ptdins-3-kinase c2 subunit alpha,gtop_synonym,gtop_synonyms
CHEMBL1075102,P3C2A,ptdins-3-kinase c2 subunit alpha,uniprot_synonym,protein_synonym_list
CHEMBL1615381,MEN1,1,isoform_name,isoform_names
CHEMBL1615381,MEN1,2,isoform_name,isoform_names
CHEMBL1615381,MEN1,3,isoform_name,isoform_names
CHEMBL1615381,MEN1,MEN1,gene_symbol,gene_symbol
CHEMBL1615381,MEN1,MEN1,gene_symbol,gene_symbol_list
CHEMBL1615381,MEN1,MEN1|Menin|SCG2|men1|menin|scg2,uniprot_alternative,protein_name_alt
CHEMBL1615381,MEN1,Menin,chembl_preferred,pref_name
CHEMBL1615381,MEN1,Menin,uniprot_recommended,recommendedName
CHEMBL1615381,MEN1,Menin,uniprot_secondary,secondaryAccessionNames
CHEMBL1615381,MEN1,long,isoform_synonym,isoform_synonyms
CHEMBL1615381,MEN1,men1,gtop_synonym,gtop_synonyms
CHEMBL1615381,MEN1,men1,uniprot_synonym,protein_synonym_list
CHEMBL1615381,MEN1,menin,gtop_synonym,gtop_synonyms
CHEMBL1615381,MEN1,menin,uniprot_canonical,protein_name_canonical
CHEMBL1615381,MEN1,menin,uniprot_synonym,protein_synonym_list
CHEMBL1615381,MEN1,scg2,gtop_synonym,gtop_synonyms
CHEMBL1615381,MEN1,scg2,uniprot_synonym,protein_synonym_list
CHEMBL1615381,MEN1,short,isoform_synonym,isoform_synonyms
CHEMBL2343,SGK1,1,isoform_name,isoform_names
CHEMBL2343,SGK1,2,isoform_name,isoform_names
CHEMBL2343,SGK1,3,isoform_name,isoform_names
CHEMBL2343,SGK1,4,isoform_name,isoform_names
CHEMBL2343,SGK1,5,isoform_name,isoform_names
CHEMBL2343,SGK1,SGK1,gene_symbol,gene_symbol
CHEMBL2343,SGK1,SGK1,gene_symbol,gene_symbol_list
CHEMBL2343,SGK1,SGK|SGK1|Serine/threonine-protein kinase Sgk1|Serum/glucocorticoid-regulated kinase 1|sgk1|serine/threonine-protein kinase sgk1|serum/glucocorticoid-regulated kinase 1|sgk,uniprot_alternative,protein_name_alt
CHEMBL2343,SGK1,Serine/threonine-protein kinase Sgk1,chembl_preferred,pref_name
CHEMBL2343,SGK1,Serine/threonine-protein kinase Sgk1,uniprot_recommended,recommendedName
CHEMBL2343,SGK1,Serine/threonine-protein kinase Sgk1,uniprot_secondary,secondaryAccessionNames
CHEMBL2343,SGK1,Serum/glucocorticoid-regulated kinase 1,uniprot_secondary,secondaryAccessionNames
CHEMBL2343,SGK1,serine/threonine-protein kinase sgk1,gtop_synonym,gtop_synonyms
CHEMBL2343,SGK1,serine/threonine-protein kinase sgk1,uniprot_canonical,protein_name_canonical
CHEMBL2343,SGK1,serine/threonine-protein kinase sgk1,uniprot_synonym,protein_synonym_list
CHEMBL2343,SGK1,serum/glucocorticoid-regulated kinase 1,gtop_synonym,gtop_synonyms
