target_chembl_id,uniprot_id_primary,name,name_type,source_column
CHEMBL1075024,Q9FBC5,Enoyl-(Acyl-carrier-protein) reductase,chembl_preferred,pref_name
CHEMBL1075024,Q9FBC5,FABK,gene_symbol,gene_symbol
CHEMBL1075024,Q9FBC5,FABK,gene_symbol,gene_symbol_list
CHEMBL1075024,Q9FBC5,Probable nitronate monooxygenase,uniprot_recommended,recommendedName
CHEMBL1075024,Q9FBC5,Probable nitronate monooxygenase,uniprot_secondary,secondaryAccessionNames
CHEMBL1075024,Q9FBC5,Probable nitronate monooxygenase|fabK|fabk|probable nitronate monooxygenase|enoyl-(acyl-carrier-protein) reductase,uniprot_alternative,protein_name_alt
CHEMBL1075024,Q9FBC5,enoyl-(acyl-carrier-protein) reductase,gtop_synonym,gtop_synonyms
CHEMBL1075024,Q9FBC5,enoyl-(acyl-carrier-protein) reductase,uniprot_canonical,protein_name_canonical
CHEMBL1075024,Q9FBC5,enoyl-(acyl-carrier-protein) reductase,uniprot_synonym,protein_synonym_list
CHEMBL1075024,Q9FBC5,fabk,gtop_synonym,gtop_synonyms
CHEMBL1075024,Q9FBC5,fabk,uniprot_synonym,protein_synonym_list
CHEMBL1075024,Q9FBC5,probable nitronate monooxygenase,gtop_synonym,gtop_synonyms
CHEMBL1075024,Q9FBC5,probable nitronate monooxygenase,uniprot_synonym,protein_synonym_list
CHEMBL1075029,Q4VQ11,-,gene_symbol,gene_symbol
CHEMBL1075029,Q4VQ11,A1 adenosine receptor,chembl_preferred,pref_name
CHEMBL1075029,Q4VQ11,Adenosine receptor A1,uniprot_recommended,recommendedName
CHEMBL1075029,Q4VQ11,Adenosine receptor A1|-|adenosine receptor a1|a1 adenosine receptor,uniprot_alternative,protein_name_alt
CHEMBL1075029,Q4VQ11,a1 adenosine receptor,gtop_synonym,gtop_synonyms
CHEMBL1075029,Q4VQ11,a1 adenosine receptor,uniprot_canonical,protein_name_canonical
CHEMBL1075029,Q4VQ11,a1 adenosine receptor,uniprot_synonym,protein_synonym_list
CHEMBL1075029,Q4VQ11,adenosine receptor a1,gtop_synonym,gtop_synonyms
CHEMBL1075029,Q4VQ11,adenosine receptor a1,uniprot_synonym,protein_synonym_list
CHEMBL1075045,Q81VW8,DHPS,uniprot_secondary,secondaryAccessionNames
CHEMBL1075045,Q81VW8,DHPS|Dihydropteroate pyrophosphorylase|Dihydropteroate synthase|folP|folp|dhps|dihydropteroate pyrophosphorylase|dihydropteroate synthase,uniprot_alternative,protein_name_alt
CHEMBL1075045,Q81VW8,Dihydropteroate pyrophosphorylase,uniprot_secondary,secondaryAccessionNames
CHEMBL1075045,Q81VW8,Dihydropteroate synthase,chembl_preferred,pref_name
