target_chembl_id,uniprot_id_primary,organism,taxon_id,lineage_superkingdom,lineage_phylum,lineage_class,cellularity,multifunctional_enzyme
CHEMBL1075024,Q9FBC5,Streptococcus,1313,bacteria,bacillati,bacillota,unicellular,False
CHEMBL1075029,Q4VQ11,Sus,9823,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075045,Q81VW8,Bacillus cereus group,1392,bacteria,bacillati,bacillota,unicellular,False
CHEMBL1075051,DYR,Bos,9913,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075097,ARGI1,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075102,P3C2A,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075104,LRRK2,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075105,TP4A2,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075108,S12A5,Rattus,10116,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075115,DYRK4,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075126,KPYR,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075128,Q49PX0,Vaccinia virus,10246,viruses,varidnaviria,bamfordvirae,acellular (virus),False
CHEMBL1075132,TRAP1,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075133,GRK7,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075138,TYDP1,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075144,NMUR2,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075145,TERA,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075155,STK38,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075162,GPR17,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075163,HASP,Homo,9606,eukaryota,chordata,craniata,multicellular,False
CHEMBL1075164,TOP1,Rattus,10116,eukaryota,chordata,craniata,multicellular,False
