column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
uniprot_id,3200,3200,0.0,3200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,10.0,identifier-like,Q9FBC5 (1); G8JZV3 (1); Q4VQ11 (1)
names,3154,3154,0.014375000000000027,1884,0.5973367152821814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,112.0,273.0,530.0,free-text,NA|Neuraminidase (7); COX-1|COX1|Cyclooxygenase-1|PGH synthase 1|PGHS-1|PHS 1|PTGS (5); ADORA1|Adenosine receptor A1 (5)
genus,3154,3154,0.014375000000000027,91,0.028852251109701965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,11.0,45.0,categorical,Homo (2322); Rattus (251); Mus (222)
superkingdom,3154,3154,0.014375000000000027,4,0.0012682308180088776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,9.0,9.0,categorical,Eukaryota (3041); Bacteria (82); Viruses (29)
phylum,3154,3154,0.014375000000000027,14,0.004438807863031071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,8.0,8.0,17.0,categorical,Chordata (2954); Bacillati (51); Pseudomonadati (29)
lineage_class,3154,3154,0.014375000000000027,18,0.0057070386810399495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,8.0,9.0,17.0,categorical,Craniata (2954); Bacillota (33); Pseudomonadota (29)
taxon_id,3154,3154,0.014375000000000027,116,0.03677869372225745,0.0,0.0,0.0,0.0,0.0,0.0,0.985625,271.0,9606.0,10116.0,3052230.0,16581.14013950539,105639.72914382875,0.0028125,1764-07-01 00:00:00,1773-07-01 00:00:00,2044-10-21 00:00:00,3.0,4.0,5.0,7.0,numeric|free-text,9606 (2322); 10116 (251); 10090 (222)
sequence_length,3154,3154,0.014375000000000027,862,0.2733037412809131,0.0,0.0,0.0,0.0,0.0,0.0,0.985625,9.0,502.0,1480.6999999999998,7096.0,648.8291058972733,471.05805193923914,0.0215625,1682-07-01 00:00:00,1956-07-01 00:00:00,2224-07-01 00:00:00,1.0,3.0,4.0,4.0,numeric|free-text,466 (23); 359 (19); 362 (19)
molecular_function,2966,2966,0.073125,270,0.09103169251517194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,5.0,44.0,73.0,216.0,free-text,G-protein coupled receptor|Receptor|Transducer (433); Kinase|Serine/threonine-protein kinase|Transferase (382); Oxidoreductase (169)
cellular_component,2941,2941,0.0809375,361,0.12274736484189051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,22.0,76.0,185.0,free-text,Cell membrane|Membrane (555); Cytoplasm|Nucleus (226); Cytoplasm (212)
