document_chembl_id,doi,title,abstract,journal,volume,issue,first_page,last_page,pubmed_id,authors,postcodes,publication_date,sort_order.document,PublicationType,document_contains_external_links,is_experimental_doc,year,month,day,ISSN,citation,nActivity,citation_fraction
CHEMBL1130840,10.1016/s0960-894x(98)00249-2,Synthesis and anti-HIV activities of urea-PETT analogs belonging to a new class of potent non-nucleoside HIV-1 reverse transcriptase inhibitors.,A series of potent specific HIV-1 RT inhibitory compounds is described. The compounds are urea analogs of PETT (PhenylEthylThiazoleThiourea) derivatives and the series includes derivatives with an ethyl linker (1-6) and conformationally restricted analogs (7-13). The antiviral activity is determined both at the RT level and in cell culture on both native and mutant forms of HIV-1. Many compounds display activity in the nM range against wt-RT.,Bioorg Med Chem Lett,8,12,1511,1516,9873380,"Sahlberg C, Vrang L, Zhang H, Nor?en R, H?gberg M, Engelhardt P, Kangasmets? J",,2/1/1999,0960-894X:1999-02-01:0009873380,Journal Article,TRUE,TRUE,1999,2,1,0960-894X,15,32,0.46875
CHEMBL1138492,10.1021/jm900186m,Conformationally constrained analogues of diacylglycerol (DAG). 31. Modulation of the biological properties of diacylgycerol lactones (DAG-lactones) containing rigid-rod acyl groups separated from the core lactone by spacer units of different lengths.,"Diacylglycerol lactones built with a rigid 4-[(methylphenyl)ethynyl]phenyl rod that is separated from the exocyclic acylcarbonyl of the DAG-lactone core by a spacer unit of variable length were synthesized and studied. Binding affinities for a panel of classical and novel PKC isozymes in two different phospholipid environments, one corresponding to the plasma membrane of cells, were determined. The kinetics and site of translocation for the PKC isozymes alpha and delta upon treatment with the compounds were also studied as well as the early response of ERK phosphorylation and the late response of induction of apoptosis in the human prostatic carcinoma cell line LNCaP. Finally, the compounds were evaluated in terms of their interaction with biomimetic lipid/polydiacetylene membranes by the associated chromatic response. The different spatial disposition of the rigid structural motif on the DAG-lactones contributes to differential activity.",J Med Chem,52,10,3274,3283,19379015,"Marquez VE, Kobylarz R, Blumberg PM, Lewin NE, Kedei N, Velasquez JF, Telek A, Kolusheva S, Comin MJ, Jelinek R, Czifra G",84105,7/17/2009,1520-4804:2009-07-17:0019379015,"Journal Article|Research Support, N.I.H., Intramural",FALSE,TRUE,2009,7,17,1520-4804,0,40,0
CHEMBL1130882,10.1016/s0960-894x(98)00318-7,"C-alkylated spiro[benzofuran-3(2H),4'-1'-methyl-piperidine-7-ols] as potent opioids: a conformation-activity study.","Among a series of C-alkylated analogs of the weak mu opioid ligand spiro[benzofuran-3(2H),4'-1'-methylpiperidine-7-ol] (1), the 2-methyl, 2-ethyl, and cis 3'-methyl analogs, namely compounds (+/-)2, (+/-)-3, and (+/-)-4, showed much enhanced mu-affinities, with (+/-)-4 being almost as potent as (-)-morphine; while the trans 3'-methyl analog (+/-)-5 remained a weak mu-binder. Energy calculations and nmr data indicated that compounds 2-4 favor phenyl-axial conformations, while compounds 1 and 5 favor phenyl-equatorial conformations.",Bioorg Med Chem Lett,8,14,1813,1818,9873439,"Liou JP, Cheng CY, Liao R, Tsai YC, Tao PL",,2/4/1999,0960-894X:1999-02-04:0009873439,"Journal Article|Research Support, Non-U.S. Gov't",FALSE,TRUE,1999,2,4,0960-894X,0,4,0
CHEMBL1140225,10.1021/jm800527x,Design of annulated pyrazoles as inhibitors of HIV-1 reverse transcriptase.,"Non-nucleoside reverse transcriptase inhibitors (NNRTIs) are recommended components of preferred combination antiretroviral therapies used for the treatment of HIV. These regimens are extremely effective in suppressing virus replication. Structure-based optimization of diaryl ether inhibitors led to the discovery of a new series of pyrazolo[3,4-c]pyridazine NNRTIs that bind the reverse transcriptase enzyme of human immunodeficiency virus-1 (HIV-RT) in an expanded volume relative to most other inhibitors in this class.The binding mode maintains the beta13 and beta14 strands bearing Pro236 in a position similar to that in the unliganded reverse transcriptase structure, and the distribution of interactions creates the opportunity for substantial resilience to single point mutations. Several pyrazolopyridazine NNRTIs were found to be highly effective against wild-type and NNRTI-resistant viral strains in cell culture.",J Med Chem,51,23,7449,7458,19007201,"Kennedy-Smith JJ, Zhang FJ, Roetz R, Villase?or AG, Su G, Tsing S, Gleason SK, Billedeau JR, Harris SF, Fretland J, Li Y, Zhou AS, Sweeney ZK, Davidson JP, Arora SF, Sperry S, Heilek G, Smith M, Hirschfeld D, Paul A, Javanbakht H, Klumpp K, Suh JM, Wu J, Mirzadegan T, Jernelius JA, Hang JQ",94304,4/3/2009,1520-4804:2009-04-03:0019007201,Journal Article,FALSE,TRUE,2009,4,3,1520-4804,1,14,0.071428571
CHEMBL2074061,10.1016/s0006-2952(02)01015-8,Inhibition of transport across the hepatocyte canalicular membrane by the antibiotic fusidate.,"Hyperbilirubinemia is a frequent side effect induced by long-term therapy with the antibiotic fusidate. The aim of this study was to elucidate the molecular mechanisms of fusidate-induced hyperbilirubinemia by investigating its influence on hepatic transport systems in the canalicular membrane. Using canalicular membrane vesicles from rat liver, we determined the effect of fusidate on the adenosine 5'-triphosphate (ATP)-dependent transport of substrates of the apical conjugate export pump, multi-drug resistance protein 2 (Mrp2, symbol Abcc2) and the bile salt export pump (Bsep, symbol Abcb11). Fusidate inhibited the ATP-dependent transport of the Mrp2 substrates 17beta-glucuronosyl estradiol and leukotriene C4, and the transport of cholyltaurine by Bsep with Ki values of 2.2+/-0.3, 7.6+/-1.3, and 5.5+/-0.8 microM, respectively. To elucidate the in vivo implication of these findings, the effect of fusidate treatment on the elimination of intravenously administered tracer doses of 17beta-glucuronosyl estradiol and cholyltaurine into bile was studied in rats. Treatment with fusidate (100 micromol/kg body weight) reduced the biliary excretion rate of 17beta-glucuronosyl [3H]estradiol and [3H]cholyltaurine by 75 and 80%, respectively. Extended treatment of rats with fusidate (100 micromol/kg body weight, three times daily i.p. for 3 days) reduced hepatic Mrp2 protein levels by 61% (P<0.001). Our data suggest that there are at least two different mechanisms involved in the impairment of transport processes and hepatobiliary elimination by fusidate, direct inhibition of transport of Mrp2 and Bsep substrates by competitive interaction and impairment by a decreased level of hepatic Mrp2.",Biochem Pharmacol,64,1,151,158,12106615,"Keppler D, Bode KA, Donner MG, Leier I",,8/7/2002,0006-2952:2002-08-07:0012106615,"Journal Article|Research Support, Non-U.S. Gov't",FALSE,TRUE,2002,8,7,0006-2952,0,2,0
CHEMBL1138468,10.1021/jm8016514,"Potent, brain-penetrant, hydroisoindoline-based human neurokinin-1 receptor antagonists.","3-[(3aR,4R,5S,7aS)-5-{(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy}-4-(4-fluorophenyl)octahydro-2H-isoindol-2-yl]cyclopent-2-en-1-one (17) is a high affinity, brain-penetrant, hydroisoindoline-based neurokinin-1 (NK(1)) receptor antagonist with a long central duration of action in preclinical species and a minimal drug-drug interaction profile. Positron emission tomography (PET) studies in rhesus showed that this compound provides 90% NK(1) receptor blockade in rhesus brain at a plasma level of 67 nM, which is about 10-fold more potent than aprepitant, an NK(1) antagonist marketed for the prevention of chemotherapy-induced and postoperative nausea and vomiting (CINV and PONV). The synthesis of this enantiomerically pure compound containing five stereocenters includes a Diels-Alder condensation, one chiral separation of the cyclohexanol intermediate, an ether formation using a trichloroacetimidate intermediate, and bis-alkylation to form the cyclic amine.",J Med Chem,52,9,3039,3046,19354254,"Chicchi GG, Carlson EJ, Mills SG, Wheeldon A, Tsao KL, Tschirret-Guth R, Krause SM, Kurtz MM, Ryan C, Tong X, DeVita RJ, Kumar S, Hargreaves R, Burns D, Upthagrove A, Eng W, Zheng S, Hamill T, Samuel K, Bunda JL, Doss GA, Jiang J",19486,6/2/2009,1520-4804:2009-06-02:0019354254,Journal Article,FALSE,TRUE,2009,6,2,1520-4804,0,16,0
CHEMBL1130597,10.1016/s0960-894x(98)00472-7,Design of a high affinity peptidomimetic opioid agonist from peptide pharmacophore models.,"A pair of diastereomeric peptidomimetics based upon opioid receptor-binding pharmacophore models derived for a series of opioid tetrapeptides was synthesized. Both analogues display high opioid receptor affinity, moderate selectivity for the mu opioid receptor, and are potent, full agonists.",Bioorg Med Chem Lett,8,19,2685,2688,9873603,"Traynor JR, Mosberg HI, McFadyen IJ, Wang C",,2/2/1999,0960-894X:1999-02-02:0009873603,"Journal Article|Research Support, U.S. Gov't, P.H.S.",FALSE,TRUE,1999,2,2,0960-894X,0,4,0
CHEMBL1140055,10.1021/jm8005838,"Mixed-lineage kinase 1 and mixed-lineage kinase 3 subtype-selective dihydronaphthyl[3,4-a]pyrrolo[3,4-c]carbazole-5-ones: optimization, mixed-lineage kinase 1 crystallography, and oral in vivo activity in 1-methyl-4-phenyltetrahydropyridine models.","The optimization of the dihydronaphthyl[3,4-a]pyrrolo[3,4-c]carbazole-5-one R(2) and R(12) positions led to the identification of the first MLK1 and MLK3 subtype-selective inhibitors within the MLK family. Compounds 14 (CEP-5104) and 16 (CEP-6331) displayed good potency for MLK1 and MLK3 inhibition with a greater than 30- to 100-fold selectivity for related family members MLK2 and DLK. Compounds 14 and 16 were orally active in vivo in a mouse MPTP biochemical efficacy model that was comparable to the first-generation pan-MLK inhibitor 1 (CEP-1347). The MLK1 structure-activity relationships were supported by the first-reported X-ray crystal structure of MLK1 bound with 16.",J Med Chem,51,18,5680,5689,18714982,"Diebold JL, Fedorov EV, Mallamo JP, Husten J, Meyer SL, Bozyczko-Coyne D, Durkin JT, Ator MA, Fedorov AA, Hudkins RL, Holskin BP, Tao M, Angeles TS, Aimone LD, Almo SC, Park CH, Saporito MS, Josef KA, Mathiasen JR, Scott RW",10461,10/9/2008,1520-4804:2008-10-09:0018714982,Journal Article,TRUE,TRUE,2008,10,9,1520-4804,0,10,0
CHEMBL1130663,10.1016/s0960-894x(98)00576-9,N-substituted octahydro-4a-(3-hydroxyphenyl)-10a-methyl-benzo[g]isoquinolines are opioid receptor pure antagonists.,"N-Methyl- and N-phenylethyl-(+/-)-1,2,3,4,4a,5,10,10a- octahydro-4a-(3-hydroxyphenyl)-10a-methyl-benzo[g]isoquinolines (4 and 5, respectively) were found to be pure opioid antagonists. These compounds were shown to share many of the characteristics identified with the N-methyl- and N-phenylethyl trans-3,4-dimethyl-4-(3-hydroxyphenyl)piperidine (1 and 2, respectively) including N-substituent mediated potency and a lack of N-substituent mediated antagonism. These data suggest that compounds 4 and 5 and the N-substituted trans-3,4-dimethyl-4-(3-hydroxyphenyl)piperidines (1 and 2) may interact with opioid receptors similarly.",Bioorg Med Chem Lett,8,22,3149,3152,9873693,"Flippen-Anderson JL, Carroll FI, Mascarella SW, Burgess JP, Thomas JB, George CF, Xu H, Zimmerman DM, Cantrell BE, Rothman RB, McCullough KB",,1/26/1999,0960-894X:1999-01-26:0009873693,"Journal Article|Research Support, U.S. Gov't, P.H.S.",TRUE,TRUE,1999,1,26,0960-894X,,,0
CHEMBL1137003,10.1016/j.bmcl.2009.05.041,Novel sulfone-containing di- and trisubstituted cyclohexanes as potent CC chemokine receptor 2 (CCR2) antagonists.,"Potent sulfone-containing di- and trisubstituted cyclohexanes were synthesized and evaluated as CC chemokine receptor 2 (CCR2) antagonists. This led to the trisubstituted derivative 54, which exhibited excellent binding (CCR2 IC(50)=1.3nM) and functional antagonism (calcium flux IC(50)=0.5nM and chemotaxis IC(50)=0.2nM). The superiority of the trisubstituted scaffold was rationalized to be the result of a conformational rigidification, which provided insight into the bioactive conformation of this chemotype.",Bioorg Med Chem Lett,19,13,3418,3422,19481449,"Yang G, Lo YC, Decicco CP, Voss ME, Meyer DT, Carter PH, Cherney RJ, Tebben AJ, Miller PB, Mo R, Scherle PA",,9/1/2009,1464-3405:2009-09-01:0019481449,Journal Article,TRUE,TRUE,2009,9,1,1464-3405,2,20,0.1
