column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
chembl_id,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,10.899999999999997,13.0,identifier-like,CHEMBL247 (1); CHEMBL267 (1); CHEMBL3332 (1)
uniprotkb_Id,15,15,0.0,14,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,5.0,6.0,6.0,free-text,CCKAR (2); Q72547 (1); SRC (1)
uniprot_id,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,identifier-like,Q72547 (1); P12931 (1); O77636 (1)
secondary_uniprot_id,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,52.19999999999999,62.0,identifier-like,Q72547 (1); E1P5V4|Q76P87|Q86VB9|Q9H5A8 (1); A5A749 (1)
gene_name,15,15,0.0,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,6.599999999999998,8.0,free-text,POL (2); CCKAR (2); SRC (1)
recommended_name,15,15,0.0,14,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,27.0,48.59999999999999,57.0,free-text,cholecystokinin a receptor (2); human immunodeficiency virus type 1 reverse transcriptase (1); tyrosine-protein kinase src (1)
synonyms,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,26.0,120.0,255.19999999999987,328.0,identifier-like,pol|reverse transcriptase/rnaseh|pol|human immunodeficiency  (1); src|src1|proto-oncogene c-src|proto-oncogene tyrosine-protei (1); adam17|tace|adam 17|disintegrin and metalloproteinase domain (1)
genus,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,10.0,10.0,free-text,Homo (7); Lentivirus (3); Cavia (3)
superkingdom,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,9.0,9.0,free-text,Eukaryota (12); Viruses (3)
phylum,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,9.0,9.0,free-text,Chordata (12); Riboviria (3)
taxon_id,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9606.0,9823.0,11676.0,11676.0,10175.466666666667,781.2886676653017,1.0,1970-01-01 00:00:00.000009606,1970-01-01 00:00:00.000009823,1970-01-01 00:00:00.000011676,4.0,4.0,5.0,5.0,date|numeric|free-text,9606 (7); 11676 (3); 10141 (3)
ec_number,15,15,0.0,4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,8.299999999999999,9.0,free-text,- (9); 2.7.10.2 (3); 2.7.10.1 (2)
hgnc_name,7,7,0.5333333333333333,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,5.0,5.0,identifier-like,SRC (1); GNRHR (1); LCK (1)
hgnc_id,7,7,0.5333333333333333,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,1571.0,6307.0,11591.699999999999,11724.0,6552.428571428572,3481.9842396107942,0.0,,,,4.0,4.0,5.0,5.0,identifier-like,11283 (1); 4421 (1); 6524 (1)
molecular_function,15,15,0.0,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,34.0,46.0,94.29999999999993,144.0,free-text,g-protein coupled receptor|receptor|transducer (6); kinase|transferase|tyrosine-protein kinase (2); aspartyl protease|hydrolase|protease (2)
cellular_component,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,22.0,111.19999999999999,114.0,free-text,cell membrane|membrane (5); host endosome (3); cell junction|cell membrane|cytoplasm|cytoskeleton|membrane| (1)
subcellular_location,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,42.0,122.09999999999997,148.0,free-text,"cell membrane (5); host endosome, host multivesicular body|virion membrane (3); cell junction|cell junction, focal adhesion|cell membrane|cy (1)"
topology,14,14,0.06666666666666665,3,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,27.0,35.0,35.0,free-text,multi-pass membrane protein (6); lipid-anchor (5); single-pass type i membrane protein (3)
transmembrane,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6,0.48989794855663565,0.0,,,,4.0,4.0,5.0,5.0,numeric|free-text,True (9); False (6)
intramembrane,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
glycosylation,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.49888765156985887,0.0,,,,4.0,5.0,5.0,5.0,numeric|free-text,False (8); True (7)
lipidation,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4,0.48989794855663565,0.0,,,,4.0,5.0,5.0,5.0,numeric|free-text,False (9); True (6)
disulfide_bond,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5333333333333333,0.4988876515698588,0.0,,,,4.0,4.0,5.0,5.0,numeric|free-text,True (8); False (7)
modified_residue,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.4988876515698588,0.0,,,,4.0,5.0,5.0,5.0,numeric|free-text,False (8); True (7)
phosphorylation,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
acetylation,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
ubiquitination,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
signal_peptide,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
propeptide,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|free-text,False (15)
isoform_names,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,3.0,10.599999999999998,12.0,free-text,- (7); 1|2|3 (5); long|short (1)
isoform_ids,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,17.0,26.0,26.0,free-text,- (7); P12931-1|P12931-2|P12931-3 (1); Q9JI35-1|Q9JI35-2 (1)
isoform_synonyms,15,15,0.0,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,7.0,32.199999999999996,35.0,free-text,- (7); n/a|n/a|n/a (2); c-src|c-srcn1:n1-src|c-srcn2:n2-src (1)
reactions,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,325.89999999999986,426.0,free-text,- (8); L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] +  (4); Endohydrolysis of RNA in RNA/DNA hybrids. Three different cl (1)
target_id,12,12,0.19999999999999996,11,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8,76.0,990.5,2121.85,2206.0,1055.8333333333333,889.998298999623,0.3333333333333333,1813-07-01 00:00:00.000000000,2026-07-01 00:00:00.000000000,2206-07-01 00:00:00.000000000,2.0,3.5,4.0,4.0,numeric|free-text,76 (2); 2206 (1); 1662 (1)
IUPHAR_family_id,12,12,0.19999999999999996,8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.0,187.0,672.9999999999999,739.0,284.0833333333333,280.8120540899593,0.0,,,,4.0,4.0,4.0,4.0,numeric|free-text,0619 (3); 0015 (3); 0739 (1)
IUPHAR_type,15,15,0.0,4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,16.0,27.0,35.0,35.0,free-text,Receptor.G protein-coupled receptor (6); Enzyme.Hydrolase (4); Enzyme.Transferase (3)
IUPHAR_class,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,8.0,8.0,8.0,free-text,Receptor (8); Enzyme (7)
IUPHAR_subclass,15,15,0.0,4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,18.0,26.0,26.0,free-text,G protein-coupled receptor (6); Hydrolase (4); Transferase (3)
IUPHAR_chain,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,14.0,29.0,29.0,free-text,0690-4>0690 (3); 0619>0936>0686>0699>0862>0688 (3); 0015>0694>0688 (3)
full_id_path,15,15,0.0,12,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,18.0,34.0,34.0,free-text,- (3); 76#0015>0694>0688 (2); 2206#0619>0936>0686>0699>0862>0688 (1)
full_name_path,15,15,0.0,12,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,74.0,158.49999999999997,169.0,free-text,"- (3); cck1 receptor#Cholecystokinin receptor>G protein-coupled rec (2); src proto-oncogene, non-receptor tyrosine kinase#Src family> (1)"
GuidetoPHARMACOLOGY,8,8,0.4666666666666667,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,76.0,1827.5,2152.45,2206.0,1293.625,905.2188875487519,0.3333333333333333,1813-07-01 00:00:00.000000000,2026-07-01 00:00:00.000000000,2206-07-01 00:00:00.000000000,2.0,4.0,4.0,4.0,identifier-like,2206 (1); 256 (1); 2053 (1)
type,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,22.0,22.0,22.0,free-text,Multicellular organism (12); Viruses (3)
