column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
uniprot_id,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,identifier-like,Q72547 (1); P12931 (1); O77636 (1)
names,15,15,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,93.0,212.79999999999995,252.0,identifier-like,Reverse transcriptase/RNaseH|pol (1); Proto-oncogene c-Src|Proto-oncogene tyrosine-protein kinase  (1); ADAM 17|ADAM17|Disintegrin and metalloproteinase domain-cont (1)
genus,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,10.0,10.0,free-text,Homo (7); Lentivirus (3); Cavia (3)
superkingdom,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,9.0,9.0,free-text,Eukaryota (12); Viruses (3)
phylum,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,9.0,9.0,free-text,Chordata (12); Riboviria (3)
taxon_id,15,15,0.0,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9606.0,9823.0,11676.0,11676.0,10175.466666666667,781.2886676653017,0.0,,,,4.0,4.0,5.0,5.0,numeric|free-text,9606 (7); 11676 (3); 10141 (3)
molecular_function,15,15,0.0,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,34.0,46.0,94.29999999999993,144.0,free-text,G-protein coupled receptor|Receptor|Transducer (6); Kinase|Transferase|Tyrosine-protein kinase (2); Aspartyl protease|Hydrolase|Protease (2)
cellular_component,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,22.0,111.19999999999999,114.0,free-text,Cell membrane|Membrane (5); Host endosome (3); Cell junction|Cell membrane|Cytoplasm|Cytoskeleton|Membrane| (1)
ec_numbers,6,6,0.6,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.75,9.0,free-text,2.7.10.2 (3); 2.7.10.1 (2); 3.4.24.86 (1)
subcellular_location,15,15,0.0,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,42.0,122.09999999999997,148.0,free-text,"Cell membrane (5); Host endosome, host multivesicular body|Virion membrane (3); Cell junction|Cell junction, focal adhesion|Cell membrane|Cy (1)"
topology,14,14,0.06666666666666665,3,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,27.0,35.0,35.0,free-text,Multi-pass membrane protein (6); Lipid-anchor (5); Single-pass type I membrane protein (3)
transmembrane,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,4.0,5.0,5.0,boolean|free-text,True (9); False (6)
intramembrane,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
glycosylation,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|free-text,False (8); True (7)
lipidation,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|free-text,False (9); True (6)
disulfide_bond,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,4.0,5.0,5.0,boolean|free-text,True (8); False (7)
modified_residue,15,15,0.0,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|free-text,False (8); True (7)
phosphorylation,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
acetylation,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
ubiquitination,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
signal_peptide,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
propeptide,15,15,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (15)
isoform_names,8,8,0.4666666666666667,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,5.0,11.299999999999999,12.0,free-text,1|2|3 (5); Long|Short (1); 1|2 (1)
isoform_ids,8,8,0.4666666666666667,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,26.0,26.0,26.0,identifier-like,P12931-1|P12931-2|P12931-3 (1); Q9JI35-1|Q9JI35-2 (1); P30968-1|P30968-2 (1)
isoform_synonyms,8,8,0.4666666666666667,7,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,12.0,33.599999999999994,35.0,free-text,N/A|N/A|N/A (2); c-src|c-srcN1:N1-Src|c-srcN2:N2-Src (1); H3L|H3S (1)
GuidetoPHARMACOLOGY,8,8,0.4666666666666667,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,76.0,1827.5,2152.45,2206.0,1293.625,905.2188875487519,0.3333333333333333,1813-07-01 00:00:00,2026-07-01 00:00:00,2206-07-01 00:00:00,2.0,4.0,4.0,4.0,identifier-like,2206 (1); 256 (1); 2053 (1)
family,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
SUPFAM,15,15,0.0,7,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,26.0,26.0,free-text,SSF81321 (6); SSF56112|SSF55550|SSF50044 (3); SSF50630 (2)
PROSITE,15,15,0.0,7,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,15.0,15.0,46.199999999999974,63.0,free-text,PS00237|PS50262 (6); PS00107|PS50011|PS00109|PS50001|PS50002 (3); PS50175|PS00141 (2)
InterPro,15,15,0.0,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,29.0,59.0,160.99999999999994,189.0,free-text,IPR001969|IPR001995|IPR021109|IPR034170|IPR018061 (2); IPR009126|IPR000596|IPR015276|IPR036472|IPR000276|IPR017452 (2); IPR043502|IPR043128|IPR012337|IPR002156|IPR036397|IPR000477| (1)
