activity_chembl_id,Filtered.init,IUPHAR_class,IUPHAR_subclass,assay_chembl_id,bao_endpoint,bao_format,compound_key,compound_name,document_chembl_id,exact_data_citation,gene_index,high_citation_rate,higly_correlated_assay,is_citation,molecule_chembl_id,multifunctional_enzyme,multmol_assay,no_issue,original_activity_approx,original_activity_exact,pA_value,review,rounded_data_citation,saltform_id,shuffled_assay,standard_type,standard_value,target_chembl_id,target_sort_order,taxon_index,unicellular_organism,unknown_chirality
33279,exact data citation,0688--,0694--,CHEMBL754629,BAO_0000192,BAO_0000357,1,"3-((3R,4R)-1,3,4-Trimethyl-piperidin-4-yl)-phenol",CHEMBL1130663,TRUE,OPRK1###,FALSE,TRUE,TRUE,CHEMBL318723,FALSE,FALSE,FALSE,127187,127187,2.92065,FALSE,TRUE,CHEMBL318723,FALSE,Ki,833,CHEMBL3952,0688--:0694--:OPRK1###:010141,10141,FALSE,FALSE
34166,exact data citation,0688--,0694--,CHEMBL616910,BAO_0000190,BAO_0000219,4,"3-(3-{4-[2-(3-Fluoro-phenyl)-ethyl]-piperazin-1-yl}-propyl)-5-[1,2,4]triazol-4-yl-1H-indole",CHEMBL1131027,TRUE,HTR1D###,FALSE,FALSE,TRUE,CHEMBL292779,FALSE,FALSE,FALSE,301902,301902,-0.221849,FALSE,TRUE,CHEMBL292779,FALSE,IC50,0.6,CHEMBL1983,0688--:0694--:HTR1D###:009606,9606,FALSE,FALSE
41129,exact data citation,0688--,0694--,CHEMBL640560,BAO_0000192,BAO_0000219,2,"N-[2-Furan-2-yl-8-(3-phenyl-propyl)-2,8-dihydro-3H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl]-2-phenoxy-acetamide",CHEMBL1145112,TRUE,ADORA1##,FALSE,TRUE,TRUE,CHEMBL341376,FALSE,FALSE,FALSE,730283,730283,2.84634,FALSE,TRUE,CHEMBL341376,FALSE,Ki,702,CHEMBL226,0688--:0694--:ADORA1##:009606,9606,FALSE,FALSE
41130,exact data citation,0688--,0694--,CHEMBL643209,BAO_0000192,BAO_0000219,2,"N-[2-Furan-2-yl-8-(3-phenyl-propyl)-2,8-dihydro-3H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl]-2-phenoxy-acetamide",CHEMBL1145112,TRUE,ADORA2A#,FALSE,TRUE,TRUE,CHEMBL341376,FALSE,FALSE,FALSE,730284,730284,2.62634,FALSE,TRUE,CHEMBL341376,FALSE,Ki,423,CHEMBL251,0688--:0694--:ADORA2A#:009606,9606,FALSE,FALSE
41131,exact data citation,0688--,0694--,CHEMBL642009,BAO_0000192,BAO_0000219,2,"N-[2-Furan-2-yl-8-(3-phenyl-propyl)-2,8-dihydro-3H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl]-2-phenoxy-acetamide",CHEMBL1145112,TRUE,ADORA2B#,FALSE,TRUE,TRUE,CHEMBL341376,FALSE,FALSE,FALSE,730285,730285,2.21748,FALSE,TRUE,CHEMBL341376,FALSE,Ki,165,CHEMBL255,0688--:0694--:ADORA2B#:009606,9606,FALSE,FALSE
41132,exact data citation,0688--,0694--,CHEMBL641961,BAO_0000192,BAO_0000219,2,"N-[2-Furan-2-yl-8-(3-phenyl-propyl)-2,8-dihydro-3H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl]-2-phenoxy-acetamide",CHEMBL1145112,TRUE,ADORA3##,FALSE,TRUE,TRUE,CHEMBL341376,FALSE,FALSE,FALSE,730286,730286,-0.091515,FALSE,TRUE,CHEMBL341376,FALSE,Ki,0.81,CHEMBL256,0688--:0694--:ADORA3##:009606,9606,FALSE,FALSE
43767,exact data citation,0688--,0694--,CHEMBL616910,BAO_0000190,BAO_0000219,5,"3-[3-(4-Benzyl-piperazin-1-yl)-propyl]-5-[1,2,4]triazol-4-yl-1H-indole",CHEMBL1131027,TRUE,HTR1D###,FALSE,FALSE,TRUE,CHEMBL65367,FALSE,FALSE,FALSE,292992,292992,-0.69897,FALSE,TRUE,CHEMBL65367,FALSE,IC50,0.2,CHEMBL1983,0688--:0694--:HTR1D###:009606,9606,FALSE,FALSE
44708,exact data citation,0688--,0694--,CHEMBL640560,BAO_0000192,BAO_0000219,1,"1-(2-Furan-2-yl-8-methyl-8H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl)-3-phenyl-urea",CHEMBL1145112,TRUE,ADORA1##,FALSE,TRUE,TRUE,CHEMBL324735,FALSE,FALSE,FALSE,752964,752964,2.77379,FALSE,TRUE,CHEMBL324735,FALSE,Ki,594,CHEMBL226,0688--:0694--:ADORA1##:009606,9606,FALSE,FALSE
44709,exact data citation,0688--,0694--,CHEMBL643209,BAO_0000192,BAO_0000219,1,"1-(2-Furan-2-yl-8-methyl-8H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl)-3-phenyl-urea",CHEMBL1145112,TRUE,ADORA2A#,FALSE,TRUE,TRUE,CHEMBL324735,FALSE,FALSE,FALSE,752965,752965,2.58092,FALSE,TRUE,CHEMBL324735,FALSE,Ki,381,CHEMBL251,0688--:0694--:ADORA2A#:009606,9606,FALSE,FALSE
44710,exact data citation,0688--,0694--,CHEMBL642009,BAO_0000192,BAO_0000219,1,"1-(2-Furan-2-yl-8-methyl-8H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-yl)-3-phenyl-urea",CHEMBL1145112,TRUE,ADORA2B#,FALSE,TRUE,TRUE,CHEMBL324735,FALSE,FALSE,FALSE,752966,752966,2.34635,FALSE,TRUE,CHEMBL324735,FALSE,Ki,222,CHEMBL255,0688--:0694--:ADORA2B#:009606,9606,FALSE,FALSE
