Column1,ISSN,PublicationType,abstract,authors,citation,citation_fraction,classification,day,document_chembl_id,document_contains_external_links,doi,first_page,is_experimental_doc,issue,journal,last_page,month,nActivity,postcodes,publication_date,pubmed_id,sort_order.document,title,volume,year
0.5,1768-3254,Journal Article,"A series of novel oxazolo[5,4-d]pyrimidines was designed via a scaffold hopping strategy and synthesized through a newly developed approach. All these compounds were evaluated for their biological activity toward CB1/CB2 cannabinoid receptors, their metabolic stability in mice liver microsomes and their cytotoxicity against several cell lines. Eight compounds have been identified as CB2 ligands with Ki values less than 1??M. It is noteworthy that 2-(2-chlorophenyl)-5-methyl-7-(4-methylpiperazin-1-yl) oxazolo[5,4-d]pyrimidine 47 and 2-(2-chlorophenyl)-7-(4-ethylpiperazin-1-yl)- 5-methyloxazolo[5,4-d]pyrimidine 48 showed CB2 binding affinity in the nanomolar range and significant selectivity over CB1 receptors. Interestingly, functionality studies imply that they behave as competitive neutral antagonists. Moreover, all tested compounds are devoid of cytotoxicity toward several cell lines, including Chinese hamster ovary cells (CHO) and human colorectal adenocarcinoma cells HT29.","Leleu-Chavain N, Dezitter X, Barczyk A, Lemaire L, Klupsch F, Chavatte P, Spencer J, Tuo W, Bollier M, Szczepanski F, Millet R",2,0.5,,22,CHEMBL4145495,TRUE,10.1016/j.ejmech.2018.01.034,68,TRUE,0,Eur J Med Chem,78,3,4,,3/22/2018,29360044,1768-3254:2018-03-22:0029360044,"Development of novel oxazolo[5,4-d]pyrimidines as competitive CB2 neutral antagonists based on scaffold hopping.",146,2018
0.5,1768-3254,Journal Article,"Activating mutations of REarrange during Transfection (RET) kinase frequently occur in human thyroid and lung cancers. An enormous effort has been devoted to discover potent and selective inhibitors of RET. Selective and potent inhibitors against constitutively active RET mutants are rare to date as identification of selective RET inhibitors is challenging. In a recent effort we identified a novel and specific RET inhibitor of 5-aminopyrazole-4-carboxamide scaffold, which was designed to enhance the metabolic stability of the pyrazolopyrimidine scaffold. In the SAR study described in the current report, we identified the 5-aminopyrazole-4-carboxamide analog 15l, which displays high metabolic stability. Compound 15l is potent against gatekeeper mutant (IC50 = 252 nM) of RET as well as against wild-type RET (IC50 = 44 nM). This substance effectively suppresses growth of Ba/F3 cells transformed with wild-type RET and its gatekeeper mutant (V804M), and thyroid-cancer derived TT cells while it does not affect parental Ba/F3 cells and Nthy ori-3-1, normal thyroid cells. Also, the results of a global kinase profiling assay on a panel of 369 kinases, show that 15l exclusively inhibits RET. Based on its exceptional kinase selectivity, great potency and metabolic stability, 15l represents a promising lead for the discovery of RET directed therapeutic agent and should be a key tool in studies aimed at understanding RET biology.","Yoon H, Nam Y, Shin I, Lee KB, Sim T, Kim ND",3,0.5,,17,CHEMBL4000172,TRUE,10.1016/j.ejmech.2016.10.050,1145,TRUE,0,Eur J Med Chem,1155,2,6,,2/17/2017,27814560,1768-3254:2017-02-17:0027814560,Identification of a novel 5-amino-3-(5-cyclopropylisoxazol-3-yl)-1-isopropyl-1H-pyrazole-4-carboxamide as a specific RET kinase inhibitor.,125,2017
0.5,1768-3254,Journal Article,"As an extension of our previous work on donepezil-based ""bio-oxidizable"" prodrug approach, two new classes of N-benzylpyridinium donepezil analogues in tetralone B2 and acetophenone B3 series and a new set of indanone derivatives B1 were investigated along with the corresponding dihydropyridine prodrugs A1-3. A total of fifty one N-benzylpyridinium quaternary donepezil analogues B1-3 and twenty two prodrugs A1-3 were synthesized and evaluated for their inhibitory activities against hAChE and eqBuChE. While most prodrugs A1-3 were demonstrated to be inactive against AChE (IC50?>?10??M), a large number of the corresponding N-benzylpyridinium salt B1-3 exhibited appealing three-to-one-digit nanomolar hAChE inhibitory activities and even reaching subnanomolar activity (IC50?=?0.36?nM). In addition, in silico docking studies were conducted for several compounds to explain the more relevant in vitro results. Lastly, the influence of the two stereogenic centers in prodrugs A was also evaluated, highlighting not only marked differences in residual AChE inhibitory activity of the four separated isomers of prodrug 23h (IC50 ranging from 173?nM to 10??M) but also significant variations of the oxidation rate between two separated diastereoisomers of prodrug 24a. This work provides useful information in the search of a preclinical candidate to conduct further development of this attractive ""bio-oxidizable"" prodrug strategy.","Papamica?l C, Levacher V, ??n?a? ML, Sopkov?-de Oliveira Santos J, Azzouz R, Gembus V, Peauger L",6,0.5,,27,CHEMBL4145472,TRUE,10.1016/j.ejmech.2017.12.084,165,TRUE,0,Eur J Med Chem,190,2,12,,2/27/2018,29324339,1768-3254:2018-02-27:0029324339,"Novel donepezil-like N-benzylpyridinium salt derivatives as AChE inhibitors and their corresponding dihydropyridine ""bio-oxidizable"" prodrugs: Synthesis, biological evaluation and structure-activity relationship.",145,2018
0.5,1768-3254,Journal Article,"As part of our effort to develop new molecular targeted antitumor drug, a novel 2,7-naphthyridone-based MET kinase inhibitor, 8-((4-((2-amino-3-chloropyridin-4-yl)oxy)- 3-fluorophenyl)amino)-2-(4-fluorophenyl)-2,7-naphthyridin-1(2H)-one (13f), was identified. Knowledge of the binding mode of BMS-777607 in MET led to the design of new inhibitors that utilize novel 2,7-naphthyridone scaffold to conformationally restrain the key pharmacophoric groups (block C). Detailed SAR studies resulted in the discovery of a new MET inhibitor 13f, displaying favorable in vitro potency and oral bioavailability. More importantly, 13f exhibited excellent in vivo efficacy (tumor growth inhibition/TGI of 114% and 95% in 50?mg/kg, respectively) both in the U-87 MG and HT-29 xenograft models. The favorable drug-likeness of 13f indicated that 2,7-naphthyridinone may be used a promising novel scaffold for antitumor drug development. The preclinical studies of 13f are under way.","Ming ZH, Zhao XE, Zhu XL, Xu HC, Zhuo LS, Yang GF, Huang W, Wang MS",1,0.5,,2,CHEMBL4364278,TRUE,10.1016/j.ejmech.2019.06.033,705,TRUE,0,Eur J Med Chem,714,10,2,,10/2/2019,31229873,1768-3254:2019-10-02:0031229873,"2,7-naphthyridinone-based MET kinase inhibitors: A promising novel scaffold for antitumor drug development.",178,2019
0.5,1768-3254,Journal Article,"Bromodomain protein 4 (BRD4) plays a crucial role in transcriptional regulation and is considered to be a viable drug target for cancer treatment. Herein, we designed and synthesized a series of indole-2-one derivatives through scaffold hopping drug design. Most of the compounds showed potent BRD4 inhibitory activities and anti-proliferation activities in cancer cell lines. Especially, compound 12j exhibited excellent BRD4 inhibitory activities (BD1 IC = 19 nM, BD2 IC = 28 nM) and anti-proliferation potency with IC values of 4.75 ?M and 1.35 ?M in HT-29 and HL-60 cells, respectively. Additionally, docking studies showed that the hydrophobic pocket next to KAc region and WPF shelf were critical to the activity of the compound. Compound 12j could arrest the cell-cycle progression of HT-29 cells into the G1 phase and reduce the expression of c-Myc. Moreover, compound 12j exhibited favorable oral pharmacokinetic properties. All the results demonstrated that compound 12j was a potent BRD4 inhibitor and had merely potential for colon cancer treatment.","Xu Y,Zhang XJ,Li WB,Wang XR,Wang S,Qiao XP,Chen SW",3,0.5,,26,CHEMBL4706560,TRUE,10.1016/j.ejmech.2020.112780,112780,TRUE,0,Eur J Med Chem,112780,5,6,,5/26/2021,32883643,1768-3254:2021-05-26:0032883643,"Design, synthesis and biological evaluation of indole-2-one derivatives as potent BRD4 inhibitors.",208,2021
0.5,1768-3254,Journal Article,"Bromodomain-containing protein 4 (BRD4), an epigenetic reader of acetyl lysine, has emerged as a promising therapeutic target for many diseases including cancer, inflammation and heart failure. Our previous study reported that nitroxoline, an FDA approved antibiotic, showed potential BRD4 inhibitory activity and antiproliferation activity against leukemia cell lines. In this study, we further explored the structure-activity relationship (SAR) around nitroxoline and employed our previously developed machine learning based activity scoring function BRD4LGR for further analysis. To improve the cellular level activity, physico-chemical properties were optimized using computational approaches. Then the candidates were tested for their ADME/T profiles. Finally, based on this rational hit-to-lead optimization strategy, 3 drug-like BRD4 inhibitors were obtained, with different profiles on cell line selectivity for multiple myeloma, leukemia and triple negative breast cancer. Further mechanism study showed these compounds could down-regulate c-Myc to inhibit cancer cell growth. This work illustrates the application of multiple computer-aided drug design techniques in a hit-to-lead optimization scenario, and provides novel potent BRD4 inhibitors with different phenotype propensities for future cancer treatment.","Wang X, Zhang R, Shen J, Jiang X, Qiao G, Yang F, Zheng M, Xing J, Wang J, Luo C, Chen K, Hu T, Jiang H, Luo X",1,0.5,,11,CHEMBL4330081,TRUE,10.1016/j.ejmech.2018.11.018,281,TRUE,0,Eur J Med Chem,294,2,2,,2/11/2019,30529546,1768-3254:2019-02-11:0030529546,Rational design of 5-((1H-imidazol-1-yl)methyl)quinolin-8-ol derivatives as novel bromodomain-containing protein 4 inhibitors.,163,2019
0.5,1768-3254,Journal Article,"Discovering novel small molecules for cancer immunotherapy represents a promising but challenging strategy in future cancer treatment. Herein, we designed the first theranostic fluorescent probes to efficiently detect and inhibit the enzymatic activity of 2,3-dioxygenase 1 (IDO1). Probe 6b is a highly active IDO1 inhibitor (IC = 12 nM, Cellular IC = 10 nM), which can sensitively and specifically detect endogenous IDO1 in living cells. Furthermore, as a theranostic probe, 6b showed excellent in vivo antitumor efficacy in the CT26 xenograft mouse model as well. Therefore, it can be applied as a valuable chemical tool for better understanding the immunotherapy mechanism of IDO1 and improving the therapeutic efficiency.","Wu Y,Zhang Y,Chen X,Hu Y,Dong G,Guo Y,Sheng C",1,0.5,,30,CHEMBL4732157,TRUE,10.1016/j.ejmech.2021.113163,113163,TRUE,0,Eur J Med Chem,113163,4,2,,4/30/2021,33482599,1768-3254:2021-04-30:0033482599,"A theranostic probe of indoleamine 2,3-dioxygenase 1 (IDO1) for small molecule cancer immunotherapy.",213,2021
0.5,1768-3254,Journal Article,"Estrogen-related receptor gamma (ERR?) has recently been recognized as an attractive target for treating inflammation, cancer, and metabolic disorders. Herein, we discovered and demonstrated the in vitro pharmacology as well as the absorption, distribution, metabolism, excretion, and toxicity (ADMET) properties of chemical entities that could act as highly selective inverse agonists for ERR?. The results were comparable to those for GSK5182 (4), a leading ERR? inverse agonist ligand. Briefly, the half-maximal inhibitory concentration (IC50) range of the synthesized compounds for ERR? was 0.1-10 ?M. Impressively, compound 24e exhibited potency comparable to 4 but was more selective for ERR? over three other subtypes: ERR?, ERR?, and estrogen receptor ?. Furthermore, compound 24e exhibited a superior in vitro ADMET profile compared to the other compounds. Thus, the newly synthesized class of ERR? inverse agonists could be lead candidates for developing clinical therapies for ERR?-related disorders.","Hwang HJ, Seo KA, Cho SJ, Song J, Yoo EK, Woo S, Jeon JH, Cho JH, Yoon SK, Kim J, Im CY, Chin J, Jeon YH, Yoon SY, Kim SH, Lee IK, Hwang H, Choi HS, Kim KH, Kim ND",1,0.5,,13,CHEMBL3856205,TRUE,10.1016/j.ejmech.2016.04.076,338,TRUE,0,Eur J Med Chem,352,2,2,,2/13/2017,27236015,1768-3254:2017-02-13:0027236015,Synthesis and biological evaluation of novel 4-hydroxytamoxifen analogs as estrogen-related receptor gamma inverse agonists.,120,2017
0.5,1768-3254,Journal Article,"Four series of thiopyranopyrimidine AZD9291 derivatives containing acrylamide structure were designed, synthesized and evaluated for their antiproliferative activity against A549 and Hela cancer cells. Most of the compounds exhibited excellent antiproliferative activity against A549?cells. Moreover, the compounds with indole ring fluorine substituted exhibited better antiproliferative activity against Hela cells. The most promising compound 23g exhibited excellent enzymatic inhibitory activity and selectivity for EGFRL858R/T790M double mutations. The IC50 value against EGFRL858R/T790M kinase was 16?nM. The compound 23g inhibits selectively against the mutated form of EGFR, with the selectivity more than 125-fold. Furthermore, compound 23g also inhibited A549?cells, Hela cells and H1975?cells proliferation at a low concentration, and the IC50 values were 0.057??M, 0.104??M and 0.916??M, respectively. To further investigate the QSARs of thiopyranopyrimidine derivatives, the CoMFA (q [2]?=?0.765, r2?=?0.965) and CoMSIA (q [2]?=?0.875, r2?=?0.956) models on Hela cancer cells were established. The generated 3D-QSAR model was validated to be reliable and can be used for further design and optimization of novel and selective EGFR inhibitors.","Yang Z, Zhao C, Zhao B, Zheng P, Guo Y, Xu S, Hu X, Zhu W, Lan Z",1,0.5,,18,CHEMBL4312015,TRUE,10.1016/j.ejmech.2019.111809,111809,TRUE,0,Eur J Med Chem,111809,2,2,,2/18/2020,31683104,1768-3254:2020-02-18:0031683104,"Design, synthesis and 3D-QSAR analysis of novel thiopyranopyrimidine derivatives as potential antitumor agents inhibiting A549 and Hela cancer cells.",185,2020
0.5,1768-3254,Journal Article,"G-protein coupled receptors (GPCRs) are implicated in many diseases and attractive targets for drug discovery. Peptide fragments derived from protein ligands of GPCRs are commonly used as probes of GPCR function and as leads for drug development. However, these peptide fragments lack the structural integrity of their parent full-length protein ligands and often show low receptor affinity, which limits their research and therapeutic values. It remains a challenge to efficiently generate high affinity peptide inhibitors of GPCRs. We have investigated a combinational approach involving the synthetic covalent linkage of two low affinity peptide fragments to determine if the strategy can yield high affinity GPCR inhibitors. We examined this design approach using the chemokine receptor CXCR4 as a model of GPCR system. Here, we provide a proof of concept demonstration by designing and synthesizing two peptides, AR5 and AR6, that combine a peptide fragment derived from two viral ligands of CXCR4, vMIP-II and HIV-1 envelope glycoprotein gp120. AR5 and AR6 display nanomolar binding affinity, in contrast to the weak micromolar CXCR4 binding of each peptide fragment alone, and inhibit HIV-1 entry via CXCR4. Further studies were carried out for the representative peptide AR6 using western blotting and site-directed mutagenesis in conjunction with molecular dynamic simulation and binding free energy calculation to determine how the peptide interacts with CXCR4 and inhibits its downstream signaling. These results demonstrate that this combinational approach is effective for generating nanomolar active inhibitors of CXCR4 and may be applicable to other GPCRs.","Meng Q, Fang X, Huang Z, Yang X, Zhang X, Huang LS, Zhou J, Zhang H, An J, Zhu S, Xu Y, Zhu R, Zhang C, Schooley RT",1,0.5,,17,CHEMBL4393672,TRUE,10.1016/j.ejmech.2019.03.056,174,TRUE,0,Eur J Med Chem,185,6,2,,6/17/2019,30978562,1768-3254:2019-06-17:0030978562,High affinity CXCR4 inhibitors generated by linking low affinity peptides.,172,2019
