column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
activity_id,160471,160471,0.0,145950,0.9095101295561192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32263.0,12087028.0,19450169.5,24519140.0,10070093.376940383,7340704.607419577,1.0,1970-01-01 00:00:00.000032263,1970-01-01 00:00:00.012087028,1970-01-01 00:00:00.024519140,5.0,8.0,8.0,8.0,date|numeric|free-text,15649699 (2); 16742284 (2); 16744133 (2)
saltform_id,160471,160471,0.0,41392,0.25794068710234247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,12.0,13.0,13.0,free-text,CHEMBL20 (1767); CHEMBL388978 (1200); CHEMBL98 (998)
molecule_id,160471,160471,0.0,40675,0.25347259006300205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,12.0,13.0,13.0,free-text,CHEMBL20 (1767); CHEMBL388978 (1200); CHEMBL98 (998)
target_id,160471,160471,0.0,1960,0.012214044905309994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL247 (3658); CHEMBL203 (3286); CHEMBL205 (2810)
assay_id,160471,160471,0.0,41576,0.2590873117261063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL830839 (321); CHEMBL828662 (321); CHEMBL1006579 (169)
document_id,160471,160471,0.0,15675,0.09768120096466028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1145190 (642); CHEMBL1147748 (355); CHEMBL4325871 (334)
bao_endpoint,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000190 (112823); BAO_0000192 (47648)
mesurement_type,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,4.0,4.0,4.0,categorical,IC50 (112823); Ki (47648)
standard_value,160471,160471,0.0,9277,0.05781106866661266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,68.0,12000.0,3109000.0,2536.4785224539633,16800.522264577874,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000068,1970-01-01 00:00:00.003109000,3.0,4.0,7.0,10.0,date|numeric|free-text,10.0 (1592); 3.0 (1325); 2.0 (1260)
pA_value,160471,160471,0.0,9277,0.05781106866661266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.832508912706236,4.079181246047625,6.492620722043192,1.888796096084692,1.3031858007128012,1.0,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,3.0,17.0,19.0,19.0,date|numeric|free-text,1.0 (1592); 0.4771212547196624 (1325); 0.3010299956639812 (1260)
bao_format,160471,160471,0.0,11,6.854821120327038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (69861); BAO_0000219 (63290); BAO_0000019 (19762)
compound_key,160430,160430,0.0002554978781212913,17735,0.11054665586236988,0.0,0.0,0.0,0.0,0.0,0.039169731347004924,0.4433324401293692,-1.0,15.0,64.0,44237023.0,3591.1306463130077,249658.8074460126,0.0005172274118064946,1705-09-01 00:00:00.000000000,2036-01-01 00:00:00.000000000,2069-02-01 00:00:00.000000000,1.0,2.0,14.0,67.0,free-text,1 (6279); 2 (3703); 3 (3195)
compound_name,160281,160281,0.0011840145571474503,53217,0.3320231343702622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,83.0,147.0,930.0,free-text,Acetazolamide (1221); Staurosporine (1101); Tacrine (423)
unknown_chirality,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.15653295611044987,0.3633598626180028,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (135352); True (25119)
multmol_assay,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.13361915860186577,0.3402426767123654,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (139029); True (21442)
exact_data_citation,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.19098777972343914,0.3930794419958264,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (129823); True (30648)
higly_correlated_assay,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3215783537212331,0.4670821299719939,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (108867); True (51604)
shuffled_assay,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.11810856790323485,0.3227366327070446,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (141518); True (18953)
review,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05189099588087567,0.2218069440467692,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (152144); True (8327)
rounded_data_citation,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.23324463610247334,0.42289664911405733,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (123042); True (37429)
high_citation_rate,160471,160471,0.0,2,1.246331112786734e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06490269269836918,0.24635408090565547,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (150056); True (10415)
