column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
assay_chembl_id,43735,43735,0.0,41576,0.9506345032582599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL4650005 (4); CHEMBL4650011 (4); CHEMBL4650002 (4)
document_chembl_id,43735,43735,0.0,15667,0.3582256773751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL4325871 (334); CHEMBL4715818 (320); CHEMBL1136016 (145)
target_chembl_id,43735,43735,0.0,1960,0.04481536526809192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL203 (665); CHEMBL247 (482); CHEMBL325 (478)
description,43735,43735,0.0,37466,0.8566594260889447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,16.0,106.0,224.0,550.0,free-text,Inhibition of human ERG (66); Inhibition of HDAC1 (unknown origin) (42); Inhibition of L-type calcium channel measured using whole-ce (34)
bao_format,43735,43735,0.0,11,0.00025151480507602607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (21522); BAO_0000219 (15025); BAO_0000019 (5000)
assay_cell_type,12633,12633,0.7111466788613239,616,0.048761181033800366,0.0,0.0,0.0,0.0,0.0,0.0,0.0002972447696353035,293.0,293.0,2008.0,2008.0,782.0,690.8606672393946,6.85949468389162e-05,2008-07-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,1.0,5.0,8.0,20.0,free-text,HEK293 (3322); CHO (3043); Sf9 (915)
assay_subcellular_fraction,986,986,0.9774551274722763,18,0.018255578093306288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,8.0,13.0,28.0,categorical,Membrane (640); Microsome (95); Cell membrane (82)
assay_tissue,2175,2175,0.9502686635417857,76,0.03494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,4.0,5.0,15.0,23.0,categorical,Brain (581); Blood (332); Plasma (218)
accession,1744,1744,0.96012347090431,147,0.08428899082568807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,free-text,P00533 (213); P15056 (133); Q9UM73 (106)
mutation,1816,1816,0.958477192180176,656,0.36123348017621143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,5.0,17.0,84.0,free-text,"V600E (133); L858R,T790M (110); UNDEFINED MUTATION (72)"
