column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
activity_chembl_id1,337279,337279,0.0,30902,0.09162147658170239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32722.0,6204179.0,18473090.0,24507559.0,8375743.748721385,6715124.880550261,1.0,1970-01-01 00:00:00.000032722,1970-01-01 00:00:00.006204179,1970-01-01 00:00:00.024507559,5.0,7.0,8.0,8.0,date|numeric|free-text,1435987 (588); 1436102 (588); 8061143 (466)
activity_chembl_id2,337279,337279,0.0,30967,0.09181419536941227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33279.0,16459156.0,23227360.0,24518921.0,14363279.043616708,6691041.116642674,1.0,1970-01-01 00:00:00.000033279,1970-01-01 00:00:00.016459156,1970-01-01 00:00:00.024518921,5.0,8.0,8.0,8.0,date|numeric|free-text,15674558 (358); 15687442 (358); 24402360 (329)
salt_chembl_id1,337279,337279,0.0,8424,0.024976354887200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,8.0,13.0,13.0,free-text,CHEMBL20 (164382); CHEMBL18 (7115); CHEMBL19 (6042)
salt_chembl_id2,337279,337279,0.0,8405,0.0249200217031004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,8.0,13.0,13.0,free-text,CHEMBL20 (164382); CHEMBL18 (7115); CHEMBL19 (6042)
molecule_chembl_id,337279,337279,0.0,8301,0.024611671642764597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,8.0,13.0,13.0,free-text,CHEMBL20 (164382); CHEMBL18 (7115); CHEMBL19 (6042)
target_chembl_id,337279,337279,0.0,1155,0.00342446461238322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,9.0,10.0,13.0,free-text,CHEMBL205 (89573); CHEMBL261 (73973); CHEMBL3594 (36575)
assay_chembl_id1,337279,337279,0.0,14834,0.043981392259820506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL1002984 (1673); CHEMBL861559 (1599); CHEMBL911285 (1475)
assay_chembl_id2,337279,337279,0.0,14843,0.04400807639965726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL4427979 (1734); CHEMBL4035751 (1632); CHEMBL4001626 (1541)
document_chembl_id1,337279,337279,0.0,6826,0.020238437613963513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1137348 (3718); CHEMBL1139847 (3595); CHEMBL1141985 (3257)
document_chembl_id2,337279,337279,0.0,6889,0.02042522659282078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1147748 (3976); CHEMBL4425192 (3169); CHEMBL4033693 (2942)
standard_type,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,2.0,4.0,4.0,categorical,Ki (259353); IC50 (77926)
standard_value1,337279,337279,0.0,4115,0.012200581714248442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,25.0,6300.0,501187.23,1464.8342587781929,6945.06192989772,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000501187,3.0,4.0,6.0,9.0,date|numeric|free-text,250.0 (46248); 12.0 (46086); 25.0 (30503)
standard_value2,337279,337279,0.0,4098,0.012150178339001243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,25.8,5959.0,501187.23,1409.9870986099047,6892.605303087393,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000501187,3.0,4.0,6.0,9.0,date|numeric|free-text,250.0 (51052); 12.0 (34800); 25.0 (23388)
delta_log_activity,337279,337279,0.0,16637,0.0493271149404499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.318758762624413,5.645422269349092,0.2192766788394045,0.5059693604693674,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000005,3.0,3.0,18.0,21.0,date|numeric|free-text,0.0 (189933); 0.0036041242688251 (13289); 0.0136796972911923 (6406)
INDEPENDENT,337279,337279,0.0,1,2.9649044263058182e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (337279)
bao_format1,337279,337279,0.0,11,3.2613948689364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (254926); BAO_0000219 (42688); BAO_0000019 (32385)
bao_format2,337279,337279,0.0,11,3.2613948689364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (266114); BAO_0000219 (37211); BAO_0000019 (26178)
unspecified_chirality_mol,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.21737789782346367,0.4124618132158605,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (263962); True (73317)
rounded_pair,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6505296801757595,0.4768027006909498,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (219410); False (117869)
approx_cited,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9433288167955906,0.2312132353448255,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (318165); False (19114)
exact_cited,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8906098511914469,0.3121280893354454,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (300384); False (36895)
same_cc,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7078205284052669,0.4547643653292941,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (238733); False (98546)
review_doc,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0366936571799608,0.18800859741703388,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (324903); True (12376)
shuffled_target_assay,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.15990026061509907,0.36651352945058174,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (283348); True (53931)
approx_cited_samedoc,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.12798306446591695,0.3340709500627523,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (294113); True (43166)
exact_cited_samedoc,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0971302690057786,0.29613507027814806,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (304519); True (32760)
higly_correlated_cit,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8732325463488685,0.33271228763894456,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (294523); False (42756)
higly_correlated_cit_samedoc,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.024831074570311227,0.15561006492510332,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (328904); True (8375)
shuffled_cit,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5033310701229546,0.49998890384871136,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (169763); False (167516)
NO_ISSUE,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.006083983882779539,0.07776225963083645,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (335227); True (2052)
not_ind_no_iss,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.006083983882779539,0.07776225963083645,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (335227); True (2052)
not_ind_no_iss_graph,337279,337279,0.0,2,5.9298088526116364e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02291278140649136,0.14962548531152609,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (329551); True (7728)
