activity_chembl_id,saltform_id,molecule_chembl_id,molecule_chembl_id.1,target_chembl_id,assay_chembl_id,document_chembl_id,completed,bao_endpoint,standard_type,standard_value,pA_value,bao_format,compound_key,compound_name,standard_inchi_skeleton,unknown_chirality,multmol_assay,assay_with_same_target,exact_data_citation,higly_correlated_assay,shuffled_assay,review,rounded_data_citation,allosteric,nam,pam,high_citation_rate,original_activity_approx,original_activity_exact,is_citation,IUPHAR_class,IUPHAR_subclass,unicellular_organism,multifunctional_enzyme,gene_index,taxon_index,sortorder.target
33279,CHEMBL318723,CHEMBL318723,CHEMBL318723,CHEMBL3952,CHEMBL754629,CHEMBL1130663,1999-01-26,BAO_0000192,Ki,833.0,6.08,BAO_0000357,CHEMBL318723,,XYCWBUDSPOTODB,true,false,4,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,OPRK1###,10141,0688--:0694--:OPRK1###:010141
34166,CHEMBL292779,CHEMBL292779,CHEMBL292779,CHEMBL1983,CHEMBL616910,CHEMBL1131027,1998-08-03,BAO_0000190,IC50,0.6,9.22,BAO_0000219,CHEMBL292779,,ZUTQCPBDRJBADG,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,HTR1D###,9606,0688--:0694--:HTR1D###:009606
41129,CHEMBL341376,CHEMBL341376,CHEMBL341376,CHEMBL226,CHEMBL640560,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,702.0,6.15,BAO_0000219,CHEMBL341376,,UYEQIRAILMVJGC,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA1##,9606,0688--:0694--:ADORA1##:009606
41130,CHEMBL341376,CHEMBL341376,CHEMBL341376,CHEMBL251,CHEMBL643209,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,423.0,6.37,BAO_0000219,CHEMBL341376,,UYEQIRAILMVJGC,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA2A#,9606,0688--:0694--:ADORA2A#:009606
41131,CHEMBL341376,CHEMBL341376,CHEMBL341376,CHEMBL255,CHEMBL642009,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,165.0,6.78,BAO_0000219,CHEMBL341376,,UYEQIRAILMVJGC,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA2B#,9606,0688--:0694--:ADORA2B#:009606
41132,CHEMBL341376,CHEMBL341376,CHEMBL341376,CHEMBL256,CHEMBL641961,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,0.81,9.09,BAO_0000219,CHEMBL341376,,UYEQIRAILMVJGC,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA3##,9606,0688--:0694--:ADORA3##:009606
43767,CHEMBL65367,CHEMBL65367,CHEMBL65367,CHEMBL1983,CHEMBL616910,CHEMBL1131027,1998-08-03,BAO_0000190,IC50,0.2,9.7,BAO_0000219,CHEMBL65367,,PPQXZSWFDQGWBH,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,HTR1D###,9606,0688--:0694--:HTR1D###:009606
44708,CHEMBL324735,CHEMBL324735,CHEMBL324735,CHEMBL226,CHEMBL640560,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,594.0,6.23,BAO_0000219,CHEMBL324735,,OPNAVJJOJBREBM,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA1##,9606,0688--:0694--:ADORA1##:009606
44709,CHEMBL324735,CHEMBL324735,CHEMBL324735,CHEMBL251,CHEMBL643209,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,381.0,6.42,BAO_0000219,CHEMBL324735,,OPNAVJJOJBREBM,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA2A#,9606,0688--:0694--:ADORA2A#:009606
44710,CHEMBL324735,CHEMBL324735,CHEMBL324735,CHEMBL255,CHEMBL642009,CHEMBL1145112,2003-10-23,BAO_0000192,Ki,222.0,6.65,BAO_0000219,CHEMBL324735,,OPNAVJJOJBREBM,true,false,1,,,,,,false,false,false,false,,,false,0688--,0694--,false,false,ADORA2B#,9606,0688--:0694--:ADORA2B#:009606
