activity_id,molecule_chembl_id,assay_chembl_id,activity_comment,assay_description,assay_variant_accession,assay_variant_mutation,bao_format,bao_label,data_validity_comment,data_validity_description,document_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_assay_id,src_id,standard_relation,standard_units,type,units,value,standard_type,standard_value,lower_value,upper_value,activity_properties,action_type,properties_hash,pipeline_version,timestamp_utc,activity_chembl_id,approx_cited_activity,bao_endpoint,compound_key,compound_name,exact_cited_activity,higly_correlated_cit,log_value,multmol_assay,nstereo,original_activity_approx,original_activity_exact,review_doc,rounded_data_citation,salt_chembl_id,shuffled_cit,standard_lower_value,standard_upper_value,target_chembl_id
33279,CHEMBL318723,CHEMBL754629,,Binding affinity was determined against Opioid receptor kappa 1<br>using [3H]ethylketocyclazocine as radioligand,,,BAO_0000357,single protein format,,,CHEMBL1130663,6.08,1,http://www.openphacts.org/units/Nanomolar,200741,=,,1,=,nM,Ki,nM,833.0,Ki,833,833,833,"{""assay"":{""assay_chembl_id"":""CHEMBL754629"",""bao_format"":""BAO_0000357"",""bao_label"":""single protein format"",""description"":""Binding affinity was determined against Opioid receptor kappa 1<br>using [3H]ethylketocyclazocine as radioligand""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":833.0,""pchembl_value"":""6.08"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":833.0,""value"":""833.0""}}",binding,67e2874b99347dd6b4bb269430bc387f1a8d666fbeef71eb8eb1848e68c38927,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL3952
34166,CHEMBL292779,CHEMBL616910,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1131027,9.22,1,http://www.openphacts.org/units/Nanomolar,163730,=,,1,=,nM,IC50,nM,0.6,IC50,0.6,0.6,0.6,"{""assay"":{""assay_chembl_id"":""CHEMBL616910"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""inhibition"",""lower_value"":0.6,""pchembl_value"":""9.22"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""IC50"",""units"":""nM"",""upper_value"":0.6,""value"":""0.6""}}",inhibition,25e578f7299c952fae49c4681f2905ab2fc3ad95836d1d5156855011f36a8a76,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000190,,,,,,,,,,,,,,,,CHEMBL1983
41129,CHEMBL341376,CHEMBL640560,,Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.15,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,702.0,Ki,702,702,702,"{""assay"":{""assay_chembl_id"":""CHEMBL640560"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":702.0,""pchembl_value"":""6.15"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":702.0,""value"":""702.0""}}",binding,86a073cd50b8d2a1dc5515d810907170752526b729c2f0a65f3c9c9d9e2616dc,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL226
41130,CHEMBL341376,CHEMBL643209,,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.37,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,423.0,Ki,423,423,423,"{""assay"":{""assay_chembl_id"":""CHEMBL643209"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":423.0,""pchembl_value"":""6.37"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":423.0,""value"":""423.0""}}",binding,8f2cddc4dac8a20b5e1f08cc9f20881c33c903235e2cdafb5d466fa64d0a2e3f,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL251
41131,CHEMBL341376,CHEMBL642009,,Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.78,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,165.0,Ki,165,165,165,"{""assay"":{""assay_chembl_id"":""CHEMBL642009"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":165.0,""pchembl_value"":""6.78"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":165.0,""value"":""165.0""}}",binding,1242362a5212bc81f6600ed27180e3623169bdfffd65ad15997ed45e8ab7cb62,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL255
41132,CHEMBL341376,CHEMBL641961,,Displacement of [3H]MRE3008-F20 from human A3 receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,9.09,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,0.81,Ki,0.81,0.81,0.81,"{""assay"":{""assay_chembl_id"":""CHEMBL641961"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]MRE3008-F20 from human A3 receptors expressed in HEK293 cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":0.81,""pchembl_value"":""9.09"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":0.81,""value"":""0.81""}}",binding,addf433127c2c05b6a4b02f5021e12922337587dce3b7fb20b45ee3a27ea1ae8,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL256
43767,CHEMBL65367,CHEMBL616910,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1131027,9.70,1,http://www.openphacts.org/units/Nanomolar,163729,=,,1,=,nM,IC50,nM,0.2,IC50,0.2,0.2,0.2,"{""assay"":{""assay_chembl_id"":""CHEMBL616910"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""inhibition"",""lower_value"":0.2,""pchembl_value"":""9.70"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""IC50"",""units"":""nM"",""upper_value"":0.2,""value"":""0.2""}}",inhibition,0d7279de3f21108a9c76400445c88b14b91a2449f32e937f7365a6fcda7631c2,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000190,,,,,,,,,,,,,,,,CHEMBL1983
44708,CHEMBL324735,CHEMBL640560,,Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.23,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,594.0,Ki,594,594,594,"{""assay"":{""assay_chembl_id"":""CHEMBL640560"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":594.0,""pchembl_value"":""6.23"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":594.0,""value"":""594.0""}}",binding,7ab8145111de6ea64013b0ce50f6f468b4cf075599024c17a30d2913abe3838d,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL226
44709,CHEMBL324735,CHEMBL643209,,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.42,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,381.0,Ki,381,381,381,"{""assay"":{""assay_chembl_id"":""CHEMBL643209"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":381.0,""pchembl_value"":""6.42"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":381.0,""value"":""381.0""}}",binding,8b762d443fd0946d439b5d0dbb40d05358c821b0630a8d07f480c54bc471c18b,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL251
44710,CHEMBL324735,CHEMBL642009,,Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.65,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,222.0,Ki,222,222,222,"{""assay"":{""assay_chembl_id"":""CHEMBL642009"",""bao_format"":""BAO_0000219"",""bao_label"":""cell-based format"",""description"":""Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells""},""effect_features"":{""allosteric"":false,""negative"":false,""positive"":false},""measurement"":{""kind"":""binding"",""lower_value"":222.0,""pchembl_value"":""6.65"",""qudt_units"":""http://www.openphacts.org/units/Nanomolar"",""relation"":""="",""type"":""Ki"",""units"":""nM"",""upper_value"":222.0,""value"":""222.0""}}",binding,1b069c69733f2afc161cb1be79e575f9495ff21257ec3fc24c84c7219020951c,0.1.3,2025-10-05T21:54:32.646685+00:00,,,BAO_0000192,,,,,,,,,,,,,,,,CHEMBL255
