column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
activity_id,100,100,0.0,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33279.0,140748.5,257620.6,276704.0,136274.07,64472.4602492033,1.0,1970-01-01 00:00:00.000033279,1970-01-01 00:00:00.000140748,1970-01-01 00:00:00.000276704,5.0,6.0,6.0,6.0,date|numeric|identifier-like,100743 (1); 104689 (1); 108199 (1)
molecule_chembl_id,100,100,0.0,63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,12.0,12.0,13.0,free-text,CHEMBL19019 (6); CHEMBL70 (4); CHEMBL418890 (4)
assay_chembl_id,100,100,0.0,53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,12.0,12.0,12.0,free-text,CHEMBL757482 (6); CHEMBL755521 (5); CHEMBL753838 (5)
activity_comment,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
assay_description,100,100,0.0,52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,33.0,108.0,147.0,149.0,free-text,Binding affinity was measured by the displacement of [3H]- D (6); Binding affinity was measured by the displacement of [3H]- E (5); Binding affinity was measured by the displacement of [3H]- E (5)
assay_variant_accession,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
assay_variant_mutation,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
bao_format,100,100,0.0,6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,free-text,BAO_0000249 (34); BAO_0000357 (31); BAO_0000219 (21)
bao_label,100,100,0.0,6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,20.0,21.0,21.0,free-text,cell membrane format (34); single protein format (31); cell-based format (21)
data_validity_comment,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
data_validity_description,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
document_chembl_id,100,100,0.0,31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1124798 (20); CHEMBL1145112 (10); CHEMBL1133322 (8)
