column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
PubMed.PMID,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1319495.0,18202748.0,29133144.7,29784274.0,18923378.3,7626570.464692581,0.0,,,,7.0,8.0,8.0,8.0,numeric|identifier-like,1319495 (1); 15317460 (1); 16078848 (1)
PubMed.DOI,10,10,0.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,22.0,29.099999999999998,30.0,doi|identifier-like,10.1021/jm00090a015 (1); 10.1021/jm0400653 (1); 10.1021/jm050235r (1)
PubMed.ArticleTitle,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,46.0,100.0,242.0499999999999,283.0,identifier-like,Selective reversible and irreversible ligands for the kappa  (1); Inhibitors of phenylethanolamine N-methyltransferase that ar (1); Dipeptides as effective prodrugs of the unnatural amino acid (1)
PubMed.Abstract,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,68.0,788.0,1306.3999999999999,1373.0,identifier-like,"(+-)-(5 beta,7 alpha,8 beta)-3,4-Dichloro-N-methyl-N-[3-meth (1); (+/-)-7-Aminosulfonyl-3-fluoromethyl-1,2,3,4-tetrahydroisoqu (1); (+)-2-Aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid (1), a (1)"
PubMed.JournalTitle,10,10,0.0,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,27.0,30.5,35.849999999999994,39.0,free-text,Journal of medicinal chemistry (4); Bioorganic & medicinal chemistry (3); European journal of medicinal chemistry (1)
PubMed.JournalISOAbbrev,10,0,1.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,free-text, (10)
PubMed.Volume,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,41.0,65.64999999999998,76.0,37.2,20.54166497633529,0.0,,,,1.0,2.0,2.0,2.0,numeric|identifier-like,35 (1); 47 (1); 48 (1)
PubMed.Issue,10,10,0.0,8,0.8,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,13.0,20.749999999999993,23.0,11.8,6.939740629158989,0.0,,,,1.0,2.0,2.0,2.0,numeric|free-text,12 (2); 16 (2); 18 (1)
PubMed.StartPage,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229.0,3797.5,6373.649999999998,7248.0,3296.4,2240.6826281292047,0.1,2243-07-01,2243-07-01,2243-07-01 00:00:00.000000000,3.0,4.0,4.0,4.0,numeric|identifier-like,2243 (1); 4483 (1); 5305 (1)
PubMed.EndPage,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234.0,3808.0,6385.349999999998,7257.0,3304.2,2243.147690188945,0.1,2247-07-01,2247-07-01,2247-07-01 00:00:00.000000000,3.0,4.0,4.0,4.0,numeric|identifier-like,2247 (1); 4493 (1); 5320 (1)
PubMed.ISSN,10,10,0.0,7,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,9.0,9.0,9.0,issn|free-text,0022-2623 (3); 0968-0896 (2); 1520-4804 (1)
PubMed.PublicationType,10,10,0.0,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,15.0,48.0,126.0,126.0,free-text,"Journal Article|Research Support, Non-U.S. Gov't (4); Journal Article (3); Comparative Study|Journal Article|Research Support, Non-U.S. (1)"
PubMed.MeSH_Descriptors,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,215.5,354.9,372.0,identifier-like,"Benzeneacetamides|Magnetic Resonance Spectroscopy|Molecular  (1); Binding Sites|Blood-Brain Barrier|Drug Design|Enzyme Inhibit (1); Administration, Oral|Alanine|Animals|Anti-Anxiety Agents|Bio (1)"
PubMed.MeSH_Qualifiers,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,126.0,297.5499999999999,334.0,identifier-like,chemical synthesis|metabolism|metabolism|chemical synthesis| (1); metabolism|chemistry|pharmacokinetics|antagonists & inhibito (1); administration & dosage|analogs & derivatives|chemical synth (1)
PubMed.ChemicalList,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,110.0,221.55,222.0,identifier-like,"Benzeneacetamides|Pyrrolidines|Receptors, Opioid|Receptors,  (1); Enzyme Inhibitors|Receptors, Adrenergic, alpha-2|Tetrahydroi (1); 2-((2'-amino)propionyl)aminobicyclo(3.1.0)hexane-2,6-dicarbo (1)"
PubMed.YearCompleted,10,10,0.0,8,0.8,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,2006.5,2015.75,2018.0,1806.5,602.2020009930222,0.9,1992-07-01,2008-07-01,2018-07-01 00:00:00.000000000,1.0,4.0,4.0,4.0,date|numeric|free-text,2005 (2); 2008 (2); 1992 (1)
PubMed.MonthCompleted,10,10,0.0,7,0.7,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,8.5,11.549999999999999,12.0,7.4,3.7202150475476548,0.0,,,,1.0,1.0,2.0,2.0,numeric|free-text,9 (3); 8 (2); 7 (1)
PubMed.DayCompleted,10,10,0.0,9,0.9,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,19.5,28.099999999999998,29.0,18.5,8.879752248796134,0.0,,,,1.0,2.0,2.0,2.0,numeric|free-text,27 (2); 24 (1); 15 (1)
PubMed.YearRevised,10,10,0.0,8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0,2014.0,2019.55,2020.0,2014.4,4.17612260356422,1.0,2007-07-01,2014-07-01,2020-07-01 00:00:00.000000000,4.0,4.0,4.0,4.0,date|numeric|free-text,2019 (2); 2013 (2); 2007 (1)
PubMed.MonthRevised,10,10,0.0,3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,11.0,11.0,10.1,1.57797338380595,0.0,,,,1.0,2.0,2.0,2.0,numeric|free-text,11 (7); 7 (2); 10 (1)
PubMed.DayRevised,10,10,0.0,8,0.8,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,17.5,22.099999999999998,23.0,15.8,6.289674077406556,0.0,,,,1.0,2.0,2.0,2.0,numeric|free-text,19 (2); 21 (2); 9 (1)
PubMed.Error,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
scholar.PMID,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1319495.0,18202748.0,29133144.7,29784274.0,18923378.3,7626570.464692581,0.0,,,,7.0,8.0,8.0,8.0,numeric|identifier-like,1319495 (1); 15317460 (1); 16078848 (1)
scholar.DOI,10,10,0.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,22.0,29.099999999999998,30.0,doi|identifier-like,10.1021/jm00090a015 (1); 10.1021/jm0400653 (1); 10.1021/jm050235r (1)
scholar.PublicationTypes,10,10,0.0,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,14.0,14.0,17.849999999999994,21.0,free-text,JournalArticle (9); JournalArticle; Study (1)
scholar.Venue,10,10,0.0,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,27.0,30.5,35.849999999999994,39.0,free-text,Journal of Medicinal Chemistry (4); Bioorganic & Medicinal Chemistry (3); European journal of medicinal chemistry (1)
scholar.SemanticScholarId,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,40.0,40.0,40.0,40.0,identifier-like,a0e59a901220d735a9c780e22f0fd8850f33be59 (1); 84336c0764a8431f736d16ff36a56462547187ef (1); e433a0e3a791b561735bc9b023ba9d2e27a213b3 (1)
scholar.ExternalIds,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,93.0,97.0,104.55,105.0,identifier-like,"{""MAG"": ""2045483165"", ""DOI"": ""10.1021/JM00090A015"", ""CorpusI (1); {""MAG"": ""2057465577"", ""DOI"": ""10.1021/JM0400653"", ""CorpusId"" (1); {""MAG"": ""2067571370"", ""DOI"": ""10.1021/JM050235R"", ""CorpusId"" (1)"
scholar.Error,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
OpenAlex.PMID,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1319495.0,18202748.0,29133144.7,29784274.0,18923378.3,7626570.464692581,0.0,,,,7.0,8.0,8.0,8.0,numeric|identifier-like,1319495 (1); 15317460 (1); 16078848 (1)
OpenAlex.DOI,10,10,0.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,22.0,29.099999999999998,30.0,doi|identifier-like,10.1021/jm00090a015 (1); 10.1021/jm0400653 (1); 10.1021/jm050235r (1)
OpenAlex.PublicationTypes,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,7.0,7.0,7.0,free-text,article (10)
OpenAlex.TypeCrossref,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,15.0,15.0,15.0,15.0,free-text,journal-article (10)
OpenAlex.Genre,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
OpenAlex.Venue,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
OpenAlex.MeshDescriptors,10,10,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,377.0,699.9499999999999,740.0,identifier-like,"Benzeneacetamides|Pyrrolidines|Receptors, Opioid|Spiro Compo (1); Blood-Brain Barrier|Drug Design|Enzyme Inhibitors|Phenyletha (1); Alanine|Anti-Anxiety Agents|Bridged Bicyclo Compounds|Dipept (1)"
OpenAlex.MeshQualifiers,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
OpenAlex.Id,10,10,0.0,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,,,,32.0,32.0,32.0,32.0,url|identifier-like,https://openalex.org/W2045483165 (1); https://openalex.org/W2057465577 (1); https://openalex.org/W2067571370 (1)
OpenAlex.Error,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
crossref.DOI,10,10,0.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,17.0,22.0,29.099999999999998,30.0,doi|identifier-like,10.1021/jm00090a015 (1); 10.1021/jm0400653 (1); 10.1021/jm050235r (1)
crossref.Type,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,15.0,15.0,15.0,15.0,free-text,journal-article (10)
crossref.Subtype,10,10,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,3.0,3.0,3.0,free-text,nan (10)
