column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
target_chembl_id,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,10.0,10.0,10.0,10.0,identifier-like,CHEMBL2343 (1)
uniprot_id_primary,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,identifier-like,B7UUP7 (1)
uniprot_ids_all,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
isoform_ids,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
isoform_names,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
isoform_synonyms,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
hgnc_id,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10810.0,10810.0,10810.0,10810.0,10810.0,0.0,1.0,1970-01-01 00:00:00.000010810,1970-01-01 00:00:00.000010810,1970-01-01 00:00:00.000010810,5.0,5.0,5.0,5.0,date|numeric|identifier-like,10810 (1)
gene_symbol,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
protein_name_canonical,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
protein_name_alt,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
organism,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
taxon_id,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
lineage_superkingdom,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
lineage_phylum,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
lineage_class,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
sequence_length,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
features_signal_peptide,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
features_transmembrane,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
features_topology,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
ptm_glycosylation,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
ptm_lipidation,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
ptm_disulfide_bond,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
ptm_modified_residue,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
xref_chembl,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
xref_uniprot,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
xref_ensembl,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
xref_iuphar,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
gtop_target_id,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
gtop_synonyms,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
gtop_natural_ligands_n,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
gtop_interactions_n,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
gtop_function_text_short,1,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,identifier-like,- (1)
