column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
uniprot_id,2,2,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,identifier-like,O00141 (1); B7UUP7 (1)
names,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,85.0,85.0,85.0,85.0,free-text,SGK|SGK1|Serine/threonine-protein kinase Sgk1|Serum/glucocor (2)
genus,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,4.0,4.0,4.0,4.0,free-text,Homo (2)
superkingdom,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,9.0,9.0,9.0,free-text,Eukaryota (2)
phylum,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.0,8.0,free-text,Chordata (2)
lineage_class,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.0,8.0,free-text,Craniata (2)
taxon_id,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9606.0,9606.0,9606.0,9606.0,9606.0,0.0,0.0,,,,4.0,4.0,4.0,4.0,numeric|free-text,9606 (2)
sequence_length,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,431.0,431.0,431.0,431.0,431.0,0.0,0.0,,,,3.0,3.0,3.0,3.0,numeric|free-text,431 (2)
molecular_function,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,50.0,50.0,50.0,50.0,free-text,Kinase|Serine/threonine-protein kinase|Transferase (2)
cellular_component,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,76.0,76.0,76.0,76.0,free-text,Cell membrane|Cytoplasm|Endoplasmic reticulum|Membrane|Mitoc (2)
ec_numbers,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.0,8.0,free-text,2.7.11.1 (2)
subcellular_location,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,76.0,76.0,76.0,76.0,free-text,Cell membrane|Cytoplasm|Endoplasmic reticulum membrane|Mitoc (2)
topology,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
transmembrane,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
intramembrane,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
glycosylation,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
lipidation,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
disulfide_bond,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,4.0,4.0,4.0,boolean|free-text,True (2)
modified_residue,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,4.0,4.0,4.0,boolean|free-text,True (2)
phosphorylation,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
acetylation,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
ubiquitination,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
signal_peptide,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
propeptide,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|free-text,False (2)
isoform_names,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,9.0,9.0,9.0,free-text,1|2|3|4|5 (2)
isoform_ids,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,44.0,44.0,44.0,44.0,free-text,O00141-1|O00141-2|O00141-3|O00141-4|O00141-5 (2)
isoform_synonyms,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,33.0,33.0,33.0,33.0,free-text,N/A|Sgk1.1:Sgk1_v2|Sgk1.2|N/A|N/A (2)
GuidetoPHARMACOLOGY,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1534.0,1534.0,1534.0,1534.0,1534.0,0.0,0.0,,,,4.0,4.0,4.0,4.0,numeric|free-text,1534 (2)
family,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
SUPFAM,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.0,8.0,free-text,SSF56112 (2)
PROSITE,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,31.0,31.0,31.0,31.0,free-text,PS51285|PS00107|PS50011|PS00108 (2)
InterPro,2,2,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,59.0,59.0,59.0,59.0,free-text,IPR000961|IPR011009|IPR017892|IPR000719|IPR017441|IPR008271 (2)
