molecule_chembl_id,parent_molecule_chembl_id,salt_chembl_id,natural_product,prodrug,polymer_flag,black_box_warning,first_approval,max_phase,canonical_smiles,standard_inchi,standard_inchi_key,molecule_type,oral,parenteral,pref_name,pubchem_canonical_smiles,pubchem_cid,pubchem_inchi,pubchem_inchikey,pubchem_isomeric_smiles,pubchem_iupac_name,pubchem_molecular_formula,structure_type,topical,pipeline_version,timestamp_utc,molecule_structures.canonical_smiles,molecule_structures.standard_inchi,molecule_structures.standard_inchi_key
CHEMBL105457,CHEMBL105457,,,,,0,,,C[C@H]1OC[C@@H](C[N+](C)(C)C)O1,"InChI=1S/C8H18NO2/c1-7-10-6-8(11-7)5-9(2,3)4/h7-8H,5-6H2,1-4H3/q+1/t7-,8+/m0/s1",COSSAOQSSXDIQW-JGVFFNPUSA-N,Small molecule,false,false,,,657347,"InChI=1S/C8H18NO2/c1-7-10-6-8(11-7)5-9(2,3)4/h7-8H,5-6H2,1-4H3/q+1/t7-,8+/m0/s1",COSSAOQSSXDIQW-JGVFFNPUSA-N,,"trimethyl-[[(2S,4R)-2-methyl-1,3-dioxolan-4-yl]methyl]azanium",C8H18NO2+,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL1255588,CHEMBL1255588,,,,,0,,,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,"InChI=1S/C25H31NO/c1-24(2,3)25(27)13-14-26-16-21-19-9-5-4-7-17(19)11-12-18-8-6-10-20(23(18)21)22(26)15-25/h4-10,21-22,27H,11-16H2,1-3H3/t21-,22-,25-/m1/s1",ZZJYIKPMDIWRSN-TZBSWOFLSA-N,Small molecule,false,false,,,37461,"InChI=1S/C25H31NO/c1-24(2,3)25(27)13-14-26-16-21-19-9-5-4-7-17(19)11-12-18-8-6-10-20(23(18)21)22(26)15-25/h4-10,21-22,27H,11-16H2,1-3H3/t21-,22-,25-/m1/s1",ZZJYIKPMDIWRSN-TZBSWOFLSA-N,,"(1R,6R,8R)-6-tert-butyl-3-azapentacyclo[11.8.1.03,8.09,22.016,21]docosa-9,11,13(22),16,18,20-hexaen-6-ol",C25H31NO,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL129482,CHEMBL129482,,,,,0,,2.0,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1",PFTAWBLQPZVEMU-ZFWWWQNUSA-N,Small molecule,false,false,(+)-EPICATECHIN,,182232,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1",PFTAWBLQPZVEMU-ZFWWWQNUSA-N,,"(2S,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL129530,CHEMBL129530,,,,,0,,,O[C@@H]1CCN(Cc2ccc(F)cc2)C[C@H]1N1CCC(c2ccccc2)CC1,"InChI=1S/C23H29FN2O/c24-21-8-6-18(7-9-21)16-25-13-12-23(27)22(17-25)26-14-10-20(11-15-26)19-4-2-1-3-5-19/h1-9,20,22-23,27H,10-17H2/t22-,23-/m1/s1",HPZHSYBCGLDRCT-DHIUTWEWSA-N,Small molecule,false,false,,,9999116,"InChI=1S/C23H29FN2O/c24-21-8-6-18(7-9-21)16-25-13-12-23(27)22(17-25)26-14-10-20(11-15-26)19-4-2-1-3-5-19/h1-9,20,22-23,27H,10-17H2/t22-,23-/m1/s1",HPZHSYBCGLDRCT-DHIUTWEWSA-N,,"(3R,4R)-1-[(4-fluorophenyl)methyl]-3-(4-phenylpiperidin-1-yl)piperidin-4-ol",C23H29FN2O,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL2021616,,,,,,0,,,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,"InChI=1S/C17H17ClN2/c1-9-4-10-6-11(5-9)16-15(7-10)20-14-8-12(18)2-3-13(14)17(16)19/h2-4,8,10-11H,5-7H2,1H3,(H2,19,20)/t10-,11+/m1/s1",UKCBMHDZLYYTMI-MNOVXSKESA-N,Small molecule,false,false,,,51026481,"InChI=1S/C17H17ClN2/c1-9-4-10-6-11(5-9)16-15(7-10)20-14-8-12(18)2-3-13(14)17(16)19/h2-4,8,10-11H,5-7H2,1H3,(H2,19,20)/t10-,11+/m1/s1",UKCBMHDZLYYTMI-MNOVXSKESA-N,,"(1R,13R)-7-chloro-15-methyl-10-azatetracyclo[11.3.1.02,11.04,9]heptadeca-2,4(9),5,7,10,14-hexaen-3-amine",C17H17ClN2,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL267447,CHEMBL267447,,,,,0,,1.0,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,"InChI=1S/C22H26O5/c1-6-7-13-10-15(23)26-21-16(13)20-14(8-9-22(4,5)27-20)19-17(21)18(24)11(2)12(3)25-19/h8-12,18,24H,6-7H2,1-5H3/t11-,12-,18+/m1/s1",NIDRYBLTWYFCFV-FMTVUPSXSA-N,Small molecule,false,false,CALANOLIDE A,,64972,"InChI=1S/C22H26O5/c1-6-7-13-10-15(23)26-21-16(13)20-14(8-9-22(4,5)27-20)19-17(21)18(24)11(2)12(3)25-19/h8-12,18,24H,6-7H2,1-5H3/t11-,12-,18+/m1/s1",NIDRYBLTWYFCFV-FMTVUPSXSA-N,,"(16R,17S,18S)-18-hydroxy-10,10,16,17-tetramethyl-6-propyl-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),5,8(13),11-pentaen-4-one",C22H26O5,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL283509,CHEMBL283509,,,,,0,,,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC,"InChI=1S/C28H32O8/c1-24(2)10-9-22(29)26(4)27(24,31)12-11-25(3)28(26,32)15-17-20(36-25)14-19(35-23(17)30)16-7-8-18(33-5)21(13-16)34-6/h7-10,13-14,31-32H,11-12,15H2,1-6H3/t25-,26+,27-,28-/m1/s1",MIHBCQWIBJDVPX-JUDWXZBOSA-N,Small molecule,false,false,,,10255275,"InChI=1S/C28H32O8/c1-24(2)10-9-22(29)26(4)27(24,31)12-11-25(3)28(26,32)15-17-20(36-25)14-19(35-23(17)30)16-7-8-18(33-5)21(13-16)34-6/h7-10,13-14,31-32H,11-12,15H2,1-6H3/t25-,26+,27-,28-/m1/s1",MIHBCQWIBJDVPX-JUDWXZBOSA-N,,"(1S,2S,7R,10R)-14-(3,4-dimethoxyphenyl)-1,7-dihydroxy-2,6,6,10-tetramethyl-11,15-dioxatetracyclo[8.8.0.02,7.012,17]octadeca-4,12(17),13-triene-3,16-dione",C28H32O8,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL296435,CHEMBL296435,,,,,0,,,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21,"InChI=1S/C14H23N5O/c1-3-4-5-6-7-11(10(2)20)19-9-18-12-13(15)16-8-17-14(12)19/h8-11,20H,3-7H2,1-2H3,(H2,15,16,17)/t10-,11+/m0/s1",IOSAAWHGJUZBOG-WDEREUQCSA-N,Small molecule,false,false,(+)-EHNA,,149790,"InChI=1S/C14H23N5O/c1-3-4-5-6-7-11(10(2)20)19-9-18-12-13(15)16-8-17-14(12)19/h8-11,20H,3-7H2,1-2H3,(H2,15,16,17)/t10-,11+/m0/s1",IOSAAWHGJUZBOG-WDEREUQCSA-N,,"(2S,3R)-3-(6-aminopurin-9-yl)nonan-2-ol",C14H23N5O,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL508781,CHEMBL508781,,,,,0,,,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@H](Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2)N(C)CC4,"InChI=1S/C36H38N2O6/c1-37-13-11-23-18-31(41-3)32-20-26(23)27(37)16-22-7-10-29(39)30(17-22)43-25-8-5-21(6-9-25)15-28-34-24(12-14-38(28)2)19-33(42-4)35(40)36(34)44-32/h5-10,17-20,27-28,39-40H,11-16H2,1-4H3/t27-,28+/m1/s1",LFFQVHXIFJLJSP-IZLXSDGUSA-N,Small molecule,false,false,,,362574,"InChI=1S/C36H38N2O6/c1-37-13-11-23-18-31(41-3)32-20-26(23)27(37)16-22-7-10-29(39)30(17-22)43-25-8-5-21(6-9-25)15-28-34-24(12-14-38(28)2)19-33(42-4)35(40)36(34)44-32/h5-10,17-20,27-28,39-40H,11-16H2,1-4H3/t27-,28+/m1/s1",LFFQVHXIFJLJSP-IZLXSDGUSA-N,,"(1R,14S)-20,25-dimethoxy-15,30-dimethyl-8,23-dioxa-15,30-diazaheptacyclo[22.6.2.29,12.13,7.114,18.027,31.022,33]hexatriaconta-3(36),4,6,9(35),10,12(34),18,20,22(33),24,26,31-dodecaene-6,21-diol",C36H38N2O6,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
CHEMBL81421,CHEMBL81421,,,,,0,,,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,"InChI=1S/C33H54O5/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-20-33(8)21-19-28-27(7)31(25(5)26(6)32(28)38-33)37-30(36)18-17-29(34)35/h22-24H,9-21H2,1-8H3,(H,34,35)/t23-,24-,33-/m1/s1",IELOKBJPULMYRW-NJQVLOCASA-N,Small molecule,false,false,(+)-ALPHA-TOCOPHERYL SUCCINATE,,20353,"InChI=1S/C33H54O5/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-20-33(8)21-19-28-27(7)31(25(5)26(6)32(28)38-33)37-30(36)18-17-29(34)35/h22-24H,9-21H2,1-8H3,(H,34,35)/t23-,24-,33-/m1/s1",IELOKBJPULMYRW-NJQVLOCASA-N,,"4-oxo-4-[[(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-yl]oxy]butanoic acid",C33H54O5,MOL,false,0.1.3,2025-10-07T00:19:00.419380+00:00,,,
