index,activity_chembl_id1,activity_chembl_id2,standard_value1,standard_value2,delta_log_activity,log_value1,log_value2,year1,month1,year2,month2,unspecified_chirality_mol,shuffled_target_assay,rounded_pair,only_pair,approx_cited,same_cc,exact_cited,exact_cited_samedoc,approx_cited_samedoc,review_doc,INDEPENDENT,higly_correlated_cit,shuffled_cit,NO_ISSUE,not_ind_no_iss,not_ind_no_iss_graph,doc_refs_doc,survives_main_steps,higly_correlated_cit_samedoc
activity_chembl_id1,1.0,0.999973007261287,0.022138069752630874,0.022610105412079612,-0.016486664566961812,0.0848127454522872,0.06993632251898621,0.9006613173633117,-0.0746857853860206,0.9006613173633117,-0.0746857853860206,0.031528451512037904,0.011651377083807696,0.008582831371655934,0.0449719358324854,-0.027306051733206466,-0.025589390945135137,-0.08143375149365273,-0.09011870543887474,-0.09952218132734417,0.18120865214805912,,0.08421592431195322,-0.055799055574126816,,,,,-0.12349929609780776,-0.2138899841765983
activity_chembl_id2,0.999973007261287,1.0,0.02213243678272027,0.022604996862494516,-0.01651368985122161,0.0848224526421317,0.06993897156650987,0.9006121636088279,-0.07469770969961888,0.9006121636088279,-0.07469770969961888,0.03155034201698794,0.01165032073469808,0.008685118925503525,0.04499464666962232,-0.027320026351667682,-0.02559784783744984,-0.08144789386953118,-0.09013502464003596,-0.0994956833250242,0.18120158551108784,,0.084210092545935,-0.055811774235020976,,,,,-0.12351979482226916,-0.21391289839803043
standard_value1,0.022138069752630874,0.02213243678272027,1.0,0.8580857886972845,-0.015047489177096248,0.2701377680887242,0.20548780429419863,0.020005422293868615,-0.016749121777428298,0.020005422293868615,-0.016749121777428298,0.01170948679339267,0.001085306898221518,0.010956904227166837,0.040129351340243126,-0.03139428560768487,-0.009505657244200246,-0.026147702933657525,-0.01311171061184375,0.007150019122936221,0.002728795537336761,,-0.023659144317690433,-0.03195649493076407,,,,,-0.03533530331372446,-0.013849631766456663
standard_value2,0.022610105412079612,0.022604996862494516,0.8580857886972845,1.0,0.0031473637393072246,0.21149251394363452,0.27830022492960854,0.020888112925146612,-0.016574039664533524,0.020888112925146612,-0.016574039664533524,0.009252664051440528,-0.0051744732066502696,0.008181517491311258,0.042036214383359284,-0.03267036494971884,-0.01076110725590911,-0.02673469622727556,-0.016433460325316937,0.002778256267707012,-0.0027746545621684417,,-0.021928470996330704,-0.028347942960772938,,,,,-0.035236781254492304,-0.019996289477773554
delta_log_activity,-0.016486664566961812,-0.01651368985122161,-0.015047489177096248,0.0031473637393072246,1.0,-0.09402255680477058,-0.025148540765999827,-0.0015070468365610398,0.00787845634403117,-0.0015070468365610398,0.00787845634403117,-0.0016460109639019954,0.012936883320063887,-0.25497984319938205,-0.023073608359693996,-0.01358106631963795,-0.17421532881254576,-0.01604847273152804,-0.08430663200042865,-0.20740491622033133,0.0021946738334862334,,-0.024467334727468225,0.025952942335361197,,,,,0.027608314218886782,-0.03745649715683451
log_value1,0.0848127454522872,0.0848224526421317,0.2701377680887242,0.21149251394363452,-0.09402255680477058,1.0,0.7091087624906696,0.07989040613692061,-0.053661884468601685,0.07989040613692061,-0.053661884468601685,0.05430890183785925,0.00864603061858403,0.004107111781303352,0.16773356156537944,-0.18879665730855855,-0.05850022838236682,-0.1899510159494148,-0.12106326301319996,-0.004620729334860022,-0.0034037084667349654,,-0.023290662983933137,-0.15530884590864796,,,,,-0.16559595196548726,-0.1346055399981343
log_value2,0.06993632251898621,0.06993897156650987,0.20548780429419863,0.27830022492960854,-0.025148540765999827,0.7091087624906696,1.0,0.07355235916822786,-0.08870527220625474,0.07355235916822786,-0.08870527220625474,0.06386267781840255,-0.012842872610930043,-0.015619720761350219,0.1923662390819713,-0.19835474826763552,-0.07353810231449227,-0.20580831161923704,-0.14746571539820388,-0.042307204557020174,-0.0026921088579166517,,-0.034150690240828306,-0.16219584181374988,,,,,-0.188854755505596,-0.14318544525718702
year1,0.9006613173633117,0.9006121636088279,0.020005422293868615,0.020888112925146612,-0.0015070468365610398,0.07989040613692061,0.07355235916822786,1.0,-0.13448697566966897,1.0,-0.13448697566966897,0.017239483628610462,0.017667311051809676,-0.0007017396399916058,0.04579497481301538,-0.033393186755351766,-0.028588302256855377,-0.08963999929162356,-0.0903372656973757,-0.09349339449973815,0.16816043603116676,,0.06694871618165228,-0.062097132922523786,,,,,-0.11667270198969244,-0.20754132532704886
month1,-0.0746857853860206,-0.07469770969961888,-0.016749121777428298,-0.016574039664533524,0.00787845634403117,-0.053661884468601685,-0.08870527220625474,-0.13448697566966897,1.0,-0.1344869756696686,1.0,-0.08037627392379892,0.0009111531400580739,-0.022404441369285318,-0.1094737011708107,0.11390340927842282,0.036429756292555605,0.1749278243019106,0.16930134922918635,0.1927716089954233,-0.00499777117367536,,-0.043104254902479266,0.13030269572260056,,,,,0.141454131650729,0.2617733415074608
year2,0.9006613173633117,0.9006121636088279,0.020005422293868615,0.020888112925146612,-0.0015070468365610398,0.07989040613692061,0.07355235916822786,1.0,-0.1344869756696686,1.0,-0.13448697566966897,0.017239483628610462,0.017667311051809676,-0.0007017396399916058,0.04579497481301538,-0.033393186755351766,-0.028588302256855377,-0.08963999929162356,-0.0903372656973757,-0.09349339449973815,0.16816043603116676,,0.06694871618165228,-0.062097132922523786,,,,,-0.11667270198969244,-0.20754132532704886
