column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
activity_chembl_id1,78470,78470,0.0,47888,0.6102714413151523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32263.0,7993820.0,19050567.200000007,24518389.0,9286315.025436472,7235728.786554004,1.0,1970-01-01 00:00:00.000032263,1970-01-01 00:00:00.007993820,1970-01-01 00:00:00.024518389,5.0,7.0,8.0,8.0,date|numeric|free-text,1672381 (70); 1672604 (70); 1672113 (70)
activity_chembl_id2,78470,78470,0.0,47888,0.6102714413151523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32265.0,7993878.0,19050588.90000001,24518919.0,9286828.463935262,7235605.288807156,1.0,1970-01-01 00:00:00.000032265,1970-01-01 00:00:00.007993878,1970-01-01 00:00:00.024518919,5.0,7.0,8.0,8.0,date|numeric|free-text,1673712 (70); 1673716 (70); 1673715 (70)
salt_chembl_id1,78470,78470,0.0,31586,0.4025232572957818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,13.0,13.0,13.0,free-text,CHEMBL22055 (2573); CHEMBL179691 (2487); CHEMBL371722 (2485)
salt_chembl_id2,78470,78470,0.0,31590,0.4025742321906461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,13.0,13.0,13.0,free-text,CHEMBL22055 (2573); CHEMBL179691 (2487); CHEMBL371722 (2485)
molecule_chembl_id,78470,78470,0.0,31474,0.401095960239582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,13.0,13.0,13.0,free-text,CHEMBL22055 (2573); CHEMBL179691 (2487); CHEMBL371722 (2485)
target_chembl_id,78470,78470,0.0,1372,0.017484388938447816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL1855 (8222); CHEMBL247 (3777); CHEMBL203 (1687)
assay_chembl_id1,78470,78470,0.0,10976,0.13987511150758253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL865156 (209); CHEMBL865157 (206); CHEMBL865158 (203)
assay_chembl_id2,78470,78470,0.0,11075,0.14113674015547342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL858853 (210); CHEMBL858984 (203); CHEMBL858983 (200)
document_chembl_id1,78470,78470,0.0,5348,0.06815343443354148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1147748 (7455); CHEMBL1141531 (1525); CHEMBL1156482 (1373)
document_chembl_id2,78470,78470,0.0,5348,0.06815343443354148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1147748 (7455); CHEMBL1141531 (1525); CHEMBL1156482 (1373)
standard_type,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,4.0,4.0,4.0,categorical,IC50 (63129); Ki (15341)
standard_value1,78470,78470,0.0,5480,0.0698356059640627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,69.7,11000.0,3109000.0,2437.787829958073,16454.318567653052,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000069,1970-01-01 00:00:00.003109000,3.0,5.0,7.0,9.0,date|numeric|free-text,10.0 (760); 0.6 (741); 0.5 (644)
standard_value2,78470,78470,0.0,5786,0.07373518542118007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,93.33,12000.0,3090295.43,2598.72460753753,16649.88054623321,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000093,1970-01-01 00:00:00.003090295,3.0,5.0,7.0,10.0,date|numeric|free-text,10.0 (809); 0.5 (640); 1.4 (568)
delta_log_activity,78470,78470,0.0,35477,0.45210908627500956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5019448384446947,2.1674128986482497,5.348026558340205,0.7215617068264752,0.7055067492470162,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000005,3.0,18.0,18.0,21.0,date|numeric|free-text,0.0 (2508); 0.3010299956639813 (535); 1.0 (405)
log_value1,78470,78470,0.0,5480,0.0698356059640627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.843232778098009,4.041392685158225,6.492620722043192,1.888385029278862,1.3303252881874497,1.0,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,3.0,17.0,19.0,19.0,date|numeric|free-text,1.0 (760); -0.2218487496163564 (741); -0.3010299956639812 (644)
log_value2,78470,78470,0.0,5786,0.07373518542118007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.970021265828366,4.079181246047625,6.489999999646753,1.9909106173865279,1.3011365874592327,1.0,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,3.0,17.0,19.0,19.0,date|numeric|free-text,1.0 (809); -0.3010299956639812 (640); 0.146128035678238 (568)
year1,78470,78470,0.0,44,0.0005607238435070727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1976.0,2011.0,2018.0,2022.0,2010.9526188352236,5.585775683041576,1.0,1970-01-01 00:00:00.000001976,1970-01-01 00:00:00.000002011,1970-01-01 00:00:00.000002022,4.0,4.0,4.0,4.0,date|numeric|categorical,2005 (9990); 2017 (6536); 2014 (5300)
month1,78470,78470,0.0,12,0.00015292468459283804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,12.0,12.0,6.786746527335287,3.7391385824763206,1.0,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000012,1.0,1.0,2.0,2.0,date|numeric|categorical,12 (11605); 1 (7888); 10 (7495)
year2,78470,78470,0.0,44,0.0005607238435070727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1976.0,2011.0,2018.0,2022.0,2010.9526188352236,5.585775683041576,1.0,1970-01-01 00:00:00.000001976,1970-01-01 00:00:00.000002011,1970-01-01 00:00:00.000002022,4.0,4.0,4.0,4.0,date|numeric|categorical,2005 (9990); 2017 (6536); 2014 (5300)
month2,78470,78470,0.0,12,0.00015292468459283804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,12.0,12.0,6.786746527335287,3.7391385824763206,1.0,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000012,1.0,1.0,2.0,2.0,date|numeric|categorical,12 (11605); 1 (7888); 10 (7495)
bao_format1,78470,78470,0.0,11,0.00014018096087676818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000219 (33914); BAO_0000357 (32262); BAO_0000019 (10031)
bao_format2,78470,78470,0.0,11,0.00014018096087676818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000219 (35730); BAO_0000357 (29526); BAO_0000019 (10351)
unspecified_chirality_mol,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.842882630304575,0.36391139283542107,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (66141); False (12329)
shuffled_target_assay,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0021791767554479417,0.046630761779285324,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (78299); True (171)
rounded_pair,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06347648782974386,0.2438180127114161,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (73489); True (4981)
only_pair,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7291703835860839,0.44438827087020105,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (57218); False (21252)
approx_cited,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.10533962023703326,0.30699052859225295,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (70204); True (8266)
same_cc,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03193577163247101,0.17582911625413375,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (75964); True (2506)
exact_cited,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09891678348413406,0.2985502527704289,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (70708); True (7762)
exact_cited_samedoc,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.14256403721167324,0.3496277055749185,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (67283); True (11187)
approx_cited_samedoc,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3170638460558175,0.4653325301116508,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (53590); True (24880)
review_doc,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02883904676946604,0.16735398456832332,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (76207); True (2263)
INDEPENDENT,78470,78470,0.0,1,1.2743723716069835e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (78470)
higly_correlated_cit,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.14261501210653754,0.3496798112965484,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (67279); True (11191)
shuffled_cit,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.13146425385497643,0.3379073894032664,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (68154); True (10316)
NO_ISSUE,78470,78470,0.0,1,1.2743723716069835e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (78470)
not_ind_no_iss,78470,78470,0.0,1,1.2743723716069835e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (78470)
not_ind_no_iss_graph,78470,78470,0.0,1,1.2743723716069835e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (78470)
doc_refs_doc,78470,78470,0.0,1,1.2743723716069835e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,4.0,4.0,4.0,4.0,numeric|categorical,True (78470)
survives_main_steps,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.21064100930291832,0.4077638710120922,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (61941); True (16529)
higly_correlated_cit_samedoc,78470,78470,0.0,2,2.548744743213967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1628647890913725,0.36924226405653415,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (65690); True (12780)
