Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"assay.Percentage, %"
exact data citation,6957,46832.5,0.0,23837.0,0.0,16.7
high citation rate,580,3332.5,0.0,665.0,0.0,1.4
highly correlated assays,7492,74140.5,0.0,20258.0,0.0,18.0
multifunctional enzyme,1734,13445.0,0.0,191.0,0.0,4.17
multiply activity for same test item,1651,6363.5,0.0,3614.5,0.0,3.97
no issue,16918,58946.0,0.0,13627.0,0.0,40.7
review,1213,3457.5,0.0,605.0,0.0,2.92
rounded data citation,1293,19321.0,0.0,2118.0,0.0,3.11
shuffled assays,663,13685.5,0.0,932.0,0.0,1.59
test Item with unknown chirality,3075,14339.0,0.0,931.5,0.0,7.4
Total,41576,253863.0,0.0,66779.0,0.0,41576.0
