Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"testitem.Percentage, %"
exact data citation,200,39.0,0.0,114.0,0.0,0.492
high citation rate,1152,456.0,0.0,41.0,0.0,2.83
highly correlated assays,5003,810.0,0.0,821.0,0.0,12.3
multifunctional enzyme,1676,12310.0,0.0,173.0,0.0,4.12
multiply activity for same test item,1895,55.0,0.0,44.0,0.0,4.66
no issue,22497,211065.0,0.0,63258.0,0.0,55.3
review,378,402.0,0.0,109.0,0.0,0.929
rounded data citation,182,91.0,0.0,27.0,0.0,0.447
shuffled assays,712,46.0,0.0,1.0,0.0,1.75
test Item with unknown chirality,6980,28589.0,0.0,2191.0,0.0,17.2
Total,40675,253863.0,0.0,66779.0,0.0,40675.0
