Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"assay.Percentage, %"
exact data citation,6957,0.0,6759.0,0.0,149805.0,16.7
high citation rate,580,0.0,1753.0,0.0,1227.5,1.4
highly correlated assays,7492,0.0,9465.0,0.0,80622.5,18.0
multifunctional enzyme,1734,0.0,6187.0,0.0,404.0,4.17
multiply activity for same test item,1651,0.0,1764.5,0.0,3955.5,3.97
no issue,16918,0.0,11374.0,0.0,6240.0,40.7
review,1213,0.0,220.5,0.0,91.5,2.92
rounded data citation,1293,0.0,2360.0,0.0,659.5,3.11
shuffled assays,663,0.0,2196.5,0.0,788.5,1.59
test Item with unknown chirality,3075,0.0,1691.5,0.0,702.0,7.4
Total,41576,0.0,43771.0,0.0,244496.0,41576.0
