Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"document.Percentage, %"
exact data citation,1783,0.0,4186.0,0.0,111706.5,11.4
high citation rate,138,0.0,2719.5,0.0,1713.0,0.88
highly correlated assays,2218,0.0,11011.0,0.0,118457.5,14.1
multifunctional enzyme,670,0.0,5392.5,0.0,358.0,4.27
multiply activity for same test item,652,0.0,1255.5,0.0,2371.0,4.16
no issue,7926,0.0,13773.0,0.0,7442.0,50.6
review,412,0.0,341.0,0.0,133.5,2.63
rounded data citation,582,0.0,1663.0,0.0,687.5,3.71
shuffled assays,207,0.0,2009.5,0.0,1097.5,1.32
test Item with unknown chirality,1087,0.0,1420.0,0.0,529.5,6.93
Total,15675,0.0,43771.0,0.0,244496.0,15675.0
