Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"testitem.Percentage, %"
exact data citation,200,0.0,144.0,0.0,139.0,0.492
high citation rate,1152,0.0,1272.0,0.0,2119.0,2.83
highly correlated assays,5003,0.0,1667.0,0.0,12672.0,12.3
multifunctional enzyme,1676,0.0,5051.0,0.0,354.0,4.12
multiply activity for same test item,1895,0.0,132.0,0.0,229.0,4.66
no issue,22497,0.0,30562.0,0.0,225314.0,55.3
review,378,0.0,90.0,0.0,134.0,0.929
rounded data citation,182,0.0,191.0,0.0,179.0,0.447
shuffled assays,712,0.0,189.0,0.0,124.0,1.75
test Item with unknown chirality,6980,0.0,4473.0,0.0,3232.0,17.2
Total,40675,0.0,43771.0,0.0,244496.0,40675.0
