Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"target.Percentage, %"
exact data citation,5,0.0,2.0,0.0,10.0,0.255
high citation rate,6,0.0,67.0,0.0,7.0,0.306
highly correlated assays,164,0.0,110.0,0.0,60.0,8.37
multifunctional enzyme,84,0.0,2190.0,0.0,718.0,4.29
multiply activity for same test item,39,0.0,301.0,0.0,40.0,1.99
no issue,1509,0.0,59981.0,0.0,14367.0,77.0
review,48,0.0,138.0,0.0,16.0,2.45
rounded data citation,7,0.0,29.0,0.0,0.0,0.357
shuffled assays,1,0.0,1.0,0.0,0.0,0.051
test Item with unknown chirality,97,0.0,310.0,0.0,123.0,4.95
Total,1960,0.0,63129.0,0.0,15341.0,1960.0
