target_chembl_id,organism,target_uniprot_id,target_names,isoforms,pH_dependence,primaryAccession,isoform_names,isoform_ids
CHEMBL1827,Homo sapiens,O76074,"PDE5A | cGMP-specific 3',5'-cyclic phosphodiesterase | cGMP-binding cGMP-specific phosphodiesterase | CGB-PDE | PDE5",2.0,,O76074,PDE5A1|PDE5A2,O76074-1|O76074-2
CHEMBL1859,Homo sapiens,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H | CACNA1H | Voltage-gated calcium channel subunit alpha Cav3.2 | Low-voltage-activated calcium channel alpha1 3.2 subunit,2.0,,O95180,1|2,O95180-1|O95180-2
CHEMBL202,Homo sapiens,P00374,DHFR | Dihydrofolate reductase,2.0,,P00374,1|2,P00374-1|P00374-2
CHEMBL1809,Escherichia coli,P0ABQ4,folA | Dihydrofolate reductase | tmrA,1.0,,P0ABQ4,,
CHEMBL1862,Homo sapiens,P00519,p150 | ABL1 | ABL | Proto-oncogene c-Abl | Tyrosine-protein kinase ABL1 | JTK7 | Abelson murine leukemia viral oncogene homolog 1 | Abelson tyrosine-protein kinase 1,2.0,,P00519,IA|IB,P00519-1|P00519-2
CHEMBL203,Homo sapiens,P00533,Proto-oncogene c-ErbB-1 | Receptor tyrosine-protein kinase erbB-1 | EGFR | HER1 | ERBB | Epidermal growth factor receptor | ERBB1,4.0,,P00533,1|2|3|4,P00533-1|P00533-2|P00533-3|P00533-4
CHEMBL204,Homo sapiens,P00734,Coagulation factor II | Prothrombin | F2,1.0,,P00734,,
CHEMBL1801,Homo sapiens,P00747,Plasminogen | PLG,1.0,,P00747,,
CHEMBL2065,Escherichia coli,P62593,blaT-6 | TEM-16/CAZ-7 | TEM-3 | TEM-2 | blaT-5 | TEM-24/CAZ-6 | blaT-3 | Beta-lactamase TEM | TEM-1 | TEM-4 | TEM-6 | blaT-4 | Penicillinase | TEM-5 | IRT-4 | bla | TEM-8/CAZ-2,1.0,,P62593,,
CHEMBL1910,Homo sapiens,P00813,ADA | ADA1 | Adenosine aminohydrolase | Adenosine deaminase,1.0,,P00813,,
CHEMBL205,Homo sapiens,P00918,Carbonate dehydratase II | Carbonic anhydrase C | Carbonic anhydrase II | Cyanamide hydratase CA2 | Carbonic anhydrase 2 | CAC | CA2 | CA-II,1.0,Optimum pH is 6-8.,P00918,,
CHEMBL206,Homo sapiens,P03372,Estradiol receptor | Nuclear receptor subfamily 3 group A member 1 | ER | ER-alpha | Estrogen receptor | NR3A1 | ESR | ESR1,4.0,,P03372,1|2|3|4,P03372-1|P03372-2|P03372-3|P03372-4
CHEMBL2000,Homo sapiens,P03952,Kininogenin | Plasma kallikrein | Fletcher factor | PKK | Plasma prekallikrein | KLK3 | KLKB1,1.0,,P03952,,
CHEMBL402,Homo sapiens,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase | HMG-CoA reductase | HMGCR,3.0,,P04035,1|2|3,P04035-1|P04035-2|P04035-3
CHEMBL2034,Homo sapiens,P04150,Glucocorticoid receptor | NR3C1 | GR | GRL | Nuclear receptor subfamily 3 group C member 1,16.0,,P04150,Alpha|Beta|Alpha-2|Beta-2|GR-A alpha|GR-A beta|GR-P|Alpha-B|Beta-B|10|Alpha-C1|Alpha-C2|Alpha-C3|Alpha-D1|Alpha-D2|Alpha-D3,P04150-1|P04150-2|P04150-3|P04150-6|P04150-5|P04150-7|P04150-4|P04150-8|P04150-9|P04150-10|P04150-11|P04150-12|P04150-13|P04150-14|P04150-15|P04150-16
CHEMBL1952,Homo sapiens,P04818,TSase | TYMS | Thymidylate synthase | TS,3.0,,P04818,1|2|3,P04818-1|P04818-2|P04818-3
CHEMBL1935,Homo sapiens,P05091,ALDH class 2 | Aldehyde dehydrogenase | ALDH-E2 | ALDM | mitochondrial | ALDH2 | ALDHI,2.0,,P05091,1|2,P05091-1|P05091-2
CHEMBL1981,Homo sapiens,P06213, | INSR | IR | Insulin receptor,2.0,,P06213,Long|Short,P06213-1|P06213-2
CHEMBL208,Homo sapiens,P06401,NR3C3 | PR | Progesterone receptor | Nuclear receptor subfamily 3 group C member 3 | PGR,5.0,,P06401,B|A|3|4|5,P06401-1|P06401-2|P06401-3|P06401-4|P06401-5
CHEMBL210,Homo sapiens,P07550,ADRB2R | Beta-2 adrenoceptor | Beta-2 adrenoreceptor | ADRB2 | B2AR | Beta-2 adrenergic receptor,1.0,,P07550,,
CHEMBL211,Homo sapiens,P08172,CHRM2 | Muscarinic acetylcholine receptor M2,1.0,,P08172,,
CHEMBL1994,Homo sapiens,P08235,MCR | MR | Nuclear receptor subfamily 3 group C member 2 | MLR | Mineralocorticoid receptor | NR3C2,4.0,,P08235,1|2|3|4,P08235-1|P08235-2|P08235-3|P08235-4
CHEMBL213,Homo sapiens,P08588,B1AR | ADRB1R | Beta-1 adrenoceptor | ADRB1 | Beta-1 adrenergic receptor | Beta-1 adrenoreceptor,1.0,,P08588,,
CHEMBL214,Homo sapiens,P08908,ADRB2RL1 | Serotonin receptor 1A | 5-HT-1A | HTR1A | ADRBRL1 | 5-HT1A | 5-hydroxytryptamine receptor 1A | G-21,1.0,,P08908,,
CHEMBL1867,Homo sapiens,P08913,ADRAR | Alpha-2A adrenergic receptor | Alpha-2 adrenergic receptor subtype C10 | ADRA2R | Alpha-2AAR | Alpha-2A adrenoreceptor | Alpha-2A adrenoceptor | ADRA2A,1.0,,P08913,,
CHEMBL1828,Homo sapiens,P09884,DNA polymerase alpha catalytic subunit | DNA polymerase alpha catalytic subunit p180 | POLA1 | POLA,1.0,,P09884,,
CHEMBL215,Homo sapiens,P09917,LOG5 | ALOX5 | 5-lipoxygenase | 5-LO | Arachidonate 5-lipoxygenase | Polyunsaturated fatty acid 5-lipoxygenase,5.0,,P09917,1|2|3|4|5,P09917-1|P09917-2|P09917-3|P09917-4|P09917-5
CHEMBL1871,Homo sapiens,P10275,Androgen receptor | Nuclear receptor subfamily 3 group C member 4 | NR3C4 | AR | DHTR | Dihydrotestosterone receptor,4.0,,P10275,1|2|3|4,P10275-1|P10275-2|P10275-3|P10275-4
CHEMBL1860,Homo sapiens,P10827,ERBA1 | NR1A1 | THRA1 | THRA2 | Thyroid hormone receptor alpha | c-erbA-1 | THRA | EAR7 | Nuclear receptor subfamily 1 group A member 1 | EAR-7 | c-erbA-alpha | V-erbA-related protein 7,4.0,,P10827,Alpha-2|Alpha-1|Alpha-3|Alpha-4,P10827-1|P10827-2|P10827-3|P10827-4
CHEMBL216,Homo sapiens,P11229,Muscarinic acetylcholine receptor M1 | CHRM1,2.0,,P11229,1|2,P11229-1|P11229-2
CHEMBL1781,Homo sapiens,P11387,DNA topoisomerase I | TOP1 | DNA topoisomerase 1,1.0,,P11387,,
CHEMBL1806,Homo sapiens,P11388,TOP2A | alpha isozyme | DNA topoisomerase 2-alpha | TOP2 | DNA topoisomerase II,4.0,,P11388,1|2|3|4,P11388-1|P11388-2|P11388-3|P11388-4
CHEMBL1977,Homo sapiens,P11473,"NR1I1 | Nuclear receptor subfamily 1 group I member 1 | Vitamin D3 receptor | VDR | 1,25-dihydroxyvitamin D3 receptor",2.0,,P11473,1|2,P11473-1|P11473-2
CHEMBL1978,Homo sapiens,P11511,Cytochrome P-450AROM | CYAR | ARO1 | CYP19A1 | Estrogen synthase | Aromatase | Cytochrome P450 19A1 | CYPXIX | CYP19,2.0,,P11511,1|2,P11511-1|P11511-2
CHEMBL2002,Homo sapiens,P12268,IMP dehydrogenase 2 | Inosine-5'-monophosphate dehydrogenase type II | IMPDH2 | IMPD 2 | IMP dehydrogenase II | IMPDH-II | Inosine-5'-monophosphate dehydrogenase 2 | IMPD2 | IMPDH 2,1.0,,P12268,,
CHEMBL1808,Homo sapiens,P12821, | Angiotensin-converting enzyme | ACE | DCP1 | Kininase II | Dipeptidyl carboxypeptidase I | DCP,4.0,,P12821,Somatic-1|Somatic-2|Testis-specific|4,P12821-1|P12821-2|P12821-3|P22966-1|P12821-4
CHEMBL1782,Homo sapiens,P14324,"Farnesyl pyrophosphate synthase | FDPS | FPS | KIAA1293 | Geranyltranstransferase | FPP synthase | Dimethylallyltranstransferase | Farnesyl diphosphate synthase | (2E,6E)-farnesyl diphosphate synthase",2.0,,P14324,1|2,P14324-1|P14324-2
CHEMBL217,Homo sapiens,P14416,D(2) dopamine receptor | Dopamine D2 receptor | DRD2,3.0,,P14416,1|2|3,P14416-1|P14416-2|P14416-3
CHEMBL1973,Homo sapiens,P14679,SK29-AB | Tumor rejection antigen AB | LB24-AB | TYR | Tyrosinase | Monophenol monooxygenase,2.0,,P14679,1|2,P14679-1|P14679-2
CHEMBL1908,Homo sapiens,P15538,S11BH | CYP11B1 | CYPXIB1 | Steroid 11-beta-hydroxylase | Cytochrome P-450c11 | Cytochrome P450 11B1 | mitochondrial | Cytochrome P450C11,2.0,,P15538,1|2,P15538-1|P15538-2
CHEMBL1787,Homo sapiens,P18405,S5AR 1 | Steroid 5-alpha-reductase 1 | SRD5A1 | SR type 1 | 3-oxo-5-alpha-steroid 4-dehydrogenase 1,1.0,Optimally active at alkaline pHs.,P18405,,
CHEMBL1902,Homo sapiens,P62942,FKBP1A | Calstabin-1 | FKBP12 | FKBP1 | 12 kDa FKBP | Rotamase | FKBP-1A | 12 kDa FK506-binding protein | Peptidyl-prolyl cis-trans isomerase FKBP1A | FKBP-12 | FK506-binding protein 1A | PPIase FKBP1A | Immunophilin FKBP12,1.0,,P62942,,
CHEMBL1822,Homo sapiens,P20839,IMP dehydrogenase 1 | IMPD1 | IMPDH-I | IMPDH 1 | IMPD 1 | IMPDH1 | Inosine-5'-monophosphate dehydrogenase 1,7.0,,P20839,1|2|3|4|5|6|7,P20839-1|P20839-2|P20839-3|P20839-4|P20839-5|P20839-6|P20839-7
CHEMBL1951,Homo sapiens,P21397,MAOA | Monoamine oxidase type A | Amine oxidase [flavin-containing] A | MAO-A,2.0,,P21397,1|2,P21397-1|P21397-2
CHEMBL218,Homo sapiens,P21554,CB1 | CB-R | Cannabinoid receptor 1 | CNR | CNR1 | CANN6,3.0,,P21554,1|2|3,P21554-1|P21554-2|P21554-3
CHEMBL2056,Homo sapiens,P21728,Dopamine D1 receptor | DRD1 | D(1A) dopamine receptor,1.0,,P21728,,
CHEMBL219,Homo sapiens,P21917,D(4) dopamine receptor | DRD4 | D(2C) dopamine receptor | Dopamine D4 receptor,1.0,,P21917,,
CHEMBL2023,Homo sapiens,P21964,Catechol O-methyltransferase | COMT,2.0,,P21964,Membrane-bound|Soluble,P21964-1|P21964-2
CHEMBL220,Homo sapiens,P22303,AChE | Acetylcholinesterase | ACHE,4.0,,P22303,T|H|R|4,P22303-1|P22303-2|P22303-4|P22303-3
CHEMBL221,Homo sapiens,P23219,PGHS-1 | PGH synthase 1 | PTGS1 | Prostaglandin G/H synthase 1 | COX1 | Prostaglandin H2 synthase 1 | PHS 1 | Prostaglandin-endoperoxide synthase 1 | COX-1 | Cyclooxygenase-1,6.0,,P23219,1|2|3|4|5|6,P23219-1|P23219-2|P23219-3|P23219-4|P23219-5|P23219-6
