column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
Filtered.init,145950,145950,0.0,11,7.536827680712572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,36.0,36.0,categorical,no issue (53353); test Item with unknown chirality (21542); highly correlated assays (19937)
activity_chembl_id,145950,145950,0.0,145950,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32263.0,12046381.5,19411142.55,24519140.0,9966707.8140185,7294953.439979749,1.0,1970-01-01 00:00:00.000032263,1970-01-01 00:00:00.012046381,1970-01-01 00:00:00.024519140,5.0,8.0,8.0,8.0,date|numeric|identifier-like,24406584 (1); 33279 (1); 34166 (1)
assay_id,145950,145950,0.0,41576,0.2848646796848236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL828662 (177); CHEMBL830839 (177); CHEMBL1006579 (147)
bao_endpoint,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000190 (101745); BAO_0000192 (44205)
bao_format,145950,145950,0.0,11,7.536827680712572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (64440); BAO_0000219 (56965); BAO_0000019 (17617)
compound_key,145917,145917,0.00022610483042140306,17735,0.12154169836276787,0.0,0.0,0.0,0.0,0.0,0.035746348951801364,0.44909215484755055,-1.0,16.0,63.0,44237023.0,3896.1987861774355,260097.6005062179,0.0005412812607057211,1705-09-01 00:00:00.000000000,2036-01-01 00:00:00.000000000,2069-02-01 00:00:00.000000000,1.0,2.0,14.0,67.0,free-text,1 (5211); 2 (3221); 3 (2823)
compound_name,145780,145780,0.001164782459746494,53217,0.3650500754561668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,83.0,147.0,930.0,free-text,Acetazolamide (1140); Staurosporine (1035); Tacrine (398)
document_id,145950,145950,0.0,15675,0.10739979445015416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1145190 (354); CHEMBL4325871 (328); CHEMBL4715818 (317)
exact_data_citation,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.177156560465913,0.381801143987024,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (120094); True (25856)
high_citation_rate,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.045220966084275435,0.20778842679677872,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (139350); True (6600)
higly_correlated_assay,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3242069201781432,0.4680777639311081,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (98632); True (47318)
is_citation,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4343268242548818,0.49566827010365594,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (82560); True (63390)
multifunctional_enzyme,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0426378896882494,0.2020393527290713,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (139727); True (6223)
multmol_assay,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07314148681055156,0.26036860355598457,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (135275); True (10675)
no_issue,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.36555669749914355,0.48158592007310935,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (92597); True (53353)
original_activity_approx,28420,28420,0.8052757793764989,16544,0.5821252638986629,0.0,0.0,0.0,0.0,0.0,0.0,0.1947242206235012,32556.0,2118376.0,18179268.9,24511067.0,5797729.908339198,6257093.312217194,0.1947242206235012,1970-01-01 00:00:00.000032556,1970-01-01 00:00:00.002118376,1970-01-01 00:00:00.024511067,7.0,9.0,10.0,10.0,free-text,437737.0 (313); 1403869.0 (302); 1403871.0 (261)
original_activity_exact,22490,22490,0.8459061322370675,13466,0.5987550022232103,0.0,0.0,0.0,0.0,0.0,0.0,0.15409386776293252,32556.0,2100221.0,18214137.799999997,24511067.0,5923996.899199644,6327520.237502791,0.15409386776293252,1970-01-01 00:00:00.000032556,1970-01-01 00:00:00.002100221,1970-01-01 00:00:00.024511067,7.0,9.0,10.0,10.0,free-text,1403869.0 (300); 437737.0 (239); 1403871.0 (197)
pA_value,145950,145950,0.0,9269,0.0635080507022953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.8451,4.08636,6.49262,1.9062626404045355,1.30440621140813,1.0,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,3.0,7.0,9.0,12.0,date|numeric|free-text,1.0 (1467); 0.477121 (1185); 1.07918 (1150)
review,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.050578965399109284,0.21913633577812916,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (138568); True (7382)
rounded_data_citation,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.22588557725248373,0.41816418216030393,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (112982); True (32968)
saltform_id,145950,145950,0.0,41392,0.2836039739636862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,12.0,13.0,13.0,free-text,CHEMBL20 (1658); CHEMBL388978 (1111); CHEMBL98 (944)
shuffled_assay,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.11233299075025693,0.31577569561218544,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (129555); True (16395)
standard_type,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,4.0,4.0,4.0,categorical,IC50 (101745); Ki (44205)
standard_value,145950,145950,0.0,9277,0.06356286399451867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,70.0,12200.0,3109000.0,2625.3959581958893,17484.999839381522,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,1970-01-01 00:00:00.003109000,3.0,5.0,7.0,9.0,date|numeric|free-text,10.0 (1467); 3.0 (1185); 12.0 (1150)
target_id,145950,145950,0.0,1960,0.01342925659472422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL247 (3210); CHEMBL203 (2806); CHEMBL205 (2735)
target_sort_order,145948,145948,1.3703323055835881e-05,1949,0.013354071313070408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,29.0,29.0,29.0,42.0,free-text,0690--:0690-4:POL#####:011676 (5938); 0688--:0862--:EGFR####:009606 (2806); 0690--:0690-6:CA2#####:009606 (2735)
testitem_id,145950,145950,0.0,40675,0.2786913326481672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,12.0,13.0,13.0,free-text,CHEMBL20 (1658); CHEMBL388978 (1111); CHEMBL98 (944)
unicellular_organism,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06832476875642343,0.25230238748534406,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (135978); True (9972)
unknown_chirality,145950,145950,0.0,2,1.3703323055841041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.16024665981500513,0.3668346600760881,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (122562); True (23388)
