column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
ASSAY_ID,36338,36338,0.12598614585337697,36338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,identifier-like,CHEMBL1000139 (1); CHEMBL4433381 (1); CHEMBL4433276 (1)
Target TYPE,36338,36338,0.12598614585337697,8,0.00022015520942264297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,6.0,39.0,39.0,categorical,Enzyme (22706); G-protein coupled receptor (8714); Transcription factor & Nuclear receptor (1618)
accession,1630,1630,0.9607946892437945,147,0.09018404907975461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,6.0,free-text,P00533 (187); P15056 (124); Q9UM73 (96)
acts_per_assay_step5,34801,34801,0.16295458918606887,65,0.0018677624206200972,0.0,0.0,0.0,0.0,0.0,0.0,0.8370454108139311,1.0,1.0,6.0,144.0,2.1665182034998995,3.7908527853767655,0.8370454108139311,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000144,3.0,3.0,3.0,5.0,date|numeric|categorical,1.0 (21086); 2.0 (6727); 3.0 (2869)
assay_cell_type,11932,11932,0.7130075043294208,616,0.051625879986590684,0.0,0.0,0.0,0.0,0.0,0.0,0.0002405233788724264,293.0,697.0,2008.0,2008.0,928.7,726.097658720919,7.215701366172792e-05,2008-07-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,1.0,5.0,8.0,20.0,free-text,HEK293 (3127); CHO (2863); Sf9 (869)
assay_chembl_id,41576,41576,0.0,41576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,identifier-like,CHEMBL1000139 (1); CHEMBL4841342 (1); CHEMBL4841080 (1)
assay_subcellular_fraction,936,936,0.9774870117375409,18,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,8.0,13.0,28.0,categorical,Membrane (610); Microsome (92); Cell membrane (75)
assay_tissue,2054,2054,0.9505964979796037,76,0.03700097370983447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,4.0,5.0,15.0,23.0,categorical,Brain (546); Blood (305); Plasma (203)
bao_format,41576,41576,0.0,11,0.00026457571675966905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (20610); BAO_0000219 (14162); BAO_0000019 (4737)
cited_assay_corr,41576,41576,0.0,2,4.810467577448528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0537569751779873,0.22553749754242766,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (39341); True (2235)
description,41576,41576,0.0,37466,0.9011448912834328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,16.0,105.0,224.0,550.0,free-text,Inhibition of human ERG (66); Inhibition of HDAC1 (unknown origin) (40); Inhibition of L-type calcium channel measured using whole-ce (34)
document_chembl_id,41576,41576,0.0,15667,0.37682797767943044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL4325871 (328); CHEMBL4715818 (314); CHEMBL1136016 (145)
error_assay_corr,41576,41576,0.0,2,4.810467577448528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.027636136232441794,0.16392797261780467,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (40427); True (1149)
higly_correlated_cit,41576,41576,0.0,2,4.810467577448528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.2599336155474312,0.4385979150154176,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (30769); True (10807)
isoform,929,929,0.9776553781027516,2,0.002152852529601722,0.0,0.0,0.0,0.0,0.0,0.0,0.022344621897248413,1.0,1.0,1.0,2.0,1.007534983853606,0.08647663194142059,0.022344621897248413,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,3.0,3.0,3.0,3.0,categorical,1.0 (922); 2.0 (7)
month,41560,41560,0.00038483740619588147,12,0.00028873917228103947,0.0,0.0,0.0,0.0,0.0,0.0,0.9996151625938041,1.0,6.0,12.0,12.0,6.266241578440808,3.5316288361255936,0.9996151625938041,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000012,3.0,3.0,4.0,4.0,date|numeric|categorical,1.0 (4853); 8.0 (3568); 5.0 (3555)
mutation,1696,1696,0.9592072349432365,656,0.3867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,5.0,17.0,84.0,free-text,"V600E (124); L858R,T790M (98); UNDEFINED MUTATION (66)"
shuffled_cit,41576,41576,0.0,2,4.810467577448528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05738887819896094,0.23258416725569642,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (39190); True (2386)
shuffled_target_assay,41576,41576,0.0,2,4.810467577448528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0061092938233596305,0.07792284871807172,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (41322); True (254)
substrate_name,24948,24948,0.3999422743890706,6010,0.24090107423440757,0.0,0.0,0.0,0.0,0.0,0.00020041686708353374,0.00045699441985761017,1.0,9.0,17.099999999999998,18.0,9.68421052631579,5.448830213221989,0.0,,,,1.0,16.0,38.0,543.0,free-text,atp (413); acetylthiocholine iodide (348); [ 3h ] spiperone (325)
