column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
Filtered,320642,320642,0.0,10,3.118743021812489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,36.0,36.0,categorical,exact data citation (150381); highly correlated assays (61612); test Item with unknown chirality (30891)
Filtered1,320642,320642,0.0,10,3.118743021812489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,32.0,36.0,categorical,exact data citation (91041); no issue (70653); highly correlated assays (60180)
Filtered2,320642,320642,0.0,10,3.118743021812489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,32.0,36.0,categorical,exact data citation (107662); highly correlated assays (74100); no issue (35234)
INDEPENDENT,320642,320642,0.0,1,3.118743021812489e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,4.0,4.0,4.0,4.0,numeric|categorical,True (320642)
NO_ISSUE,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.017315261257102938,0.1304432558038215,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (315090); True (5552)
activity_chembl_id1,320642,320642,0.0,31742,0.09899514099837202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32538.0,13378751.0,19261403.550000016,24514152.0,10913865.764943456,7045225.017846138,1.0,1970-01-01 00:00:00.000032538,1970-01-01 00:00:00.013378751,1970-01-01 00:00:00.024514152,5.0,8.0,8.0,8.0,date|numeric|free-text,2620716 (330); 2620717 (326); 3330884 (272)
activity_chembl_id2,320642,320642,0.0,29652,0.09247696808278391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32993.0,18855045.0,23315580.0,24519140.0,17577828.57299418,5868237.191195171,1.0,1970-01-01 00:00:00.000032993,1970-01-01 00:00:00.018855045,1970-01-01 00:00:00.024519140,5.0,8.0,8.0,8.0,date|numeric|free-text,23209282 (326); 23172314 (324); 22971943 (323)
approx_cited,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8460307757561393,0.3609192461335423,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (271273); False (49369)
approx_cited_samedoc,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.12359890469745075,0.3291234045993102,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (281011); True (39631)
assay_chembl_id1,320642,320642,0.0,21331,0.0665259073982822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL976241 (368); CHEMBL976240 (355); CHEMBL874440 (305)
assay_chembl_id2,320642,320642,0.0,20114,0.0627303971407364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL4729717 (355); CHEMBL4821238 (345); CHEMBL4822376 (345)
bao_format1,320642,320642,0.0,11,3.4306173239937376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (204771); BAO_0000219 (76562); BAO_0000019 (27845)
bao_format2,320642,320642,0.0,11,3.4306173239937376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (199674); BAO_0000219 (78629); BAO_0000019 (27540)
delta_log_activity,320642,320642,0.0,64389,0.20081274443148434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.441552,2.03476,6.20601,0.638568167959419,0.6732657875832051,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,3.0,8.0,9.0,11.0,date|numeric|free-text,0.0 (20030); 0.30103 (2191); 0.0136797 (1519)
doc_refs_doc,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06558716574871663,0.24755906252401064,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (299612); True (21030)
document_chembl_id1,320642,320642,0.0,9450,0.02947212155612802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL1141531 (1150); CHEMBL2010669 (1122); CHEMBL4422610 (1009)
document_chembl_id2,320642,320642,0.0,8802,0.027451176077993526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,13.0,13.0,13.0,13.0,free-text,CHEMBL4422610 (3398); CHEMBL4732171 (1444); CHEMBL4765344 (1403)
exact_cited,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5789603358262486,0.4937259010485536,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (185639); False (135003)
exact_cited_samedoc,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06623274555423182,0.24868849786546263,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (299405); True (21237)
higly_correlated_cit,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.695629393529232,0.4601403485757198,0.0,,,,4.0,4.0,5.0,5.0,numeric|categorical,True (223048); False (97594)
higly_correlated_cit_samedoc,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0171562053629905,0.1298532632648614,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (315141); True (5501)
independent_IC50,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7917334597463839,0.40606845292931226,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1.0,1.0,1.0,1.0,date|numeric|categorical,1 (253863); 0 (66779)
independent_Ki,320642,320642,0.0,2,6.237486043624978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.20826654025361618,0.40606845292931226,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1.0,1.0,1.0,1.0,date|numeric|categorical,0 (253863); 1 (66779)
molecule_chembl_id,320642,320642,0.0,6035,0.018821614136638368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,13.0,13.0,free-text,CHEMBL98 (60298); CHEMBL20 (25384); CHEMBL95 (24409)
non_independent_IC50,320642,320642,0.0,1,3.118743021812489e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1.0,1.0,1.0,1.0,date|numeric|categorical,0 (320642)
non_independent_Ki,320642,320642,0.0,1,3.118743021812489e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1.0,1.0,1.0,1.0,date|numeric|categorical,0 (320642)
