index,activity_chembl_id1,activity_chembl_id2,standard_value1,standard_value2,delta_log_activity,INDEPENDENT,unspecified_chirality_mol,rounded_pair,approx_cited,exact_cited,same_cc,review_doc,shuffled_target_assay,approx_cited_samedoc,exact_cited_samedoc,higly_correlated_cit,higly_correlated_cit_samedoc,shuffled_cit,NO_ISSUE,not_ind_no_iss,not_ind_no_iss_graph,doc_refs_doc,non_independent_IC50,independent_IC50,non_independent_Ki,independent_Ki
activity_chembl_id1,1.0,0.5887177195088034,-0.06360259184838932,-0.06748855260520462,-0.00023450379897145806,,-0.10560800327009102,-0.062463739044686654,0.011814691737425328,-0.03836216221363896,0.02501628297477297,0.03917637362911749,-0.041061462118454566,0.0167160774109132,-0.005426909200587743,-0.03526288239660003,-0.047234615929788636,-0.06000116455072678,0.010359310303871059,0.010359310303871059,0.005020840892849409,-0.002347019392501263,0.0583216689984727,,-0.05832166899848547,
activity_chembl_id2,0.5887177195088034,1.0,-0.0733830150768279,-0.07603570393836,-0.03310097603305675,,-0.23530904269609257,-0.047268275987681026,0.08065183024546814,0.05981169816008874,0.05433561724408633,0.09026597447254973,0.06630153117520031,-0.08193005997023466,-0.08786105706049259,0.08069954070177968,-0.10884173532773268,0.06850609036249564,-0.013433300751135697,-0.013433300751135697,-0.022097052290364974,-0.1747720178703254,-0.1296509538699619,,0.1296509538699437,
standard_value1,-0.06360259184838932,-0.0733830150768279,1.0,0.8840193086499161,0.06606976948872578,,0.04378024189296303,-0.0010078246897756813,-0.013204738864973219,-0.014039149376977134,-0.014532419693696483,-0.014191731262693118,0.1795972340697371,-0.006929454395783889,-0.004507283323760458,-0.018410043027970623,-0.0008807651838811281,0.07474477589313681,0.0009670546910193692,0.0009670546910193692,-0.006174955857757757,0.04309585092672777,0.05384920376184568,,-0.05384920376184228,
standard_value2,-0.06748855260520462,-0.07603570393836,0.8840193086499161,1.0,0.05723230611084545,,0.05135081859200239,0.005992199740151013,-0.015612540081019992,-0.012625751471360585,-0.006045378548332385,-0.016005332318883916,0.18962765064205947,-0.010140826782081587,-0.0075467565764242945,-0.015226737607026919,-0.003918439529394566,0.07698822308698768,0.0008861863804628992,0.0008861863804628992,-0.005264372016310346,0.042799437524621224,0.04884130267549505,,-0.04884130267549176,
delta_log_activity,-0.00023450379897145806,-0.03310097603305675,0.06606976948872578,0.05723230611084545,1.0,,0.10622118084012194,-0.573466148041622,-0.2701029304219029,-0.29522836513821993,-0.6702803996838952,0.010919047496236687,-0.0038605896335553707,0.2045836967152668,0.16466506232891484,-0.2767551857659962,0.09451106330875755,0.006863064926652196,0.042294647368967424,0.042294647368967424,0.06988163368067898,0.07809143451515906,0.2898055213745019,,-0.2898055213745012,
INDEPENDENT,,,,,,,,,,,,,,,,,,,,,,,,,,
unspecified_chirality_mol,-0.10560800327009102,-0.23530904269609257,0.04378024189296303,0.05135081859200239,0.10622118084012194,,1.0,-0.1153752189713731,-0.21156129547563232,-0.22917289068580532,-0.16440124823525773,-0.01988613845099712,0.11683943075967172,0.1556791492046713,0.12545378252830816,-0.21027017978719179,0.10778676833821665,-0.03133685712549642,0.07224241005965537,0.07224241005965537,0.07061146092771022,0.38151299845632336,0.23949296375528134,,-0.23949296375527696,
rounded_pair,-0.062463739044686654,-0.047268275987681026,-0.0010078246897756813,0.005992199740151013,-0.573466148041622,,-0.1153752189713731,1.0,0.2914907738173814,0.37876852501059666,0.7850055600359545,-0.0447883933457094,0.10373590702475663,-0.2048470593835909,-0.15187813478877016,0.3052743275663228,-0.0751988353501561,0.07712817142506857,-0.0894323195784114,-0.0894323195784114,-0.13878271843129317,-0.08370570157652708,-0.3580244444291829,,0.3580244444291828,
approx_cited,0.011814691737425328,0.08065183024546814,-0.013204738864973219,-0.015612540081019992,-0.2701029304219029,,-0.21156129547563232,0.2914907738173814,1.0,0.6737018645545868,0.3577598468617845,-0.020435053813380427,0.07415897256857085,0.003598237699976128,0.02474490432263516,0.35892314252121293,-0.05560958561615893,0.1173210889284211,-0.24208278836766203,-0.24208278836766203,-0.20553688861215952,-0.20032454985994558,-0.27217720884010715,,0.27217720884010743,
exact_cited,-0.03836216221363896,0.05981169816008874,-0.014039149376977134,-0.012625751471360585,-0.29522836513821993,,-0.22917289068580532,0.37876852501059666,0.6737018645545868,1.0,0.3885300525332008,-0.016100544631770422,0.10875862071578808,-0.1175427810712801,0.05179041569093281,0.45329653947058146,-0.0937397890732179,0.16157404380810453,-0.22009439949647638,-0.22009439949647638,-0.23379998838423893,-0.2262007532661756,-0.43456612422088153,,0.43456612422088114,
