column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
Filtered,288259,288259,0.0,10,3.469102439125925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,32.0,36.0,categorical,exact data citation (248977); multiply activity for same test item (9357); test Item with unknown chirality (7686)
Filtered1,288259,288259,0.0,10,3.469102439125925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,24.0,36.0,categorical,exact data citation (221791); highly correlated assays (20892); no issue (18303)
Filtered2,288259,288259,0.0,10,3.469102439125925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,19.0,24.0,36.0,categorical,exact data citation (236883); highly correlated assays (17429); test Item with unknown chirality (7680)
INDEPENDENT,288259,288259,0.0,1,3.469102439125925e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (288259)
NO_ISSUE,288259,288259,0.0,2,6.93820487825185e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004239243180611881,0.06497131673182804,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (287037); True (1222)
activity_chembl_id1,288259,288259,0.0,30902,0.10720220357386934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32722.0,6182599.0,18415736.0,24507559.0,8329697.010986648,6660214.024606783,1.0,1970-01-01 00:00:00.000032722,1970-01-01 00:00:00.006182599,1970-01-01 00:00:00.024507559,5.0,7.0,8.0,8.0,date|numeric|free-text,2622887 (321); 1459051 (320); 1776944 (319)
activity_chembl_id2,288259,288259,0.0,30967,0.10742769523241252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33279.0,16478439.0,23232423.0,24518921.0,14729235.50624265,6441627.558644277,1.0,1970-01-01 00:00:00.000033279,1970-01-01 00:00:00.016478439,1970-01-01 00:00:00.024518921,5.0,8.0,8.0,8.0,date|numeric|free-text,24402360 (323); 24415573 (321); 24390865 (319)
approx_cited,288259,288259,0.0,2,6.93820487825185e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.965236124457519,0.18318119035465347,0.0,,,,4.0,4.0,4.0,5.0,numeric|categorical,True (278238); False (10021)
approx_cited_samedoc,288259,288259,0.0,2,6.93820487825185e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04587887975744036,0.20922238921693512,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (275034); True (13225)
assay_chembl_id1,288259,288259,0.0,14834,0.05146066558199397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL1002984 (1636); CHEMBL861559 (1567); CHEMBL911285 (1447)
assay_chembl_id2,288259,288259,0.0,14843,0.05149188750394611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,13.0,13.0,13.0,free-text,CHEMBL4427979 (1700); CHEMBL4035751 (1598); CHEMBL4001626 (1504)
bao_format1,288259,288259,0.0,11,3.816012683038518e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,11.0,11.0,11.0,11.0,categorical,BAO_0000357 (235996); BAO_0000219 (23679); BAO_0000019 (23272)
