column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
all_names,3733,3733,0.9097938767126598,3716,0.995446021966247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,4.0,32.0,172.39999999999964,1043.0,identifier-like,"BMS-561388 (2); FIRST ELUDED ISOMER (2); ERSENTILIDE, Ersentilide (2)"
canonical_smiles,41383,41383,0.0,41383,1.0,0.0,0.0,0.0,0.0,0.0009907449919048885,0.0,0.0,,,,,,,0.0,,,,6.0,54.0,87.0,657.0,email|identifier-like,O[C@@H]1CCN(Cc2ccc(F)cc2)C[C@H]1N1CCC(c2ccccc2)CC1 (1); Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@ (1); COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@ (1)
chirality,41383,41383,0.0,4,9.665804799072082e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,2.0,-0.9139260082642631,0.4618548695569717,1.0,1969-12-31 23:59:59.999999999,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000002,1.0,2.0,2.0,2.0,date|numeric|categorical,-1 (39885); 2 (722); 1 (620)
inchi_key_from_mol,41383,41383,0.0,41383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,27.0,27.0,27.0,27.0,identifier-like,HPZHSYBCGLDRCT-DHIUTWEWSA-N (1); IELOKBJPULMYRW-NJQVLOCASA-N (1); MIHBCQWIBJDVPX-JUDWXZBOSA-N (1)
inchi_key_from_smiles,41383,41383,0.0,41383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,27.0,27.0,27.0,27.0,identifier-like,HPZHSYBCGLDRCT-DHIUTWEWSA-N (1); IELOKBJPULMYRW-NJQVLOCASA-N (1); MIHBCQWIBJDVPX-JUDWXZBOSA-N (1)
is_radical,41383,41383,0.0,1,2.4164511997680205e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,5.0,5.0,5.0,numeric|categorical,False (41383)
molecule_chembl_id,41383,41383,0.0,40672,0.9828190319696494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,13.0,13.0,13.0,identifier-like,CHEMBL429910 (6); CHEMBL589305 (4); CHEMBL636 (3)
molecule_type,41383,41383,0.0,1,2.4164511997680205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,14.0,14.0,14.0,14.0,categorical,Small molecule (41383)
mw_<100_or_>1000,41383,41383,0.0,2,4.832902399536041e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.006089457023415412,0.07779701495928612,0.0,,,,4.0,5.0,5.0,5.0,numeric|categorical,False (41131); True (252)
mw_freebase,41383,41383,0.0,15609,0.37718386777179036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.09,426.6,626.6,3994.79,437.6068436314428,147.23828261628802,1.0,1970-01-01 00:00:00.000000070,1970-01-01 00:00:00.000000426,1970-01-01 00:00:00.000003994,5.0,6.0,6.0,7.0,date|numeric|free-text,372.47 (30); 431.54 (29); 401.47 (29)
n_stereocenters,41383,41383,0.0,29,0.000700770847932726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,35.0,0.9906966628808931,1.7966574832595539,1.0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000035,1.0,1.0,1.0,2.0,date|numeric|categorical,0 (23033); 1 (9076); 2 (4322)
nstereo,41383,41383,0.0,14,0.0003383031679675229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1024.0,1.5978058623106106,15.571269666906298,1.0,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000001024,1.0,1.0,1.0,4.0,date|numeric|categorical,1 (34055); 2 (5592); 4 (1149)
num_ro5_violations,40992,40992,0.009448324191092983,5,0.00012197501951600312,0.0,0.0,0.0,0.0,0.0,0.0,0.990551675808907,0.0,0.0,2.0,4.0,0.5332503903200625,0.7526410647549263,0.990551675808907,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000004,3.0,3.0,3.0,3.0,date|numeric|categorical,0.0 (25329); 1.0 (9765); 2.0 (5615)
salt_chembl_id,41383,41383,0.0,41383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,13.0,13.0,13.0,identifier-like,CHEMBL129530 (1); CHEMBL81421 (1); CHEMBL283509 (1)
standard_inchi_key,41383,41383,0.0,41383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,27.0,27.0,27.0,27.0,identifier-like,HPZHSYBCGLDRCT-DHIUTWEWSA-N (1); IELOKBJPULMYRW-NJQVLOCASA-N (1); MIHBCQWIBJDVPX-JUDWXZBOSA-N (1)
standard_inchi_skeleton,41383,41383,0.0,39830,0.9624725128676026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,14.0,14.0,14.0,14.0,free-text,JVHXJTBJCFBINQ (6); ZBJPQFVITVEFPP (6); VUJKAHHLCSGVDB (5)
standard_inchi_stereo,41383,41383,0.0,5846,0.14126573713843849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,8.0,8.0,free-text,UHFFFAOY (25655); SFHVURJK (161); KRWDZBQO (158)
