Filtered,activity_chembl_id,independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki
exact data citation,34166,1,0,0,0
exact data citation,43767,2,0,0,0
exact data citation,44294,0,1,0,0
exact data citation,45759,0,23,0,0
exact data citation,57305,0,1,0,0
exact data citation,57314,1,0,0,0
exact data citation,68335,0,18,0,0
exact data citation,68336,0,16,0,0
exact data citation,68338,0,18,0,0
exact data citation,68340,0,18,0,0
exact data citation,68990,0,13,0,0
exact data citation,74975,0,1,0,0
exact data citation,75632,4,0,0,0
exact data citation,80080,0,7,0,0
exact data citation,95645,0,2,0,0
exact data citation,100743,0,25,0,0
exact data citation,108199,0,18,0,0
exact data citation,108200,0,29,0,0
exact data citation,114904,0,1,0,0
exact data citation,117482,0,1,0,0
exact data citation,117483,0,1,0,0
exact data citation,126248,1,0,0,0
exact data citation,126350,0,1,0,0
exact data citation,140537,2,0,0,0
exact data citation,140960,0,22,0,0
exact data citation,146540,0,1,0,0
exact data citation,148067,0,11,0,0
exact data citation,148679,0,1,0,0
exact data citation,155232,0,10,0,0
exact data citation,155281,0,1,0,0
exact data citation,156187,0,7,0,0
exact data citation,156191,0,5,0,0
exact data citation,159098,0,5,0,0
exact data citation,162054,0,17,0,0
exact data citation,162056,0,21,0,0
exact data citation,168330,1,0,0,0
exact data citation,173433,1,0,0,0
exact data citation,206830,0,16,0,0
exact data citation,217964,3,0,0,0
exact data citation,217966,4,0,0,0
exact data citation,220924,0,5,0,0
exact data citation,241217,1,0,0,0
exact data citation,246567,0,18,0,0
exact data citation,256024,1,0,0,0
exact data citation,257384,10,0,0,0
exact data citation,257385,8,0,0,0
exact data citation,257386,8,0,0,0
exact data citation,257387,6,0,0,0
exact data citation,257388,5,0,0,0
exact data citation,257389,6,0,0,0
exact data citation,257391,2,0,0,0
exact data citation,257585,1,0,0,0
exact data citation,263041,0,2,0,0
exact data citation,265311,1,0,0,0
exact data citation,265433,0,18,0,0
exact data citation,271161,0,1,0,0
exact data citation,276704,0,9,0,0
exact data citation,276705,0,7,0,0
exact data citation,279315,114,0,0,0
exact data citation,279615,0,2,0,0
exact data citation,291242,0,23,0,0
exact data citation,309687,36,0,0,0
exact data citation,309688,28,0,0,0
exact data citation,312899,1,0,0,0
exact data citation,315399,1,0,0,0
exact data citation,315405,1,0,0,0
exact data citation,316917,0,22,0,0
exact data citation,335766,3,0,0,0
exact data citation,339468,0,64,0,0
exact data citation,346407,0,2,0,0
exact data citation,362678,0,7,0,0
exact data citation,362679,0,12,0,0
exact data citation,366157,0,2,0,0
exact data citation,366159,0,2,0,0
exact data citation,366161,0,1,0,0
exact data citation,374839,0,1,0,0
exact data citation,382795,0,8,0,0
exact data citation,382796,0,7,0,0
exact data citation,390579,0,1,0,0
exact data citation,393130,2,0,0,0
exact data citation,395472,0,2,0,0
exact data citation,396771,0,4,0,0
exact data citation,398159,0,1,0,0
exact data citation,399054,0,15,0,0
exact data citation,399055,26,0,0,0
exact data citation,399057,15,0,0,0
exact data citation,399760,0,21,0,0
exact data citation,399762,0,33,0,0
exact data citation,402713,3,0,0,0
exact data citation,405502,0,1,0,0
exact data citation,412333,0,1,0,0
exact data citation,416555,1,0,0,0
exact data citation,416866,0,6,0,0
exact data citation,424093,0,4,0,0
exact data citation,425890,1,0,0,0
exact data citation,433825,0,22,0,0
exact data citation,438502,0,1,0,0
exact data citation,438504,0,1,0,0
exact data citation,442958,0,23,0,0
exact data citation,442960,0,23,0,0
exact data citation,446697,1,0,0,0
exact data citation,446699,1,0,0,0
exact data citation,446722,0,1,0,0
exact data citation,450607,0,8,0,0
exact data citation,452186,0,5,0,0
exact data citation,457078,0,1,0,0
exact data citation,457080,0,1,0,0
exact data citation,463112,0,14,0,0
exact data citation,463116,0,14,0,0
exact data citation,466516,0,9,0,0
exact data citation,477010,32,0,0,0
exact data citation,492472,0,9,0,0
exact data citation,515907,0,1,0,0
exact data citation,519545,2,0,0,0
exact data citation,545074,0,1,0,0
exact data citation,545076,0,1,0,0
exact data citation,547628,9,0,0,0
exact data citation,548474,4,0,0,0
exact data citation,567258,0,6,0,0
exact data citation,574531,8,0,0,0
exact data citation,579858,0,18,0,0
exact data citation,579859,0,16,0,0
exact data citation,579861,0,18,0,0
exact data citation,584306,30,0,0,0
exact data citation,591762,0,8,0,0
exact data citation,591763,0,22,0,0
exact data citation,595056,0,1,0,0
exact data citation,615346,0,6,0,0
exact data citation,635285,0,14,0,0
exact data citation,637929,1,0,0,0
exact data citation,638254,0,8,0,0
exact data citation,638716,8,0,0,0
exact data citation,646372,1,0,0,0
exact data citation,646781,0,2,0,0
exact data citation,647105,7,0,0,0
exact data citation,647584,1,0,0,0
exact data citation,650065,0,2,0,0
exact data citation,650066,0,1,0,0
exact data citation,650067,0,1,0,0
exact data citation,650068,0,1,0,0
exact data citation,656536,11,0,0,0
exact data citation,660929,0,6,0,0
exact data citation,660930,0,5,0,0
exact data citation,660931,0,6,0,0
exact data citation,660932,0,6,0,0
exact data citation,661971,1,0,0,0
exact data citation,662149,0,1,0,0
exact data citation,662150,0,1,0,0
exact data citation,662151,0,1,0,0
exact data citation,662844,2,0,0,0
exact data citation,666241,0,1,0,0
exact data citation,669739,2,0,0,0
exact data citation,669742,1,0,0,0
exact data citation,676608,0,1,0,0
exact data citation,685575,3,0,0,0
exact data citation,708465,0,16,0,0
exact data citation,708467,0,25,0,0
exact data citation,714401,0,1,0,0
