Filtered,document_id,independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki
exact data citation,CHEMBL1124039,2,0,0,0
exact data citation,CHEMBL1125360,0,15,0,0
exact data citation,CHEMBL1125513,0,33.5,0,0
exact data citation,CHEMBL1125699,0,2.5,0,0
exact data citation,CHEMBL1125706,0,39,0,0
exact data citation,CHEMBL1125805,0,0,0,0
exact data citation,CHEMBL1126134,0,2.5,0,0
exact data citation,CHEMBL1126574,1,0,0,0
exact data citation,CHEMBL1126739,2,0,0,0
exact data citation,CHEMBL1126778,0,1.5,0,0
exact data citation,CHEMBL1127305,0,0,0,0
exact data citation,CHEMBL1127512,0,9.5,0,0
exact data citation,CHEMBL1127583,0,17.5,0,0
exact data citation,CHEMBL1128224,0,15,0,0
exact data citation,CHEMBL1129488,0.5,0,0,0
exact data citation,CHEMBL1130404,0,0,0,0
exact data citation,CHEMBL1131063,0,0,0,0
exact data citation,CHEMBL1131165,0,0,0,0
exact data citation,CHEMBL1131177,0,0,0,0
exact data citation,CHEMBL1131588,0,0,0,0
exact data citation,CHEMBL1131656,0,3,0,0
exact data citation,CHEMBL1131677,0,0,0,0
exact data citation,CHEMBL1131762,0,0,0,0
exact data citation,CHEMBL1131801,0,3,0,0
exact data citation,CHEMBL1131908,0,14,0,0
exact data citation,CHEMBL1131991,0,2,0,0
exact data citation,CHEMBL1132050,0.5,0,0,0
exact data citation,CHEMBL1132091,0,0,0,0
exact data citation,CHEMBL1132420,0,0,0,0
exact data citation,CHEMBL1132519,0,10.5,0,0
exact data citation,CHEMBL1132552,0,0,0,0
exact data citation,CHEMBL1132688,0,0,0,0
exact data citation,CHEMBL1132711,0,1,0,0
exact data citation,CHEMBL1133037,1.5,0,0,0
exact data citation,CHEMBL1133322,3.5,0,0,0
exact data citation,CHEMBL1133369,0,2,0,0
exact data citation,CHEMBL1133725,0,11.5,0,0
exact data citation,CHEMBL1133742,0,0,0,0
exact data citation,CHEMBL1133954,16,0,0,0
exact data citation,CHEMBL1134017,16,0,0,0
exact data citation,CHEMBL1134070,0,0,0,0
exact data citation,CHEMBL1134211,0,2.5,0,0
exact data citation,CHEMBL1134213,0,0,0,0
exact data citation,CHEMBL1134497,0,0,0,0
exact data citation,CHEMBL1134562,0,2,0,0
exact data citation,CHEMBL1134679,0,0,0,0
exact data citation,CHEMBL1134827,0,8,0,0
exact data citation,CHEMBL1134878,0,0,0,0
exact data citation,CHEMBL1135193,0,0,0,0
exact data citation,CHEMBL1135250,0,0,0,0
