Filtered,independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki,standard_type,system_id,target_id,testitem_id
exact data citation,0,0,0,0,IC50,CHEMBL1487_CHEMBL3593154_IC50,CHEMBL3593154,CHEMBL1487
exact data citation,0,0,0,0,IC50,CHEMBL178971_CHEMBL2527_IC50,CHEMBL2527,CHEMBL178971
exact data citation,0,0,0,0,IC50,CHEMBL180300_CHEMBL242_IC50,CHEMBL242,CHEMBL180300
exact data citation,0,0,0,0,IC50,CHEMBL180792_CHEMBL242_IC50,CHEMBL242,CHEMBL180792
exact data citation,0,0,0,0,IC50,CHEMBL183049_CHEMBL242_IC50,CHEMBL242,CHEMBL183049
exact data citation,0,0,0,0,IC50,CHEMBL183584_CHEMBL206_IC50,CHEMBL206,CHEMBL183584
exact data citation,0,0,0,0,IC50,CHEMBL1852686_CHEMBL3568_IC50,CHEMBL3568,CHEMBL1852686
exact data citation,0,0,0,0,IC50,CHEMBL195729_CHEMBL3974_IC50,CHEMBL3974,CHEMBL195729
exact data citation,0,0,0,0,IC50,CHEMBL196727_CHEMBL3974_IC50,CHEMBL3974,CHEMBL196727
exact data citation,0,0,0,0,IC50,CHEMBL197791_CHEMBL3974_IC50,CHEMBL3974,CHEMBL197791
exact data citation,0,0,0,0,IC50,CHEMBL2011870_CHEMBL3772_IC50,CHEMBL3772,CHEMBL2011870
exact data citation,0,0,0,0,IC50,CHEMBL201782_CHEMBL3349_IC50,CHEMBL3349,CHEMBL201782
exact data citation,0,0,0,0,IC50,CHEMBL206502_CHEMBL3974_IC50,CHEMBL3974,CHEMBL206502
exact data citation,0,0,0,0,IC50,CHEMBL209157_CHEMBL1827_IC50,CHEMBL1827,CHEMBL209157
exact data citation,0,0,0,0,IC50,CHEMBL209868_CHEMBL3587_IC50,CHEMBL3587,CHEMBL209868
exact data citation,0,0,0,0,IC50,CHEMBL211359_CHEMBL3587_IC50,CHEMBL3587,CHEMBL211359
exact data citation,0,0,0,0,IC50,CHEMBL213992_CHEMBL3587_IC50,CHEMBL3587,CHEMBL213992
exact data citation,0,0,0,0,IC50,CHEMBL220125_CHEMBL3229_IC50,CHEMBL3229,CHEMBL220125
exact data citation,0,0,0,0,IC50,CHEMBL2219984_CHEMBL2046264_IC50,CHEMBL2046264,CHEMBL2219984
