Filtered,activity_chembl_id,independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki
exact data citation,33279,0,0,0,2
exact data citation,34166,0,0,1,0
exact data citation,41129,0,0,0,1
exact data citation,41130,0,0,0,2
exact data citation,41131,0,0,0,1
exact data citation,41132,0,0,0,4
exact data citation,41914,0,0,0,1
exact data citation,43767,0,0,1,0
exact data citation,44294,0,0,0,1
exact data citation,44708,0,0,0,3
exact data citation,44709,0,0,0,4
exact data citation,44710,0,0,0,3
exact data citation,44711,0,0,0,7
exact data citation,45410,0,0,0,1
exact data citation,45759,0,0,0,5
exact data citation,48437,0,0,0,1
exact data citation,48438,0,0,0,2
exact data citation,48443,0,0,1,0
exact data citation,48446,0,0,1,0
exact data citation,54813,0,0,0,2
exact data citation,54814,0,0,0,3
exact data citation,56803,0,0,0,1
exact data citation,57305,0,0,0,2
exact data citation,57306,0,0,0,2
exact data citation,57314,0,0,2,0
exact data citation,66042,0,0,0,1
exact data citation,67604,0,0,2,0
exact data citation,68335,0,0,0,14
exact data citation,68336,0,0,0,5
exact data citation,68338,0,0,0,14
exact data citation,68340,0,0,0,14
exact data citation,68990,0,0,0,1
exact data citation,71312,0,0,0,1
exact data citation,72337,0,0,0,1
exact data citation,75632,0,0,3,0
exact data citation,77752,0,0,0,1
exact data citation,77957,0,0,0,7
exact data citation,77958,0,0,0,7
exact data citation,77959,0,0,0,7
exact data citation,77960,0,0,0,7
exact data citation,77961,0,0,0,7
exact data citation,77967,0,0,0,7
exact data citation,80080,0,0,0,2
exact data citation,84949,0,0,1,0
exact data citation,84950,0,0,1,0
exact data citation,90179,0,0,1,0
exact data citation,90287,0,0,0,1
exact data citation,90288,0,0,0,1
exact data citation,100743,0,0,0,1
exact data citation,108199,0,0,0,3
exact data citation,108200,0,0,0,4
exact data citation,122184,0,0,0,1
exact data citation,124710,0,0,0,1
exact data citation,126350,0,0,0,1
exact data citation,127555,0,0,0,2
exact data citation,133630,0,0,0,2
exact data citation,133789,0,0,0,1
exact data citation,133790,0,0,0,1
exact data citation,139451,0,0,1,0
exact data citation,140537,0,0,1,0
exact data citation,140960,0,0,0,4
exact data citation,141073,0,0,0,1
exact data citation,143013,0,0,1,0
exact data citation,144462,0,0,0,2
exact data citation,146540,0,0,0,1
exact data citation,146544,0,0,0,1
exact data citation,146994,0,0,2,0
exact data citation,147890,0,0,0,1
exact data citation,148067,0,0,0,4
exact data citation,148678,0,0,0,7
exact data citation,148679,0,0,0,7
exact data citation,151521,0,0,1,0
exact data citation,151523,0,0,0,1
exact data citation,155232,0,0,0,3
exact data citation,156187,0,0,0,1
exact data citation,156191,0,0,0,1
exact data citation,158802,0,0,2,0
exact data citation,158804,0,0,0,1
exact data citation,162054,0,0,0,2
exact data citation,162056,0,0,0,3
exact data citation,164847,0,0,1,0
exact data citation,164849,0,0,0,1
exact data citation,168330,0,0,9,0
exact data citation,173433,0,0,7,0
exact data citation,173435,0,0,0,1
exact data citation,174939,0,0,7,0
exact data citation,175811,0,0,0,1
exact data citation,180470,0,0,5,0
exact data citation,190114,0,0,1,0
exact data citation,194244,0,0,1,0
exact data citation,194245,0,0,1,0
exact data citation,194246,0,0,1,0
exact data citation,194247,0,0,1,0
exact data citation,194265,0,0,1,0
exact data citation,194267,0,0,1,0
exact data citation,199514,0,0,2,0
exact data citation,202087,0,0,1,0
exact data citation,206830,0,0,0,3
exact data citation,207965,0,0,1,0
exact data citation,217963,0,0,2,0
exact data citation,217964,0,0,2,0
exact data citation,217965,0,0,2,0
exact data citation,217966,0,0,3,0
exact data citation,219923,0,0,1,0
exact data citation,220924,0,0,0,2
exact data citation,222186,0,0,1,0
exact data citation,228917,0,0,3,0
exact data citation,234797,0,0,0,3
exact data citation,241217,0,0,6,0
exact data citation,242849,0,0,0,2
exact data citation,245542,0,0,0,1
exact data citation,246567,0,0,0,1
exact data citation,249666,0,0,0,1
exact data citation,256367,0,0,0,1
exact data citation,257384,0,0,1,0
exact data citation,257385,0,0,2,0
exact data citation,257386,0,0,2,0
exact data citation,257387,0,0,1,0
exact data citation,257388,0,0,1,0
exact data citation,257389,0,0,1,0
exact data citation,257391,0,0,1,0
exact data citation,257585,0,0,9,0
exact data citation,258297,0,0,1,0
exact data citation,260254,0,0,0,1
exact data citation,261856,0,0,0,1
exact data citation,263041,0,0,0,3
exact data citation,263545,0,0,1,0
exact data citation,265311,0,0,1,0
exact data citation,265433,0,0,0,1
exact data citation,267811,0,0,2,0
exact data citation,267813,0,0,2,0
exact data citation,271161,0,0,0,4
exact data citation,276704,0,0,0,2
exact data citation,276705,0,0,0,2
exact data citation,277086,0,0,1,0
exact data citation,279315,0,0,1,0
exact data citation,279615,0,0,0,5
exact data citation,291241,0,0,0,2
exact data citation,291242,0,0,0,6
exact data citation,299911,0,0,2,0
exact data citation,299958,0,0,0,1
exact data citation,309687,0,0,14,0
exact data citation,309688,0,0,15,0
exact data citation,312899,0,0,9,0
exact data citation,312986,0,0,5,0
exact data citation,314914,0,0,7,0
exact data citation,314915,0,0,8,0
exact data citation,315399,0,0,2,0
exact data citation,315405,0,0,2,0
exact data citation,316917,0,0,0,2
exact data citation,318955,0,0,0,1
exact data citation,335766,0,0,4,0
exact data citation,339468,0,0,0,1
exact data citation,340843,0,0,0,1
exact data citation,342017,0,0,0,1
exact data citation,346407,0,0,0,3
exact data citation,347448,0,0,2,0
exact data citation,361609,0,0,1,0
exact data citation,362678,0,0,0,2
exact data citation,362679,0,0,0,2
exact data citation,363156,0,0,1,0
exact data citation,366157,0,0,0,2
exact data citation,366159,0,0,0,2
exact data citation,366161,0,0,0,4
exact data citation,367649,0,0,4,0
exact data citation,369879,0,0,2,0
exact data citation,377090,0,0,1,0
exact data citation,377094,0,0,2,0
exact data citation,382795,0,0,0,5
exact data citation,382796,0,0,0,1
exact data citation,390579,0,0,0,1
exact data citation,393129,0,0,3,0
exact data citation,393130,0,0,4,0
exact data citation,393552,0,0,0,1
exact data citation,393554,0,0,0,1
exact data citation,395723,0,0,1,0
exact data citation,395724,0,0,1,0
exact data citation,396771,0,0,0,1
exact data citation,398159,0,0,0,1
exact data citation,399054,0,0,0,1
exact data citation,399055,0,0,1,0
exact data citation,399057,0,0,1,0
exact data citation,399316,0,0,3,0
exact data citation,399317,0,0,3,0
exact data citation,399760,0,0,0,1
exact data citation,399762,0,0,0,1
exact data citation,405500,0,0,0,7
exact data citation,405502,0,0,0,7
exact data citation,417195,0,0,1,0
exact data citation,417196,0,0,1,0
exact data citation,418734,0,0,0,1
exact data citation,424093,0,0,0,1
exact data citation,432672,0,0,1,0
exact data citation,432673,0,0,1,0
exact data citation,433825,0,0,0,3
exact data citation,437358,0,0,0,1
exact data citation,438502,0,0,0,6
exact data citation,438504,0,0,0,6
exact data citation,440417,0,0,1,0
exact data citation,440418,0,0,1,0
exact data citation,442721,0,0,2,0
exact data citation,442958,0,0,0,1
exact data citation,442960,0,0,0,1
exact data citation,443891,0,0,0,1
exact data citation,445848,0,0,1,0
exact data citation,445849,0,0,1,0
exact data citation,446697,0,0,1,0
exact data citation,446699,0,0,1,0
exact data citation,446720,0,0,0,7
exact data citation,446722,0,0,0,7
exact data citation,450607,0,0,0,1
exact data citation,452186,0,0,0,1
exact data citation,457078,0,0,0,1
exact data citation,457080,0,0,0,1
exact data citation,463112,0,0,0,12
exact data citation,463116,0,0,0,12
exact data citation,463554,0,0,0,1
exact data citation,466516,0,0,0,2
exact data citation,473139,0,0,0,1
exact data citation,477010,0,0,4,0
exact data citation,477985,0,0,0,2
exact data citation,479166,0,0,0,1
exact data citation,491300,0,0,0,1
exact data citation,492472,0,0,0,3
exact data citation,496953,0,0,0,2
exact data citation,502776,0,0,1,0
exact data citation,512600,0,0,1,0
exact data citation,515907,0,0,0,1
exact data citation,516902,0,0,1,0
exact data citation,516903,0,0,1,0
exact data citation,519545,0,0,1,0
exact data citation,542936,0,0,0,1
exact data citation,542941,0,0,0,1
exact data citation,545069,0,0,0,1
exact data citation,545071,0,0,0,1
exact data citation,545072,0,0,0,1
exact data citation,545073,0,0,0,1
exact data citation,545074,0,0,0,1
exact data citation,545075,0,0,0,1
exact data citation,545076,0,0,0,1
exact data citation,546830,0,0,1,0
exact data citation,548474,0,0,1,0
exact data citation,550706,0,0,2,0
exact data citation,550707,0,0,1,0
exact data citation,550708,0,0,1,0
exact data citation,567013,0,0,1,0
exact data citation,567258,0,0,0,7
