Filtered,independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki,target_id
exact data citation,0,0,0,0,CHEMBL2794
exact data citation,0,0,0,0,CHEMBL4824
exact data citation,0,0,0,10,CHEMBL3744
exact data citation,0,0,1,0,CHEMBL3593154
exact data citation,0,0,1,0,CHEMBL4105923
high citation rate,0,0,9,0,CHEMBL4270
highly correlated assays,0,0,0,0,CHEMBL1075133
highly correlated assays,0,0,0,0,CHEMBL1075155
highly correlated assays,0,0,0,0,CHEMBL1075166
highly correlated assays,0,0,0,0,CHEMBL1075167
highly correlated assays,0,0,0,0,CHEMBL1075195
highly correlated assays,0,0,0,0,CHEMBL1163106
highly correlated assays,0,0,0,0,CHEMBL1163108
highly correlated assays,0,0,0,0,CHEMBL1163123
highly correlated assays,0,0,0,0,CHEMBL1163126
highly correlated assays,0,0,0,0,CHEMBL1163129
highly correlated assays,0,0,0,0,CHEMBL1908384
highly correlated assays,0,0,0,0,CHEMBL1914270
highly correlated assays,0,0,0,0,CHEMBL1938215
highly correlated assays,0,0,0,0,CHEMBL2109
highly correlated assays,0,0,0,0,CHEMBL2171
highly correlated assays,0,0,0,0,CHEMBL2349
highly correlated assays,0,0,0,0,CHEMBL2417353
highly correlated assays,0,0,0,0,CHEMBL2426
highly correlated assays,0,0,0,0,CHEMBL2428
highly correlated assays,0,0,0,0,CHEMBL2490
highly correlated assays,0,0,0,0,CHEMBL2493
highly correlated assays,0,0,0,0,CHEMBL2494
highly correlated assays,0,0,0,0,CHEMBL2498
highly correlated assays,0,0,0,0,CHEMBL2595
highly correlated assays,0,0,0,0,CHEMBL2634
highly correlated assays,0,0,0,0,CHEMBL2743
highly correlated assays,0,0,0,0,CHEMBL2777
highly correlated assays,0,0,0,0,CHEMBL2793
highly correlated assays,0,0,0,0,CHEMBL2801
highly correlated assays,0,0,0,0,CHEMBL2896
highly correlated assays,0,0,0,0,CHEMBL2897
highly correlated assays,0,0,0,0,CHEMBL2918
highly correlated assays,0,0,0,0,CHEMBL2939
highly correlated assays,0,0,0,0,CHEMBL2964
highly correlated assays,0,0,0,0,CHEMBL3111
highly correlated assays,0,0,0,0,CHEMBL3123
highly correlated assays,0,0,0,0,CHEMBL3125
highly correlated assays,0,0,0,0,CHEMBL3414416
highly correlated assays,0,0,0,0,CHEMBL3440
highly correlated assays,0,0,0,0,CHEMBL3530
highly correlated assays,0,0,0,0,CHEMBL3542
highly correlated assays,0,0,0,0,CHEMBL3627581
highly correlated assays,0,0,0,0,CHEMBL3627582
highly correlated assays,0,0,0,0,CHEMBL3627583
highly correlated assays,0,0,0,0,CHEMBL3627584
highly correlated assays,0,0,0,0,CHEMBL3627585
highly correlated assays,0,0,0,0,CHEMBL3627587
highly correlated assays,0,0,0,0,CHEMBL3627592
highly correlated assays,0,0,0,0,CHEMBL3736
highly correlated assays,0,0,0,0,CHEMBL3820
highly correlated assays,0,0,0,0,CHEMBL3829
highly correlated assays,0,0,0,0,CHEMBL3831
highly correlated assays,0,0,0,0,CHEMBL3938
highly correlated assays,0,0,0,0,CHEMBL3956
highly correlated assays,0,0,0,0,CHEMBL3987
highly correlated assays,0,0,0,0,CHEMBL3988
highly correlated assays,0,0,0,0,CHEMBL4004
