column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
pref_name,4777,4777,0.0,1531,0.32049403391249737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,28.0,53.0,88.0,free-text,Dihydrofolate reductase (29); Mu opioid receptor (17); Histamine H3 receptor (16)
chembl_id,4777,4777,0.0,1960,0.4102993510571488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL1827 (4); CHEMBL3788 (4); CHEMBL3513 (4)
component_description,4777,4777,0.0,1485,0.3108645593468704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,31.0,57.0,90.0,free-text,Dihydrofolate reductase (28); Mu-type opioid receptor (19); Histamine H3 receptor (16)
component_id,4777,4777,0.0,1960,0.4102993510571488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2482.0,8265.0,19843.0,3124.2254553066778,3167.6103359074177,1.0,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002482,1970-01-01 00:00:00.000019843,1.0,4.0,4.0,5.0,date|numeric|free-text,124 (4); 2106 (4); 1834 (4)
relationship,4777,4777,0.0,1,0.00020933640360058616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,14.0,14.0,14.0,14.0,categorical,SINGLE PROTEIN (4777)
gene,4704,4704,0.015281557462842765,1818,0.3864795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,11.0,40.0,5024.0,free-text,DHFR (9); DRD2 (9); HTR4 (8)
mapping_uniprot_id,4776,4776,0.00020933640360054628,1959,0.4101758793969849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,10.0,free-text,O76074 (4); O00444 (4); Q6P7A9 (4)
chembl_alternative_name,4777,4777,0.0,1662,0.34791710278417415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,105.0,267.0,1035.0,free-text,Dihydrofolate reductase (24); D(1A) dopamine receptor|Dopamine D1 receptor (13); D(2) dopamine receptor|Dopamine D2 receptor (13)
ec_code,2958,2958,0.3807829181494662,489,0.16531440162271804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.10215616495708604,2001-01-01 00:00:00.000000000,2011-02-07 10:00:00.000000000,2026-03-01 00:00:00.000000000,7.0,8.0,21.0,107.0,free-text,2.7.11.1 (314); 2.7.10.1 (158); 2.7.10.2 (107)
hgnc_name,3505,3505,0.2662759053799456,1285,0.3666191155492154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,2.0,5.0,7.0,9.0,free-text,PDE5A (4); AURKA (4); RIPK2 (4)
