column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
chembl_id,1959,1959,0.0,1959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,identifier-like,CHEMBL1827 (1); CHEMBL3779754 (1); CHEMBL3769293 (1)
uniprotkb_Id,1959,1959,0.0,1515,0.7733537519142419,0.0,0.0,0.0,0.0,0.0,0.0005104645227156713,0.0,,,,,,,0.0,,,,2.0,5.0,5.0,10.0,free-text,DYR (11); ACES (7); OPRM (6)
uniprot_id,1959,1959,0.0,1959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,10.0,identifier-like,O76074 (1); Q2XVA1 (1); Q86YT5 (1)
secondary_uniprot_id,1959,1959,0.0,1959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,20.0,69.0,342.0,identifier-like,A0AV69|A8K2C4|O75026|O75887|Q86UI0|Q86V66|Q9Y6Z6 (1); Q2XVA1 (1); B3KXR0|B7Z4P2|B7ZLB4|F8W7N2|Q6ZMG1 (1)
gene_name,1959,1959,0.0,1448,0.7391526288922919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,5.0,7.0,21.0,free-text,- (52); FOLA (6); OPRM1 (6)
recommended_name,1959,1959,0.0,1529,0.7805002552322614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,28.0,53.0,88.0,free-text,dihydrofolate reductase (14); acetylcholinesterase (7); neuraminidase (6)
synonyms,1959,1959,0.0,1907,0.9734558448187851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,5.0,129.0,314.0,4961.0,free-text,-|neuraminidase|na (6); ache|acetylcholinesterase|ache|ache (4); adora1|adenosine receptor a1|adenosine a1 receptor (3)
genus,1959,1959,0.0,91,0.046452271567126086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,11.0,45.0,categorical,Homo (1287); Rattus (209); Mus (157)
superkingdom,1959,1959,0.0,4,0.002041858090862685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,9.0,9.0,categorical,Eukaryota (1862); Bacteria (70); Viruses (26)
phylum,1959,1959,0.0,14,0.0071465033180193975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,8.0,9.0,17.0,categorical,Chordata (1789); Bacillati (41); Pseudomonadati (27)
taxon_id,1959,1959,0.0,116,0.059213884635017866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,271.0,9606.0,10116.0,3052230.0,19022.885655946913,127192.56677109111,1.0,1970-01-01 00:00:00.000000271,1970-01-01 00:00:00.000009606,1970-01-01 00:00:00.003052230,3.0,4.0,5.0,7.0,date|numeric|free-text,9606 (1287); 10116 (209); 10090 (157)
