column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
pref_name,2899,2899,0.0,1531,0.5281131424629183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,28.0,53.0,88.0,free-text,Dihydrofolate reductase (19); Mu opioid receptor (9); Kappa opioid receptor (8)
target_chembl_id,2899,2899,0.0,1960,0.6760952052431873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,13.0,13.0,free-text,CHEMBL1827 (2); CHEMBL3788 (2); CHEMBL3513 (2)
component_description,2899,2899,0.0,1485,0.5122456019317005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,31.0,57.0,90.0,free-text,Dihydrofolate reductase (18); Mu-type opioid receptor (11); Prostaglandin G/H synthase 2 (8)
component_id,2899,2899,0.0,1960,0.6760952052431873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2638.0,8885.1,19843.0,3347.371162469817,3394.6870957884953,1.0,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002638,1970-01-01 00:00:00.000019843,1.0,4.0,4.0,5.0,date|numeric|free-text,124 (2); 2106 (2); 1834 (2)
relationship,2899,2899,0.0,1,0.00034494653328734045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,14.0,14.0,14.0,14.0,categorical,SINGLE PROTEIN (2899)
gene,2899,2846,0.01828216626422907,1820,0.6394940267041461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,11.0,40.0,5024.0,free-text, (53); NA (6); DHFR (5)
uniprot_id,2899,2899,0.0,1958,0.6754053121766126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,10.0,free-text,A0AV69 (2); O94765 (2); Q6P7A9 (2)
mapping_uniprot_id,2899,2898,0.00034494653328731584,1960,0.6763285024154589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,6.0,6.0,10.0,free-text,O76074 (2); O00444 (2); Q6P7A9 (2)
chembl_alternative_name,2899,2899,0.0,1662,0.5733011383235599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,104.0,265.0,1035.0,free-text,Dihydrofolate reductase (16); AChE|Acetylcholinesterase (7); D(1A) dopamine receptor|Dopamine D1 receptor (7)
ec_code,2899,1824,0.37081752328389095,490,0.26864035087719296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.10969299758537426,2001-01-01 00:00:00.000000000,2011-01-13 12:00:00.000000000,2026-03-01 00:00:00.000000000,0.0,8.0,18.0,107.0,free-text, (1075); 2.7.11.1 (206); 2.7.10.1 (88)
hgnc_name,2899,2025,0.3014832700931356,1286,0.6350617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,4.0,7.0,9.0,free-text, (874); PDE5A (2); DPP8 (2)
hgnc_id,2899,2025,0.3014832700931356,1286,0.6350617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.6985167299068644,40.0,6973.0,21398.0,51375.0,8223.135802469136,6661.182872290845,0.023111417730251813,1678-07-01 00:00:00.000000000,1869-07-01 00:00:00.000000000,2228-07-01 00:00:00.000000000,0.0,4.0,5.0,5.0,free-text, (874); 8784 (2); 16490 (2)
