column,non_null,non_empty,empty_pct,unique_cnt,unique_pct_of_non_empty,pattern_cov_doi,pattern_cov_issn,pattern_cov_isbn,pattern_cov_url,pattern_cov_email,bool_like_cov,numeric_cov,numeric_min,numeric_p50,numeric_p95,numeric_max,numeric_mean,numeric_std,date_cov,date_min,date_p50,date_max,text_len_min,text_len_p50,text_len_p95,text_len_max,guessed_roles,top_values
uniprot_id,2898,2898,0.0,1959,0.6759834368530021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,6.0,6.0,10.0,free-text,O76074 (2); O00444 (2); Q6P7A9 (2)
names,2898,2898,0.0,1884,0.650103519668737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,109.0,271.1500000000001,530.0,free-text,NA|Neuraminidase (6); D(2) dopamine receptor|DRD2|Dopamine D2 receptor (5); DHFR|Dihydrofolate reductase (5)
genus,2898,2898,0.0,91,0.03140096618357488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,4.0,11.0,45.0,categorical,Homo (2027); Rattus (294); Mus (202)
superkingdom,2898,2898,0.0,4,0.0013802622498274672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,9.0,9.0,9.0,categorical,Eukaryota (2784); Bacteria (83); Viruses (29)
phylum,2898,2898,0.0,14,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,3.0,8.0,8.0,17.0,categorical,Chordata (2699); Bacillati (50); Pseudomonadati (31)
taxon_id,2898,2898,0.0,116,0.04002760524499655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,271.0,9606.0,10116.0,3052230.0,17388.95065562457,119375.08891647539,0.0027605244996549345,1764-07-01 00:00:00,1772-12-30 12:00:00,2044-10-21 00:00:00,3.0,4.0,5.0,7.0,numeric|free-text,9606 (2027); 10116 (294); 10090 (202)
molecular_function,2733,2733,0.05693581780538304,270,0.09879253567508232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,5.0,45.0,73.0,216.0,free-text,G-protein coupled receptor|Receptor|Transducer (489); Kinase|Serine/threonine-protein kinase|Transferase (297); Oxidoreductase (156)
cellular_component,2709,2709,0.06521739130434778,361,0.13325950535252862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,22.0,75.0,185.0,free-text,Cell membrane|Membrane (575); Cytoplasm|Nucleus (193); Cytoplasm (190)
ec_numbers,1798,1798,0.3795721187025535,473,0.26307007786429365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1111111111111111,2001-01-01 00:00:00,2011-01-13 11:00:00,2026-03-01 00:00:00,7.0,8.0,19.0,93.0,free-text,2.7.11.1 (204); 2.7.10.1 (88); 2.7.10.2 (61)
subcellular_location,2707,2707,0.06590752242926157,584,0.2157369782046546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,6.0,23.0,142.0,470.0,free-text,Cell membrane (518); Cytoplasm|Nucleus (155); Cytoplasm (140)
topology,1481,1481,0.48895790200138023,14,0.009453072248480757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,12.0,27.0,36.0,63.0,categorical,Multi-pass membrane protein (891); Peripheral membrane protein (214); Single-pass type I membrane protein (164)
transmembrane,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|categorical,False (1705); True (1193)
intramembrane,2898,2898,0.0,1,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|categorical,False (2898)
glycosylation,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|categorical,False (1694); True (1204)
lipidation,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|categorical,False (2557); True (341)
disulfide_bond,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|categorical,False (1763); True (1135)
modified_residue,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,4.0,5.0,5.0,boolean|categorical,True (1800); False (1098)
phosphorylation,2898,2898,0.0,1,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|categorical,False (2898)
acetylation,2898,2898,0.0,1,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|categorical,False (2898)
ubiquitination,2898,2898,0.0,1,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|categorical,False (2898)
signal_peptide,2898,2898,0.0,1,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,5.0,5.0,5.0,5.0,boolean|categorical,False (2898)
propeptide,2898,2898,0.0,2,0.0006901311249137336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,,,,4.0,5.0,5.0,5.0,boolean|categorical,False (2689); True (209)
isoform_names,1433,1433,0.5055210489993098,174,0.12142358688066993,0.0,0.0,0.0,0.0,0.0,0.00418702023726448,0.002070393374741201,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,5.0,27.0,123.0,free-text,1|2 (544); 1|2|3 (251); 1|2|3|4 (131)
isoform_ids,1433,1433,0.5055210489993098,927,0.6468946266573622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,26.0,62.0,360.0,free-text,O76074-1|O76074-2 (2); P35610-1|P35610-2|P35610-3 (2); Q99250-1|Q99250-2 (2)
isoform_synonyms,1427,1427,0.5075914423740511,361,0.2529782761037141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,5.0,11.0,55.700000000000045,402.0,free-text,N/A|N/A (498); N/A|N/A|N/A (188); N/A|N/A|N/A|N/A (84)
GuidetoPHARMACOLOGY,1941,1941,0.3302277432712215,1017,0.5239567233384853,0.0,0.0,0.0,0.0,0.0,0.0020607934054611026,0.6697722567287785,1.0,1560.0,2964.0,3298.0,1489.1061308603812,981.0279513803426,0.14113181504485853,1678-07-01 00:00:00,2028-07-01 00:00:00,2258-07-01 00:00:00,1.0,4.0,4.0,4.0,free-text,1399 (6); 56 (6); 1400 (6)
family,0,0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,categorical,
SUPFAM,2750,2750,0.05106970324361626,446,0.16218181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,8.0,8.0,35.0,114.0,free-text,SSF81321 (463); SSF56112 (261); SSF57716|SSF48508 (60)
PROSITE,2534,2534,0.12560386473429952,507,0.20007892659826362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,15.0,47.0,287.0,free-text,PS00237|PS50262 (418); PS00107|PS50011|PS00108 (169); PS51843|PS00031|PS51030 (60)
InterPro,2897,2897,0.0003450655624568366,1183,0.4083534691059717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,49.0,149.0,819.0,free-text,IPR011009|IPR000719|IPR017441|IPR008271 (27); IPR001148|IPR036398|IPR023561|IPR018338 (22); IPR001828|IPR019594|IPR001508|IPR015683|IPR001320|IPR028082 (21)
Pfam,2885,2885,0.00448585231193932,710,0.24610051993067592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,7.0,39.0,231.0,free-text,PF00001 (444); PF00069 (182); PF00104|PF00105 (37)
PRINTS,1803,1803,0.3778467908902692,469,0.2601220188574598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,7.0,15.0,23.0,39.0,free-text,PR00109 (72); PR00503 (35); PR00177 (33)
TCDB,474,474,0.8364389233954451,277,0.5843881856540084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,9.0,10.0,12.0,22.0,free-text,1.I.1.1.3 (8); 8.A.217.1.1 (4); 1.A.1.2.4 (4)
