chembl_id,uniprotkb_Id,uniprot_id,gene_name,id,isoform_name
CHEMBL2169718,EHMT2,Q9Z148,EHMT2,Q9Z148-3,3
CHEMBL2169718,EHMT2,Q9Z148,EHMT2,Q9Z148-2,2
CHEMBL2169718,EHMT2,Q9Z148,EHMT2,Q9Z148-2,g9a-s
CHEMBL2169718,EHMT2,Q9Z148,EHMT2,Q9Z148-1,1
CHEMBL2169718,EHMT2,Q9Z148,EHMT2,Q9Z148-1,g9a-l
CHEMBL4379,ADA17,Q9Z0F8,ADAM17,Q9Z0F8-2,short
CHEMBL4379,ADA17,Q9Z0F8,ADAM17,Q9Z0F8-2,s
CHEMBL4379,ADA17,Q9Z0F8,ADAM17,Q9Z0F8-1,l
CHEMBL4379,ADA17,Q9Z0F8,ADAM17,Q9Z0F8-1,long
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-6,6
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-5,5
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-4,4
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-3,3
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-2,2
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-2,3l
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-1,1
CHEMBL5084,KC1G3,Q9Y6M4,CSNK1G3,Q9Y6M4-1,3
CHEMBL1992,DNM3A,Q9Y6K1,DNMT3A,Q9Y6K1-3,3
CHEMBL1992,DNM3A,Q9Y6K1,DNMT3A,Q9Y6K1-2,2
CHEMBL1992,DNM3A,Q9Y6K1,DNMT3A,Q9Y6K1-1,1
CHEMBL3259465,EPN1,Q9Y6I3,EPN1,Q9Y6I3-3,3
CHEMBL3259465,EPN1,Q9Y6I3,EPN1,Q9Y6I3-2,1
CHEMBL3259465,EPN1,Q9Y6I3,EPN1,Q9Y6I3-1,2
CHEMBL5083,PARP3,Q9Y6F1,PARP3,Q9Y6F1-2,long
CHEMBL5083,PARP3,Q9Y6F1,PARP3,Q9Y6F1-2,l
CHEMBL5083,PARP3,Q9Y6F1,PARP3,Q9Y6F1-2,2
