ensembl_gene,entrez_gene,Type_name,type_index,type,target_name,target_id,synonyms,swissprot,subunit_id,name,HGNC_NAME,HGNC_ID,gene_name,family_name,family_id
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,5'(3')-nucleotidase,1238,"5 apos ,3 apos -nucleotidase, cytosolic | 5' nucleotidase, deoxy (pyrimidine), cytosolic type c | 5'(3')-nucleotidase | 5',3'-nucleotidase, cytosolic | dnt1 | pn-i | umph2 | uridine 5-prime monophosphate hydrolase 2 | nt5c",Q8TCD5,"",5'(3')-nucleotidase,NT5C,17144,NT5C,Adenosine turnover,0248
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,5'(3')-nucleotidase,1238,"5 apos ,3 apos -nucleotidase, cytosolic | 5' nucleotidase, deoxy (pyrimidine), cytosolic type c | 5'(3')-nucleotidase | 5',3'-nucleotidase, cytosolic | dnt1 | pn-i | umph2 | uridine 5-prime monophosphate hydrolase 2 | nt5c",Q9JM14,"",5'(3')-nucleotidase,NT5C,17144,NT5C,Adenosine turnover,0248
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,5'-nucleotidase ii,1236,"5 apos -nucleotidase, cytosolic ii | 5'-nucleotidase | 5'-nucleotidase ii | 5'-nucleotidase, cytosolic ii | nt5b | pnt5 | purine 5' nucleotidase | cn-ii | nt5c2",P49902,"",5'-nucleotidase ii,NT5C2,8022,NT5C2,Adenosine turnover,0248
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,5'-nucleotidase ii,1236,"5 apos -nucleotidase, cytosolic ii | 5'-nucleotidase | 5'-nucleotidase ii | 5'-nucleotidase, cytosolic ii | nt5b | pnt5 | purine 5' nucleotidase | cn-ii | nt5c2",Q3V1L4,"",5'-nucleotidase ii,NT5C2,8022,NT5C2,Adenosine turnover,0248
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,72 kda type iv collagenase,1629,clg4a|mmp2|72 kda type iv collagenase|72 kda gelatinase|gelatinase a|matrix metalloproteinase-2|tbe-1,P08253,"",72 kda type iv collagenase,MMP2,7166,MMP2,M10: Matrix metallopeptidase,0738
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adam20,1665,adam20 | adam20,O43506,"",adam20,ADAM20,199,ADAM20,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adam21,1666,adam21 | adam31 | adam21p | adam21,Q9JI76,"",adam21,ADAM21,200,ADAM21,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adam21,1666,adam21 | adam31 | adam21p | adam21,Q9UKJ8,"",adam21,ADAM21,200,ADAM21,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adam29,1670,adam29 | ct73 | a disintegrin and metalloproteinase domain 29 | svph1 | cancer/testis antigen 73 | adam29,Q811Q4,"",adam29,ADAM29,207,ADAM29,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adam29,1670,adam29 | ct73 | a disintegrin and metalloproteinase domain 29 | svph1 | cancer/testis antigen 73 | adam29,Q9UKF5,"",adam29,ADAM29,207,ADAM29,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adamts10,1683,"adam metallopeptidase with thrombospondin type 1 motif, 10 | adamts10 | znmp | a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif | a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 | a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10 | adamts10",P58459,"",adamts10,ADAMTS10,13201,ADAMTS10,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,adamts10,1683,"adam metallopeptidase with thrombospondin type 1 motif, 10 | adamts10 | znmp | a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif | a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 | a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10 | adamts10",Q9H324,"",adamts10,ADAMTS10,13201,ADAMTS10,M12: Astacin/Adamalysin,0739
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,aminopeptidase q,1562,aqpep | aminopeptidase q | lvrn,Q6Q4G3,"",aminopeptidase q,LVRN,26904,LVRN,M1: Aminopeptidase N,0737
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,carboxypeptidase o,1599,carboxypeptidase o | metallocarboxypeptidase o | metallocarboxypeptidase c,Q8IVL8,"",carboxypeptidase o,CPO,21011,CPO,M14: Carboxypeptidase A,0743
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,caspase 10,1626,"caspase 10 | fas-associated death domain protein interleukin-1b-converting enzyme 2 | flice2 | ice-like apoptotic protease 4 | mch4 | caspase 10, apoptosis-related cysteine peptidase | apoptotic protease mch-4 | casp10",Q92851,"",caspase 10,CASP10,1500,CASP10,C14: Caspase,0734
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,caspase 5,1621,"caspase 5 | ice(rel)iii | ty protease | caspase 5, apoptosis-related cysteine peptidase | ich-3 protease | casp5",P51878,"",caspase 5,CASP5,1506,CASP5,C14: Caspase,0734
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin g,2348,ctsg|cathepsin g|cg,P08311,"",cathepsin g,CTSG,2532,CTSG,S1: Chymotrypsin,0751
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P06797,"",calmodulin,CALM1,1442,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P06797,"",calmodulin,CALM2,1445,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P06797,"",calmodulin,CALM3,1449,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P06797,"",cathepsin l,CTSL,2537,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P07711,"",calmodulin,CALM1,1442,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P07711,"",calmodulin,CALM2,1445,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P07711,"",calmodulin,CALM3,1449,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin l,2351,cat l | cathepsin l | cathepsin l1 | furless | nackt | p39 cysteine proteinase | ctsl,P07711,"",cathepsin l,CTSL,2537,CTSL,C1: Papain,0728
"","",Enzyme.Hydrolase,3-02,Enzyme.Hydrolase,cathepsin v,2352,cathl | cp-2 | ctsl2 | ctsu | catl | ctsl1 | cathepsin l1 | cathepsin l2 | cathepsin v | cyclic protein 2 | cathepsin l | ctsl,P07154,"",cathepsin v,CTSV,2538,CTSL,C1: Papain,0728
