molecule_chembl_id,parent_molecule_chembl_id
CHEMBL10,CHEMBL10
CHEMBL1000,CHEMBL1000
CHEMBL100056,CHEMBL100056
CHEMBL100071,CHEMBL100071
CHEMBL100082,CHEMBL39092
CHEMBL100116,CHEMBL100116
CHEMBL100136,CHEMBL100136
CHEMBL1002,CHEMBL1002
CHEMBL100219,CHEMBL100219
CHEMBL100231,CHEMBL100231
CHEMBL100239,CHEMBL100239
CHEMBL100336,CHEMBL100336
CHEMBL100352,CHEMBL100352
CHEMBL100421,CHEMBL100421
CHEMBL100445,CHEMBL100445
CHEMBL100563,CHEMBL100563
CHEMBL100570,CHEMBL100570
CHEMBL100595,CHEMBL100595
CHEMBL100617,CHEMBL100617
CHEMBL100629,CHEMBL100629
CHEMBL100702,CHEMBL100702
CHEMBL100714,CHEMBL100714
CHEMBL100729,CHEMBL100729
CHEMBL100749,CHEMBL100749
CHEMBL100763,CHEMBL100763
CHEMBL1008,CHEMBL1008
CHEMBL100833,CHEMBL100833
CHEMBL100844,CHEMBL100844
CHEMBL100849,CHEMBL100849
CHEMBL100903,CHEMBL100903
CHEMBL100934,CHEMBL100934
CHEMBL100941,CHEMBL100941
CHEMBL100951,CHEMBL100951
CHEMBL100980,CHEMBL100980
CHEMBL100981,CHEMBL100981
CHEMBL101054,CHEMBL101054
CHEMBL101083,CHEMBL101083
CHEMBL101091,CHEMBL101091
CHEMBL101147,CHEMBL101147
CHEMBL101253,CHEMBL101253
CHEMBL101300,CHEMBL101300
CHEMBL101309,CHEMBL101309
CHEMBL10134,CHEMBL10134
CHEMBL101382,CHEMBL101382
CHEMBL1014,CHEMBL1014
CHEMBL101412,CHEMBL101412
CHEMBL101454,CHEMBL101454
CHEMBL101501,CHEMBL101501
CHEMBL1016,CHEMBL1016
CHEMBL10160,CHEMBL10160
CHEMBL101607,CHEMBL101607
CHEMBL101670,CHEMBL101670
CHEMBL101690,CHEMBL101690
CHEMBL1017,CHEMBL1017
CHEMBL101771,CHEMBL101771
CHEMBL101800,CHEMBL101800
CHEMBL101807,CHEMBL101807
CHEMBL101834,CHEMBL101834
CHEMBL101845,CHEMBL101845
CHEMBL10188,CHEMBL10188
CHEMBL101917,CHEMBL101917
CHEMBL101938,CHEMBL101938
CHEMBL101944,CHEMBL101944
CHEMBL101946,CHEMBL101946
CHEMBL101979,CHEMBL101979
CHEMBL101997,CHEMBL101997
CHEMBL101998,CHEMBL101998
CHEMBL102006,CHEMBL102006
CHEMBL102034,CHEMBL102034
CHEMBL102113,CHEMBL102113
CHEMBL102163,CHEMBL102163
CHEMBL102166,CHEMBL102166
CHEMBL102192,CHEMBL102192
CHEMBL1023,CHEMBL1023
CHEMBL10231,CHEMBL10231
CHEMBL102371,CHEMBL102371
CHEMBL102372,CHEMBL102372
CHEMBL10247,CHEMBL10247
CHEMBL102664,CHEMBL102664
CHEMBL1027,CHEMBL1027
CHEMBL102714,CHEMBL102714
CHEMBL10284,CHEMBL10284
CHEMBL102860,CHEMBL102860
CHEMBL1029,CHEMBL1029
CHEMBL102960,CHEMBL102960
CHEMBL103,CHEMBL103
CHEMBL103005,CHEMBL103005
CHEMBL10309,CHEMBL10309
CHEMBL103157,CHEMBL103157
CHEMBL10316,CHEMBL10316
CHEMBL103238,CHEMBL103238
CHEMBL103268,CHEMBL103268
CHEMBL103294,CHEMBL103294
CHEMBL103305,CHEMBL103305
CHEMBL10332,CHEMBL10332
CHEMBL10333,CHEMBL10333
CHEMBL103386,CHEMBL103386
CHEMBL103399,CHEMBL103399
CHEMBL1034,CHEMBL139
CHEMBL103437,CHEMBL103437
CHEMBL10347,CHEMBL10347
CHEMBL103593,CHEMBL103593
CHEMBL1036,CHEMBL1036
CHEMBL103667,CHEMBL103667
CHEMBL103706,CHEMBL103706
CHEMBL103716,CHEMBL103716
CHEMBL10372,CHEMBL10372
CHEMBL103769,CHEMBL103769
CHEMBL103772,CHEMBL103772
CHEMBL103808,CHEMBL103808
CHEMBL103946,CHEMBL103946
CHEMBL103953,CHEMBL103953
CHEMBL104,CHEMBL104
CHEMBL104028,CHEMBL104028
CHEMBL104042,CHEMBL104042
CHEMBL104092,CHEMBL104092
CHEMBL104144,CHEMBL104144
CHEMBL104183,CHEMBL104183
CHEMBL104201,CHEMBL104201
CHEMBL104229,CHEMBL104229
CHEMBL104264,CHEMBL104264
CHEMBL104279,CHEMBL104279
CHEMBL104333,CHEMBL104333
CHEMBL104453,CHEMBL104453
CHEMBL104468,CHEMBL104468
CHEMBL104471,CHEMBL104471
CHEMBL104491,CHEMBL104491
CHEMBL104519,CHEMBL104519
CHEMBL104567,CHEMBL104567
CHEMBL104647,CHEMBL104647
CHEMBL104686,CHEMBL104686
CHEMBL104937,CHEMBL104937
CHEMBL105018,CHEMBL105018
CHEMBL105082,CHEMBL105082
CHEMBL10512,CHEMBL10512
CHEMBL105299,CHEMBL105299
CHEMBL105390,CHEMBL105390
CHEMBL105457,CHEMBL105457
CHEMBL105459,CHEMBL105459
CHEMBL105477,CHEMBL105477
CHEMBL10560,CHEMBL10560
CHEMBL105612,CHEMBL105612
CHEMBL105613,CHEMBL105613
CHEMBL105764,CHEMBL105764
CHEMBL105775,CHEMBL105775
CHEMBL1059,CHEMBL1059
CHEMBL105916,CHEMBL105916
CHEMBL10592,CHEMBL10592
CHEMBL105976,CHEMBL105976
CHEMBL106011,CHEMBL106011
CHEMBL106028,CHEMBL106028
CHEMBL106226,CHEMBL106226
CHEMBL106237,CHEMBL106237
CHEMBL106257,CHEMBL106257
CHEMBL1064,CHEMBL1064
CHEMBL1065,CHEMBL1065
CHEMBL106509,CHEMBL106509
CHEMBL106548,CHEMBL106548
CHEMBL106622,CHEMBL106622
CHEMBL106627,CHEMBL106627
CHEMBL106628,CHEMBL106628
CHEMBL106635,CHEMBL106635
CHEMBL106657,CHEMBL106657
CHEMBL106772,CHEMBL106772
CHEMBL106937,CHEMBL106937
CHEMBL107,CHEMBL107
CHEMBL107041,CHEMBL107041
CHEMBL107099,CHEMBL107099
CHEMBL107172,CHEMBL107172
CHEMBL107200,CHEMBL107200
CHEMBL107251,CHEMBL107251
CHEMBL107342,CHEMBL107342
CHEMBL107367,CHEMBL107367
CHEMBL107369,CHEMBL107369
CHEMBL107398,CHEMBL107398
CHEMBL107492,CHEMBL107492
CHEMBL107529,CHEMBL107529
CHEMBL107533,CHEMBL107533
CHEMBL107535,CHEMBL107535
CHEMBL1075640,CHEMBL1075640
CHEMBL1076275,CHEMBL1076275
CHEMBL107638,CHEMBL107638
CHEMBL1076438,CHEMBL1076438
CHEMBL1076442,CHEMBL1076442
CHEMBL1076443,CHEMBL1076443
CHEMBL1076444,CHEMBL1076444
CHEMBL1076446,CHEMBL1076446
CHEMBL1076448,CHEMBL1076448
CHEMBL1076449,CHEMBL1076449
CHEMBL1076450,CHEMBL1076450
CHEMBL1076451,CHEMBL1076451
CHEMBL1076453,CHEMBL1076453
CHEMBL1076454,CHEMBL1076454
CHEMBL1076461,CHEMBL1076461
CHEMBL1076462,CHEMBL1076462
CHEMBL1076463,CHEMBL1076463
CHEMBL1076555,CHEMBL1076555
CHEMBL1076694,CHEMBL1076694
CHEMBL107670,CHEMBL107670
CHEMBL1076716,CHEMBL1076716
CHEMBL1076733,CHEMBL1076733
CHEMBL1076742,CHEMBL1076742
CHEMBL1076751,CHEMBL1076751
CHEMBL1076880,CHEMBL1076880
CHEMBL1077193,CHEMBL1077193
CHEMBL1077209,CHEMBL1077209
CHEMBL1077218,CHEMBL1077218
CHEMBL1077241,CHEMBL1077241
CHEMBL1077242,CHEMBL1077242
CHEMBL1077281,CHEMBL1077281
CHEMBL1077366,CHEMBL1077366
CHEMBL1077458,CHEMBL1077458
CHEMBL1077603,CHEMBL1077603
CHEMBL1077617,CHEMBL1077617
CHEMBL1077666,CHEMBL1077666
CHEMBL1077725,CHEMBL1077725
CHEMBL1077757,CHEMBL1077757
CHEMBL1077781,CHEMBL1077781
CHEMBL1077809,CHEMBL1077809
CHEMBL1077810,CHEMBL1077810
CHEMBL1077817,CHEMBL1077817
CHEMBL1077818,CHEMBL1077818
CHEMBL1077819,CHEMBL1077819
CHEMBL1077820,CHEMBL1077820
CHEMBL1077823,CHEMBL1077823
