molecule_chembl_id,all_names,canonical_smiles,mw_freebase,unknown_chirality,salt_chembl_id,standard_inchi_key,standard_inchi_skeleton,standard_inchi_stereo,is_hydrate,is_saltform,active_component,contrion,active_component_type
CHEMBL4087063,,c1nc(S[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,402.56,FALSE,CHEMBL4087063,SOISPNUZJQEUFT-QAQDUYKDSA-N,SOISPNUZJQEUFT,QAQDUYKD,FALSE,FALSE,c1nc(S[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,-,unknown
CHEMBL4067302,,c1nc(O[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,386.5,FALSE,CHEMBL4067302,NUFJGSYIECWMJC-QAQDUYKDSA-N,NUFJGSYIECWMJC,QAQDUYKD,FALSE,FALSE,c1nc(O[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,-,unknown
CHEMBL4286802,,c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)ccn2n1,385.51,FALSE,CHEMBL4286802,XSAXTTCUKKONOS-IYARVYRRSA-N,XSAXTTCUKKONOS,IYARVYRR,FALSE,FALSE,c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)ccn2n1,-,unknown
CHEMBL4064608,,c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,385.51,FALSE,CHEMBL4064608,DJVYXMINSBMUHH-QAQDUYKDSA-N,DJVYXMINSBMUHH,QAQDUYKD,FALSE,FALSE,c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,-,unknown
CHEMBL4094760,,c1nc(N[C@H]2CC[C@@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,385.51,FALSE,CHEMBL4094760,DJVYXMINSBMUHH-CALCHBBNSA-N,DJVYXMINSBMUHH,CALCHBBN,FALSE,FALSE,c1nc(N[C@H]2CC[C@@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,-,unknown
CHEMBL1630766,,c1nc(N2CCCCC2)c2cc[nH]c2n1,202.26,FALSE,CHEMBL1630766,CCLPCRBBSXRSNQ-UHFFFAOYSA-N,CCLPCRBBSXRSNQ,UHFFFAOY,FALSE,FALSE,c1nc(N2CCCCC2)c2cc[nH]c2n1,-,unknown
CHEMBL78498,vuf-5681,c1nc(CCCC2CCNCC2)c[nH]1,193.29,FALSE,CHEMBL78498,YPGRNKJNOSUCLY-UHFFFAOYSA-N,YPGRNKJNOSUCLY,UHFFFAOY,FALSE,FALSE,c1nc(CCCC2CCNCC2)c[nH]1,-,unknown
CHEMBL150701,,c1nc(CCC2CCNCC2)c[nH]1,179.27,FALSE,CHEMBL150701,XSOYKCANSOSZRB-UHFFFAOYSA-N,XSOYKCANSOSZRB,UHFFFAOY,FALSE,FALSE,c1nc(CCC2CCNCC2)c[nH]1,-,unknown
CHEMBL18661,"immepip, immepip",c1nc(CC2CCNCC2)c[nH]1,165.24,FALSE,CHEMBL18661,MCNGUYXRBCIGOV-UHFFFAOYSA-N,MCNGUYXRBCIGOV,UHFFFAOY,FALSE,FALSE,c1nc(CC2CCNCC2)c[nH]1,-,unknown
CHEMBL3622376,,c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,242.24,TRUE,CHEMBL3622376,SGBZXUCHKSJHOS-UHFFFAOYSA-N,SGBZXUCHKSJHOS,UHFFFAOY,FALSE,FALSE,c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,-,free acid
CHEMBL4098129,,c1csc(SSc2nccs2)n1,232.38,FALSE,CHEMBL4098129,MZIWZDMEFARRSI-UHFFFAOYSA-N,MZIWZDMEFARRSI,UHFFFAOY,FALSE,FALSE,c1csc(SSc2nccs2)n1,-,unknown
CHEMBL3822531,,c1csc(C(=C2CCOCC2)c2ccc3ccccc3c2)c1,306.43,FALSE,CHEMBL3822531,UVUHBWZHWRFZIV-UHFFFAOYSA-N,UVUHBWZHWRFZIV,UHFFFAOY,FALSE,FALSE,c1csc(C(=C2CCOCC2)c2ccc3ccccc3c2)c1,-,unknown
CHEMBL2011431,,c1csc(-c2ncccc2Cn2ccnc2)c1,241.32,FALSE,CHEMBL2011431,SCXLPUWSFUALAY-UHFFFAOYSA-N,SCXLPUWSFUALAY,UHFFFAOY,FALSE,FALSE,c1csc(-c2ncccc2Cn2ccnc2)c1,-,free acid
