target_chembl_id,guidetopharmacology_id,iuphar_target_id,iuphar_family_id,iuphar_type,iuphar_class,iuphar_subclass,iuphar_chain,iuphar_name,iuphar_synonyms
CHEMBL1075102,2150,2150,0781,Enzyme.Transferase,Enzyme,Transferase,0781>0244>0690,-,pik3c2a|pi3k-c2-alpha|phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha|phosphoinositide 3-kinase-c2-alpha|ptdins-3-kinase c2 subunit alpha|-
CHEMBL1615381,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,men1|menin|scg2|-
CHEMBL2343,1534,1534,0616,Enzyme.Transferase,Enzyme,Transferase,0616>0677>0698>0690-2>0690,-,sgk1|serine/threonine-protein kinase sgk1|serum/glucocorticoid-regulated kinase 1|sgk|-
CHEMBL2652,1297,1297,0260,Enzyme.Hydrolase,Enzyme,Hydrolase,0260>0241>0690-4>0690,-,"pde2a|cgs-pde|cyclic gmp-stimulated phosphodiesterase|cgmp-dependent 3',5'-cyclic phosphodiesterase|cgspde|-"
CHEMBL3130,2155,2155,0781,Enzyme.Transferase,Enzyme,Transferase,0781>0244>0690,-,"pik3cd|pi3-kinase subunit delta|pi3k-delta|pi3kdelta|phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kda catalytic subunit delta|phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform|ptdins-3-kinase subunit delta|ptdins-3-kinase subunit p110-delta|p110delta|-"
CHEMBL3788,2171,2171,0602,Enzyme.Transferase,Enzyme,Transferase,0602>0683>0698>0690-2>0690,-,plk4|plk-4|polo-like kinase 4|serine/threonine-protein kinase 18|serine/threonine-protein kinase plk4|serine/threonine-protein kinase sak|sak|stk18|-
CHEMBL4580,-,-,-,Other Protein Target.Other Protein Target,Other Protein Target,Other Protein Target,0864-1>0864,-,"tk2|2'-deoxyuridine kinase tk2|deoxycytidine kinase tk2|mt-tk|thymidine kinase 2, mitochondrial|-"
CHEMBL5255,1754,1754,0316,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0316>0302>0862>0688,-,tlr4|toll-like receptor 4|htoll|-
CHEMBL5443,1960,1960,0567,Enzyme.Transferase,Enzyme,Transferase,0567>0683>0698>0690-2>0690,-,cdc7|cdc7-related kinase|cell division cycle 7-related protein kinase|hscdc7|hucdc7|cdc7l1|-
CHEMBL5476,1789,1789,0318,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0318>0303>0687>0699>0862>0688,-,bmpr1b|bmp type-1b receptor|bmpr-1b|bone morphogenetic protein receptor type-1b|-
