activity_id,molecule_chembl_id,assay_chembl_id,activity_comment,assay_description,assay_variant_accession,assay_variant_mutation,bao_format,bao_label,data_validity_comment,data_validity_description,document_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_assay_id,src_id,standard_relation,standard_units,type,units,value,standard_type,standard_value,lower_value,upper_value,pipeline_version,timestamp_utc,standard_lower_value,standard_upper_value
33279,CHEMBL318723,CHEMBL754629,,Binding affinity was determined against Opioid receptor kappa 1<br>using [3H]ethylketocyclazocine as radioligand,,,BAO_0000357,single protein format,,,CHEMBL1130663,6.08,1,http://www.openphacts.org/units/Nanomolar,200741,=,,1,=,nM,Ki,nM,833.0,Ki,833,833,833,0.1.0,2025-09-26T09:24:46.596748+00:00,,
34166,CHEMBL292779,CHEMBL616910,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1131027,9.22,1,http://www.openphacts.org/units/Nanomolar,163730,=,,1,=,nM,IC50,nM,0.6,IC50,0.6,0.6,0.6,0.1.0,2025-09-26T09:24:46.596748+00:00,,
41129,CHEMBL341376,CHEMBL640560,,Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.15,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,702.0,Ki,702,702,702,0.1.0,2025-09-26T09:24:46.596748+00:00,,
41130,CHEMBL341376,CHEMBL643209,,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.37,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,423.0,Ki,423,423,423,0.1.0,2025-09-26T09:24:46.596748+00:00,,
41131,CHEMBL341376,CHEMBL642009,,Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.78,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,165.0,Ki,165,165,165,0.1.0,2025-09-26T09:24:46.596748+00:00,,
41132,CHEMBL341376,CHEMBL641961,,Displacement of [3H]MRE3008-F20 from human A3 receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,9.09,1,http://www.openphacts.org/units/Nanomolar,261076,=,,1,=,nM,Ki,nM,0.81,Ki,0.81,0.81,0.81,0.1.0,2025-09-26T09:24:46.596748+00:00,,
43767,CHEMBL65367,CHEMBL616910,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1131027,9.70,1,http://www.openphacts.org/units/Nanomolar,163729,=,,1,=,nM,IC50,nM,0.2,IC50,0.2,0.2,0.2,0.1.0,2025-09-26T09:24:46.596748+00:00,,
44708,CHEMBL324735,CHEMBL640560,,Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.23,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,594.0,Ki,594,594,594,0.1.0,2025-09-26T09:24:46.596748+00:00,,
44709,CHEMBL324735,CHEMBL643209,,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.42,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,381.0,Ki,381,381,381,0.1.0,2025-09-26T09:24:46.596748+00:00,,
44710,CHEMBL324735,CHEMBL642009,,Displacement of [3H]DPCPX from human adenosine A2B receptor expressed in HEK293 cells,,,BAO_0000219,cell-based format,,,CHEMBL1145112,6.65,1,http://www.openphacts.org/units/Nanomolar,261077,=,,1,=,nM,Ki,nM,222.0,Ki,222,222,222,0.1.0,2025-09-26T09:24:46.596748+00:00,,
