chembl_id,uniprotkb_Id,uniprot_id,secondary_uniprot_id,gene_name,recommended_name,synonyms,genus,superkingdom,phylum,taxon_id,ec_number,hgnc_name,hgnc_id,molecular_function,cellular_component,subcellular_location,topology,transmembrane,intramembrane,glycosylation,lipidation,disulfide_bond,modified_residue,phosphorylation,acetylation,ubiquitination,signal_peptide,propeptide,isoform_names,isoform_ids,isoform_synonyms,reactions,target_id,IUPHAR_family_id,IUPHAR_type,IUPHAR_class,IUPHAR_subclass,IUPHAR_chain,full_id_path,full_name_path,GuidetoPHARMACOLOGY,type
CHEMBL247,Q72547,Q72547,Q72547,POL,human immunodeficiency virus type 1 reverse transcriptase,pol|reverse transcriptase/rnaseh|pol|human immunodeficiency virus type 1 reverse transcriptase,Lentivirus,Viruses,Riboviria,11676,-,,,aspartyl protease|endonuclease|hydrolase|multifunctional enzyme|nuclease|nucleotidyltransferase|protease|rna-directed dna polymerase|transferase,host endosome,"host endosome, host multivesicular body|virion membrane",lipid-anchor,False,False,False,False,False,False,False,False,False,False,False,-,-,-,Endohydrolysis of RNA in RNA/DNA hybrids. Three different cleavage modes: 1. sequence-specific internal cleavage of RNA. Human immunodeficiency virus type 1 and Moloney murine leukemia virus enzymes prefer to cleave the RNA strand one nucleotide away from the RNA-DNA junction. 2. RNA 5'-end directed cleavage 13-19 nucleotides from the RNA end. 3. DNA 3'-end directed cleavage 15-20 nucleotides away from the primer terminus.,,,Enzyme.Hydrolase,Enzyme,Hydrolase,0690-4>0690,-,-,,Viruses
CHEMBL267,SRC,P12931,E1P5V4|Q76P87|Q86VB9|Q9H5A8,SRC,tyrosine-protein kinase src,src|src1|proto-oncogene c-src|proto-oncogene tyrosine-protein kinase src|p60-src|pp60c-src|tyrosine-protein kinase src,Homo,Eukaryota,Chordata,9606,2.7.10.2,SRC,11283,kinase|transferase|tyrosine-protein kinase,cell junction|cell membrane|cytoplasm|cytoskeleton|membrane|mitochondrion|mitochondrion inner membrane|nucleus,"cell junction|cell junction, focal adhesion|cell membrane|cytoplasm, cytoskeleton|cytoplasm, perinuclear region|mitochondrion inner membrane|nucleus",lipid-anchor,False,False,False,True,False,True,False,False,False,False,False,1|2|3,P12931-1|P12931-2|P12931-3,c-src|c-srcn1:n1-src|c-srcn2:n2-src,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+)|L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+)|L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+)|L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),2206,0619,Enzyme.Transferase,Enzyme,Transferase,0619>0936>0686>0699>0862>0688,2206#0619>0936>0686>0699>0862>0688,"src proto-oncogene, non-receptor tyrosine kinase#Src family>Non-receptor tyrosine kinases>TK: Tyrosine kinase>Receptor kinase>Catalytic receptor>Receptor",2206,Multicellular organism
CHEMBL3332,ADA17,O77636,A5A749,ADAM17,adam17,adam17|tace|adam 17|disintegrin and metalloproteinase domain-containing protein 17|tnf-alpha convertase|tnf-alpha-converting enzyme|cd_antigen=cd156b,Sus,Eukaryota,Chordata,9823,3.4.24.86,,,hydrolase|metalloprotease|protease,membrane,membrane,single-pass type i membrane protein,True,False,False,False,True,False,False,False,False,False,False,-,-,-,"Narrow endopeptidase specificity. Cleaves Pro-Leu-Ala-Gln-Ala-|-Val-Arg-Ser-Ser-Ser in the membrane-bound, 26-kDa form of tumor necrosis factor alpha (TNFalpha). Similarly cleaves other membrane-anchored, cell-surface proteins to 'shed' the extracellular domains.",1662,0739,Enzyme.Hydrolase,Enzyme,Hydrolase,0739>0713>0759>0690-4>0690,1662#0739>0713>0759>0690-4>0690,adam17#M12: Astacin/Adamalysin>MA: Metallo Peptidase>Peptidases and proteinase>Enzyme.Hydrolase,,Multicellular organism
CHEMBL5076,HRH3,Q9JI35,Q9JI36,HRH3,histamine h3 receptor,hrh3|h3r|hh3r|histamine h3 receptor,Cavia,Eukaryota,Chordata,10141,-,,,g-protein coupled receptor|receptor|transducer,cell membrane|membrane,cell membrane,multi-pass membrane protein,True,False,True,False,True,True,False,False,False,False,False,long|short,Q9JI35-1|Q9JI35-2,h3l|h3s,-,264,0033,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0033>0694>0688,264#0033>0694>0688,h3 receptor#Histamine receptor>G protein-coupled receptor>Receptor,,Multicellular organism
CHEMBL4354,OPRM,P97266,P97266,OPRM1,mu opioid receptor,oprm1|mu-type opioid receptor|m-or-1|mor-1|mu opioid receptor,Cavia,Eukaryota,Chordata,10141,-,,,g-protein coupled receptor|receptor|transducer,cell membrane|cell projection|endosome|membrane,"cell membrane|cell projection, axon|cell projection, dendrite|endosome|perikaryon",multi-pass membrane protein,True,False,False,False,False,True,False,False,False,False,False,-,-,-,-,319,0050,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0050>0694>0688,319#0050>0694>0688,&mu; receptor#Opioid receptor>G protein-coupled receptor>Receptor,,Multicellular organism
CHEMBL1855,GNRHR,P30968,O75793|Q14D13|Q92644,GNRHR,gonadotropin-releasing hormone receptor,gnrhr|grhr|gnrh receptor|gnrh-r|gonadotropin-releasing hormone receptor,Homo,Eukaryota,Chordata,9606,-,GNRHR,4421,g-protein coupled receptor|receptor|transducer,cell membrane|membrane,cell membrane,multi-pass membrane protein,True,False,True,False,True,False,False,False,False,False,False,1|2,P30968-1|P30968-2,n/a|truncated,-,256,0031,Receptor.G protein-coupled receptor,Receptor,G protein-coupled receptor,0031>0694>0688,256#0031>0694>0688,gnrh1 receptor#Gonadotrophin-releasing hormone receptor>G protein-coupled receptor>Receptor,256,Multicellular organism
CHEMBL258,LCK,P06239,D3DPP8|P07100|Q12850|Q13152|Q5TDH8|Q5TDH9|Q7RTZ3|Q96DW4|Q9NYT8,LCK,tyrosine-protein kinase lck,lck|lsk|leukocyte c-terminal src kinase|lymphocyte cell-specific protein-tyrosine kinase|protein yt16|proto-oncogene lck|t cell-specific protein-tyrosine kinase|tyrosine-protein kinase lck|p56-lck|tyrosine-protein kinase lck,Homo,Eukaryota,Chordata,9606,2.7.10.2,LCK,6524,kinase|transferase|tyrosine-protein kinase,cell membrane|cytoplasm|membrane,"cell membrane|cytoplasm, cytosol",lipid-anchor,False,False,False,True,False,True,False,False,False,False,False,long|short|3,P06239-1|P06239-2|P06239-3,n/a|n/a|n/a,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),2053,0619,Enzyme.Transferase,Enzyme,Transferase,0619>0936>0686>0699>0862>0688,2053#0619>0936>0686>0699>0862>0688,"lck proto-oncogene, src family tyrosine kinase#Src family>Non-receptor tyrosine kinases>TK: Tyrosine kinase>Receptor kinase>Catalytic receptor>Receptor",2053,Multicellular organism
CHEMBL279,VGFR2,P35968,A2RRS0|B5A925|C5IFA0|O60723|Q14178,KDR,vascular endothelial growth factor receptor 2,flk1|kdr|vegfr2|flk-1|fetal liver kinase 1|kinase insert domain receptor|protein-tyrosine kinase receptor flk-1|vegfr-2|vascular endothelial growth factor receptor 2|cd_antigen=cd309,Homo,Eukaryota,Chordata,9606,2.7.10.1,KDR,6307,developmental protein|kinase|receptor|transferase|tyrosine-protein kinase,cell junction|cell membrane|cytoplasm|cytoplasmic vesicle|endoplasmic reticulum|endosome|membrane|nucleus|secreted,cell junction|cell membrane|cytoplasm|cytoplasmic vesicle|early endosome|endoplasmic reticulum|nucleus|secreted,single-pass type i membrane protein,True,False,True,False,True,True,False,False,False,False,False,1|2|3,P35968-1|P35968-2|P35968-3,mbvegfr-2|svegfr-2|vegfr2-712,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),1813,0324,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0324>0304>0686>0699>0862>0688,1813#0324>0304>0686>0699>0862>0688,kinase insert domain receptor#Type IV RTKs: VEGF receptor family>Receptor tyrosine kinases>TK: Tyrosine kinase>Receptor kinase>Catalytic receptor>Receptor,1813,Multicellular organism
CHEMBL1841,FYN,P06241,B5BU57|E1P557|H0UI48|Q16248|Q5R3A6|Q5R3A7|Q8N5D7,FYN,tyrosine-protein kinase fyn,fyn|proto-oncogene syn|proto-oncogene c-fyn|slk|src-like kinase|tyrosine-protein kinase fyn|p59-fyn|tyrosine-protein kinase fyn,Homo,Eukaryota,Chordata,9606,2.7.10.2,FYN,4037,developmental protein|kinase|transferase|tyrosine-protein kinase,cell membrane|cytoplasm|membrane|nucleus,cell membrane|cytoplasm|nucleus|perikaryon,,False,False,False,True,False,True,False,False,False,False,False,1|2|3,P06241-1|P06241-2|P06241-3,b|t|n/a,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),2026,0619,Enzyme.Transferase,Enzyme,Transferase,0619>0936>0686>0699>0862>0688,2026#0619>0936>0686>0699>0862>0688,"fyn proto-oncogene, src family tyrosine kinase#Src family>Non-receptor tyrosine kinases>TK: Tyrosine kinase>Receptor kinase>Catalytic receptor>Receptor",2026,Multicellular organism
CHEMBL4128,TIE2,Q02763,A8K6W0|B4DH20|B4DHD3|D3DRK5|E7EWI2|Q5TCU2|Q8IV34,TEK,tyrosine-protein kinase tie-2,synonyms=tie2|tek|tie2|vmcm|vmcm1|angiopoietin-1 receptor|endothelial tyrosine kinase|tunica interna endothelial cell kinase|tyrosine kinase with ig and egf homology domains-2|tyrosine-protein kinase receptor tek|tyrosine-protein kinase receptor tie-2|htie2|p140 tek|cd_antigen=cd202b|synonyms=tie2|tyrosine-protein kinase tie-2,Homo,Eukaryota,Chordata,9606,2.7.10.1,TEK,11724,kinase|receptor|transferase|tyrosine-protein kinase,cell junction|cell membrane|cytoplasm|cytoskeleton|membrane|secreted,"cell junction|cell junction, focal adhesion|cell membrane|cytoplasm, cytoskeleton|secreted",single-pass type i membrane protein,True,False,True,False,True,True,False,False,False,False,False,1|2|3,Q02763-1|Q02763-2|Q02763-3,n/a|n/a|n/a,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),1842,0330,Receptor.Catalytic Receptor,Receptor,Catalytic Receptor,0330>0304>0686>0699>0862>0688,1842#0330>0304>0686>0699>0862>0688,tek receptor tyrosine kinase#Type XII RTKs: TIE family of angiopoietin receptor>Receptor tyrosine kinases>TK: Tyrosine kinase>Receptor kinase>Catalytic receptor>Receptor,1842,Multicellular organism
